#id: 2632876189
#name: Scoelicolor A3(2) - Whole organism (Integrated)
#score: 12.2
#coverage: 45
#description: integrated dataset: weighted average of all Scoelicolor A3(2) WHOLE_ORGANISM: 12.2, Coverage: 45
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD005558_Rioseras_Mol_Cell_Proteomics_2018_MI16h_first_mycelium:0.694;PXD005558_Rioseras_Mol_Cell_Proteomics_2018_MII30h_substrate_mycelium:0.167;PXD005558_Rioseras_Mol_Cell_Proteomics_2018_MIII65h_aerial_mycelium:0.139;
#publication_year: 2023
#filename: 100226-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
100226.SCO5191	465
100226.SCO4096	446
100226.SCO4945	445
100226.SCO4286	443
100226.SCO4739	438
100226.SCO2240	437
100226.SCO3732	430
100226.SCO7268	429
100226.SCO4297	428
100226.SCO5049	428
100226.SCO4498	423
100226.SCO4651	422
100226.SCO1454	421
100226.SCO2114	421
100226.SCO2303	421
100226.SCO3098	418
100226.SCO3731	416
100226.SCO3897	416
100226.SCO4561	416
100226.SCO4533	416
100226.SCO1963	416
100226.SCO5032	415
100226.SCO0226	414
100226.SCO5254	413
100226.SCO2755	413
100226.SCO3733	412
100226.SCO1244	411
100226.SCO5676	410
100226.SCO1557	409
100226.SCO3424	409
100226.SCO3299	408
100226.SCO5556	408
100226.SCO5588	408
100226.SCO4133	407
100226.SCO2093	407
100226.SCO0703	406
100226.SCO5225	406
100226.SCO3712	405
100226.SCO2911	403
100226.SCO3748	403
100226.SCO4648	403
100226.SCO3631	402
100226.SCO3366	402
100226.SCO3166	401
100226.SCO4734	400
100226.SCO5226	400
100226.SCO1319	399
100226.SCO5519	399
100226.SCO7536	398
100226.SCO1815	398
100226.SCO2914	398
100226.SCO3117	397
100226.SCO0500	396
100226.SCO0978	396
100226.SCO1719	396
100226.SCO4885	394
100226.SCO5839	394
100226.SCO4232	394
100226.SCO4524	394
100226.SCO4222	394
100226.SCO1869	394
100226.SCO5240	393
100226.SCO4712	393
100226.SCO5679	393
100226.SCO5048	392
100226.SCO3165	392
100226.SCO7154	392
100226.SCO6094	392
100226.SCO2697	392
100226.SCO6178	391
100226.SCO4324	391
100226.SCO2286	389
100226.SCO4912	389
100226.SCO5708	389
100226.SCO4497	388
100226.SCO1559	388
100226.SCO5105	388
100226.SCO2966	388
100226.SCO4890	387
100226.SCO4730	387
100226.SCO4715	387
100226.SCO1008	386
100226.SCO3768	386
100226.SCO0186	386
100226.SCO6564	386
100226.SCO3906	386
100226.SCO1378	386
100226.SCO5972	386
100226.SCO5535	385
100226.SCO4765	385
100226.SCO4965	385
100226.SCO5031	384
100226.SCO5436	384
100226.SCO2789	384
100226.SCO1147	384
100226.SCO4887	384
100226.SCO4719	384
100226.SCO3030	384
100226.SCO2475	383
100226.SCO2388	383
100226.SCO1491	383
100226.SCO2136	382
100226.SCO4647	382
100226.SCO3909	382
100226.SCO4165	382
100226.SCO3908	382
100226.SCO4709	382
100226.SCO4635	382
100226.SCO6100	382
100226.SCO5595	381
100226.SCO3899	381
100226.SCO6257	381
100226.SCO0131	380
100226.SCO4707	380
100226.SCO0795	380
100226.SCO0504	380
100226.SCO5451	380
