#id: 4290607063
#name: R.norvegicus - Whole organism (Integrated)
#score: 27.9
#coverage: 73
#description: integrated dataset: weighted average of all R.norvegicus WHOLE_ORGANISM: 27.9, Coverage: 73
#organ: WHOLE_ORGANISM
#integrated: true
#weights: 10116-PA_201311:0.866;10116_GPM_201408:0.087;GPM_2012_09_Rattus_norvegicus:0.048;
#publication_year: 2023
#filename: 10116-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
10116.ENSRNOP00000066062	16326
10116.ENSRNOP00000008841	14185
10116.ENSRNOP00000044233	13616
10116.ENSRNOP00000044081	13236
10116.ENSRNOP00000002885	9654
10116.ENSRNOP00000019021	8103
10116.ENSRNOP00000009111	5927
10116.ENSRNOP00000048250	5797
10116.ENSRNOP00000012075	5780
10116.ENSRNOP00000020066	5729
10116.ENSRNOP00000016346	4521
10116.ENSRNOP00000015336	4451
10116.ENSRNOP00000003921	4066
10116.ENSRNOP00000020446	3986
10116.ENSRNOP00000023132	3974
10116.ENSRNOP00000011230	3601
10116.ENSRNOP00000018325	3384
10116.ENSRNOP00000004091	3282
10116.ENSRNOP00000002116	3172
10116.ENSRNOP00000010984	3143
10116.ENSRNOP00000037786	3115
10116.ENSRNOP00000067682	3106
10116.ENSRNOP00000003965	2988
10116.ENSRNOP00000014177	2981
10116.ENSRNOP00000048546	2895
10116.ENSRNOP00000063652	2895
10116.ENSRNOP00000020478	2871
10116.ENSRNOP00000051841	2868
10116.ENSRNOP00000013789	2840
10116.ENSRNOP00000044296	2753
10116.ENSRNOP00000051859	2705
10116.ENSRNOP00000019737	2679
10116.ENSRNOP00000067815	2655
10116.ENSRNOP00000039338	2652
10116.ENSRNOP00000022892	2649
10116.ENSRNOP00000060140	2642
10116.ENSRNOP00000017675	2623
10116.ENSRNOP00000017911	2555
10116.ENSRNOP00000001816	2524
10116.ENSRNOP00000025064	2456
10116.ENSRNOP00000015545	2446
10116.ENSRNOP00000001958	2402
10116.ENSRNOP00000043510	2380
10116.ENSRNOP00000063666	2305
10116.ENSRNOP00000026122	2287
10116.ENSRNOP00000007430	2227
10116.ENSRNOP00000001664	2207
10116.ENSRNOP00000023835	2118
10116.ENSRNOP00000029068	2043
10116.ENSRNOP00000014658	2004
10116.ENSRNOP00000024033	1983
10116.ENSRNOP00000042770	1968
10116.ENSRNOP00000024083	1958
10116.ENSRNOP00000026186	1954
10116.ENSRNOP00000041329	1921
10116.ENSRNOP00000044553	1921
10116.ENSRNOP00000045098	1921
10116.ENSRNOP00000049665	1921
10116.ENSRNOP00000049713	1921
10116.ENSRNOP00000055790	1921
10116.ENSRNOP00000059662	1921
10116.ENSRNOP00000011429	1887
10116.ENSRNOP00000043148	1863
10116.ENSRNOP00000015956	1861
10116.ENSRNOP00000017101	1852
10116.ENSRNOP00000001809	1844
10116.ENSRNOP00000022113	1832
10116.ENSRNOP00000058914	1818
10116.ENSRNOP00000020322	1771
10116.ENSRNOP00000067234	1763
10116.ENSRNOP00000041451	1760
10116.ENSRNOP00000009179	1753
10116.ENSRNOP00000009407	1753
10116.ENSRNOP00000039050	1739
10116.ENSRNOP00000010579	1728
10116.ENSRNOP00000004836	1683
10116.ENSRNOP00000025939	1679
10116.ENSRNOP00000000134	1675
10116.ENSRNOP00000014849	1668
10116.ENSRNOP00000021970	1662
10116.ENSRNOP00000015190	1649
10116.ENSRNOP00000014235	1638
10116.ENSRNOP00000004686	1627
10116.ENSRNOP00000033706	1625
10116.ENSRNOP00000048883	1625
10116.ENSRNOP00000022487	1582
10116.ENSRNOP00000034846	1569
10116.ENSRNOP00000001500	1519
10116.ENSRNOP00000056260	1486
10116.ENSRNOP00000022828	1471
10116.ENSRNOP00000015152	1466
10116.ENSRNOP00000020544	1465
10116.ENSRNOP00000005611	1464
10116.ENSRNOP00000020325	1432
10116.ENSRNOP00000027073	1422
10116.ENSRNOP00000000687	1382
10116.ENSRNOP00000024310	1375
10116.ENSRNOP00000013238	1304
10116.ENSRNOP00000003390	1289
10116.ENSRNOP00000010573	1279
10116.ENSRNOP00000017686	1258
10116.ENSRNOP00000014637	1251
10116.ENSRNOP00000011330	1241
10116.ENSRNOP00000034144	1238
10116.ENSRNOP00000026576	1227
10116.ENSRNOP00000000772	1219
10116.ENSRNOP00000017468	1184
10116.ENSRNOP00000023685	1172
10116.ENSRNOP00000000072	1171
10116.ENSRNOP00000001609	1155
10116.ENSRNOP00000041821	1147
10116.ENSRNOP00000025380	1146
10116.ENSRNOP00000060568	1146
10116.ENSRNOP00000030997	1145
10116.ENSRNOP00000048723	1145
10116.ENSRNOP00000014439	1145
10116.ENSRNOP00000002366	1141
10116.ENSRNOP00000026200	1135
10116.ENSRNOP00000004917	1131
10116.ENSRNOP00000066577	1103
10116.ENSRNOP00000021862	1097
10116.ENSRNOP00000015420	1091
10116.ENSRNOP00000009425	1083
10116.ENSRNOP00000040878	1080
10116.ENSRNOP00000026696	1079
10116.ENSRNOP00000065890	1078
10116.ENSRNOP00000012725	1073
10116.ENSRNOP00000043068	1065
10116.ENSRNOP00000002699	1062
10116.ENSRNOP00000023567	1058
10116.ENSRNOP00000039602	1055
10116.ENSRNOP00000041042	1055
10116.ENSRNOP00000064783	1055
10116.ENSRNOP00000065233	1055
10116.ENSRNOP00000066550	1055
10116.ENSRNOP00000066622	1055
10116.ENSRNOP00000066653	1055
10116.ENSRNOP00000066669	1055
10116.ENSRNOP00000066695	1055
10116.ENSRNOP00000067176	1055
10116.ENSRNOP00000067494	1055
10116.ENSRNOP00000067502	1055
10116.ENSRNOP00000067813	1055
10116.ENSRNOP00000064899	1046
10116.ENSRNOP00000026316	1043
10116.ENSRNOP00000013608	1039
10116.ENSRNOP00000066644	1036
10116.ENSRNOP00000028060	1032
10116.ENSRNOP00000064549	1022
10116.ENSRNOP00000024084	1000
10116.ENSRNOP00000024711	997
10116.ENSRNOP00000012608	996
10116.ENSRNOP00000011773	994
10116.ENSRNOP00000023350	987
10116.ENSRNOP00000017588	987
10116.ENSRNOP00000021512	986
10116.ENSRNOP00000065275	983
10116.ENSRNOP00000065728	983
10116.ENSRNOP00000046414	982
10116.ENSRNOP00000038718	981
10116.ENSRNOP00000021812	979
10116.ENSRNOP00000035090	978
10116.ENSRNOP00000030323	972
10116.ENSRNOP00000014407	961
10116.ENSRNOP00000009777	959
10116.ENSRNOP00000014382	958
10116.ENSRNOP00000067087	956
10116.ENSRNOP00000011158	955
10116.ENSRNOP00000023811	953
10116.ENSRNOP00000004780	953
10116.ENSRNOP00000024710	953
10116.ENSRNOP00000025045	947
10116.ENSRNOP00000007100	945
10116.ENSRNOP00000001545	943
10116.ENSRNOP00000015913	938
10116.ENSRNOP00000055035	931
10116.ENSRNOP00000007567	912
10116.ENSRNOP00000061762	910
10116.ENSRNOP00000003611	910
10116.ENSRNOP00000013462	909
10116.ENSRNOP00000064219	909
10116.ENSRNOP00000025525	901
10116.ENSRNOP00000062949	899
10116.ENSRNOP00000047674	898
10116.ENSRNOP00000050322	897
10116.ENSRNOP00000008728	896
10116.ENSRNOP00000024493	890
10116.ENSRNOP00000007437	887
10116.ENSRNOP00000043835	883
10116.ENSRNOP00000050213	880
10116.ENSRNOP00000039333	874
10116.ENSRNOP00000043608	870
10116.ENSRNOP00000020670	863
10116.ENSRNOP00000005471	857
10116.ENSRNOP00000061132	856
10116.ENSRNOP00000008477	855
10116.ENSRNOP00000049003	852
10116.ENSRNOP00000024362	851
10116.ENSRNOP00000001079	850
10116.ENSRNOP00000051684	850
10116.ENSRNOP00000040177	850
10116.ENSRNOP00000023935	847
10116.ENSRNOP00000012616	844
10116.ENSRNOP00000019059	839
10116.ENSRNOP00000002732	835
10116.ENSRNOP00000024430	834
10116.ENSRNOP00000035966	834
10116.ENSRNOP00000005872	833
10116.ENSRNOP00000048664	833
10116.ENSRNOP00000005844	830
10116.ENSRNOP00000028779	828
10116.ENSRNOP00000065931	828
10116.ENSRNOP00000066625	828
10116.ENSRNOP00000067422	828
10116.ENSRNOP00000065878	827
10116.ENSRNOP00000067432	827
10116.ENSRNOP00000042325	826
10116.ENSRNOP00000037126	821
10116.ENSRNOP00000064304	820
10116.ENSRNOP00000042464	820
10116.ENSRNOP00000065882	820
10116.ENSRNOP00000007624	817
10116.ENSRNOP00000060662	808
10116.ENSRNOP00000026920	806
10116.ENSRNOP00000018336	805
10116.ENSRNOP00000060007	804
10116.ENSRNOP00000038073	804
10116.ENSRNOP00000011784	803
10116.ENSRNOP00000009556	796
10116.ENSRNOP00000060990	792
10116.ENSRNOP00000041818	790
10116.ENSRNOP00000013582	782
10116.ENSRNOP00000022703	779
10116.ENSRNOP00000021514	777
10116.ENSRNOP00000030885	773
10116.ENSRNOP00000029821	772
10116.ENSRNOP00000045257	769
10116.ENSRNOP00000004770	762
10116.ENSRNOP00000015967	760
10116.ENSRNOP00000025446	759
10116.ENSRNOP00000066388	759
10116.ENSRNOP00000025794	753
10116.ENSRNOP00000050206	751
10116.ENSRNOP00000011484	750
10116.ENSRNOP00000005370	746
10116.ENSRNOP00000022275	745
10116.ENSRNOP00000024000	742
10116.ENSRNOP00000040121	741
10116.ENSRNOP00000022343	740
10116.ENSRNOP00000066002	739
10116.ENSRNOP00000015186	738
10116.ENSRNOP00000012577	736
10116.ENSRNOP00000010383	736
10116.ENSRNOP00000054370	735
10116.ENSRNOP00000016646	734
10116.ENSRNOP00000065390	729
10116.ENSRNOP00000001593	728
10116.ENSRNOP00000004329	724
10116.ENSRNOP00000040434	724
10116.ENSRNOP00000063726	724
10116.ENSRNOP00000016447	722
10116.ENSRNOP00000020625	722
10116.ENSRNOP00000051840	717
10116.ENSRNOP00000004385	717
10116.ENSRNOP00000063786	714
10116.ENSRNOP00000060626	714
10116.ENSRNOP00000021073	714
10116.ENSRNOP00000064493	714
10116.ENSRNOP00000020328	713
10116.ENSRNOP00000000749	712
10116.ENSRNOP00000000674	708
10116.ENSRNOP00000020015	706
10116.ENSRNOP00000006004	705
10116.ENSRNOP00000058419	704
10116.ENSRNOP00000022309	699
10116.ENSRNOP00000064809	699
10116.ENSRNOP00000003645	698
10116.ENSRNOP00000001211	698
10116.ENSRNOP00000024106	697
10116.ENSRNOP00000016329	695
10116.ENSRNOP00000008458	692
10116.ENSRNOP00000027976	692
10116.ENSRNOP00000001095	691
10116.ENSRNOP00000020192	688
10116.ENSRNOP00000014464	687
10116.ENSRNOP00000050691	686
10116.ENSRNOP00000045076	683
10116.ENSRNOP00000022303	681
10116.ENSRNOP00000008608	680
10116.ENSRNOP00000040859	680
10116.ENSRNOP00000019914	679
10116.ENSRNOP00000046296	679
10116.ENSRNOP00000012346	679
10116.ENSRNOP00000054398	676
10116.ENSRNOP00000044696	675
10116.ENSRNOP00000012853	675
10116.ENSRNOP00000063300	675
10116.ENSRNOP00000064663	673
10116.ENSRNOP00000032735	673
10116.ENSRNOP00000006591	671
10116.ENSRNOP00000015189	665
10116.ENSRNOP00000022209	662
10116.ENSRNOP00000044600	660
10116.ENSRNOP00000065312	660
10116.ENSRNOP00000066277	660
10116.ENSRNOP00000067504	660
10116.ENSRNOP00000067675	660
10116.ENSRNOP00000065690	659
10116.ENSRNOP00000023554	658
10116.ENSRNOP00000029276	656
10116.ENSRNOP00000019162	653
10116.ENSRNOP00000067572	652
10116.ENSRNOP00000030481	643
10116.ENSRNOP00000013829	642
10116.ENSRNOP00000005875	640
10116.ENSRNOP00000010260	640
10116.ENSRNOP00000048476	638
10116.ENSRNOP00000008980	638
10116.ENSRNOP00000029515	637
10116.ENSRNOP00000047952	635
10116.ENSRNOP00000049976	635
10116.ENSRNOP00000065066	635
10116.ENSRNOP00000024863	631
10116.ENSRNOP00000013863	629
10116.ENSRNOP00000051221	629
10116.ENSRNOP00000052313	629
10116.ENSRNOP00000001518	629
10116.ENSRNOP00000022628	627
10116.ENSRNOP00000040969	627
10116.ENSRNOP00000045002	626
10116.ENSRNOP00000051538	626
10116.ENSRNOP00000028555	621
10116.ENSRNOP00000065349	621
10116.ENSRNOP00000017472	620
10116.ENSRNOP00000009183	612
10116.ENSRNOP00000015006	611
10116.ENSRNOP00000018038	609
10116.ENSRNOP00000016051	609
10116.ENSRNOP00000022307	607
10116.ENSRNOP00000023072	605
10116.ENSRNOP00000002680	605
10116.ENSRNOP00000046867	604
10116.ENSRNOP00000013262	604
10116.ENSRNOP00000026428	604
10116.ENSRNOP00000067671	601
10116.ENSRNOP00000005014	599
10116.ENSRNOP00000019107	598
10116.ENSRNOP00000021407	598
10116.ENSRNOP00000006330	596
10116.ENSRNOP00000024609	596
10116.ENSRNOP00000013785	592
10116.ENSRNOP00000023611	592
10116.ENSRNOP00000018622	590
10116.ENSRNOP00000013816	589
10116.ENSRNOP00000029144	586
10116.ENSRNOP00000050663	586
10116.ENSRNOP00000025925	585
10116.ENSRNOP00000006359	585
10116.ENSRNOP00000028743	581
10116.ENSRNOP00000049879	580
10116.ENSRNOP00000032320	579
10116.ENSRNOP00000043239	578
10116.ENSRNOP00000066567	577
10116.ENSRNOP00000002410	576
10116.ENSRNOP00000016709	576
10116.ENSRNOP00000058940	574
10116.ENSRNOP00000025689	572
10116.ENSRNOP00000023582	571
10116.ENSRNOP00000010512	571
10116.ENSRNOP00000042949	567
10116.ENSRNOP00000030902	566
10116.ENSRNOP00000042022	566
10116.ENSRNOP00000042288	566
10116.ENSRNOP00000046127	566
10116.ENSRNOP00000050202	566
10116.ENSRNOP00000050353	566
10116.ENSRNOP00000024347	565
10116.ENSRNOP00000004570	565
10116.ENSRNOP00000039968	564
10116.ENSRNOP00000012878	564
10116.ENSRNOP00000001961	560
10116.ENSRNOP00000021646	557
10116.ENSRNOP00000001556	557
10116.ENSRNOP00000008503	557
10116.ENSRNOP00000028687	553
10116.ENSRNOP00000039154	553
10116.ENSRNOP00000022022	552
10116.ENSRNOP00000001822	552
10116.ENSRNOP00000011494	549
10116.ENSRNOP00000028754	546
10116.ENSRNOP00000011069	546
10116.ENSRNOP00000022985	544
10116.ENSRNOP00000025887	543
10116.ENSRNOP00000050968	540
10116.ENSRNOP00000003334	539
10116.ENSRNOP00000051958	538
10116.ENSRNOP00000014905	538
10116.ENSRNOP00000065206	537
10116.ENSRNOP00000021284	535
10116.ENSRNOP00000066502	534
10116.ENSRNOP00000064632	534
10116.ENSRNOP00000012428	533
10116.ENSRNOP00000007298	532
10116.ENSRNOP00000036514	529
10116.ENSRNOP00000016454	529
10116.ENSRNOP00000053123	528
10116.ENSRNOP00000041531	528
10116.ENSRNOP00000059624	526
10116.ENSRNOP00000004799	524
10116.ENSRNOP00000014267	522
10116.ENSRNOP00000063207	520
10116.ENSRNOP00000064431	518
10116.ENSRNOP00000065546	518
10116.ENSRNOP00000066480	518
10116.ENSRNOP00000067217	518
10116.ENSRNOP00000015282	518
10116.ENSRNOP00000034723	517
10116.ENSRNOP00000014493	517
10116.ENSRNOP00000041638	517
10116.ENSRNOP00000021221	515
10116.ENSRNOP00000061284	515
10116.ENSRNOP00000003658	513
10116.ENSRNOP00000055223	512
10116.ENSRNOP00000012092	512
10116.ENSRNOP00000012425	510
10116.ENSRNOP00000002712	508
10116.ENSRNOP00000054923	505
10116.ENSRNOP00000018001	503
10116.ENSRNOP00000052465	503
10116.ENSRNOP00000004797	502
10116.ENSRNOP00000022630	498
10116.ENSRNOP00000005522	498
10116.ENSRNOP00000027537	497
10116.ENSRNOP00000016509	496
10116.ENSRNOP00000035840	496
