#id: 1223029411
#name: Rornithinolytica B6 - Whole organism (Integrated)
#score: 8.0
#coverage: 49
#description: integrated dataset: weighted average of all Rornithinolytica B6 WHOLE_ORGANISM: 8.0, Coverage: 49
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD010643_Palyzova_International_Biodeterioration_and_biodegradation_2019_R_ornithinolytica_exponential:0.833;PXD010643_Palyzova_International_Biodeterioration_and_biodegradation_2019_R_ornithinolytica_stationary:0.167;
#publication_year: 2023
#filename: 1286170-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
1286170.RORB6_16815	57811
1286170.RORB6_20815	19741
1286170.RORB6_09895	13300
1286170.RORB6_17515	11407
1286170.RORB6_23675	10530
1286170.RORB6_17605	10218
1286170.RORB6_21895	9962
1286170.RORB6_13140	9637
1286170.RORB6_11375	9468
1286170.RORB6_03080	9384
1286170.RORB6_03945	8966
1286170.RORB6_20870	8008
1286170.RORB6_18625	7658
1286170.RORB6_20810	7492
1286170.RORB6_08070	7470
1286170.RORB6_20925	7119
1286170.RORB6_10665	6763
1286170.RORB6_20875	6758
1286170.RORB6_06995	6735
1286170.RORB6_20880	6626
1286170.RORB6_18615	6587
1286170.RORB6_17620	6530
1286170.RORB6_00670	6238
1286170.RORB6_08685	6113
1286170.RORB6_20840	5880
1286170.RORB6_08520	5525
1286170.RORB6_20970	5475
1286170.RORB6_20915	5429
1286170.RORB6_05735	5346
1286170.RORB6_20805	5260
1286170.RORB6_16840	5214
1286170.RORB6_21250	5111
1286170.RORB6_20320	5062
1286170.RORB6_20855	5027
1286170.RORB6_20835	5025
1286170.RORB6_17610	4934
1286170.RORB6_21430	4898
1286170.RORB6_09425	4782
1286170.RORB6_17615	4667
1286170.RORB6_16580	4365
1286170.RORB6_17060	4328
1286170.RORB6_20845	4092
1286170.RORB6_24530	4015
1286170.RORB6_14265	3933
1286170.RORB6_20865	3823
1286170.RORB6_05280	3754
1286170.RORB6_20900	3613
1286170.RORB6_21890	3597
1286170.RORB6_20960	3544
1286170.RORB6_17960	3484
1286170.RORB6_00685	3458
