#id: 2162074133
#name: S.pyogenes M1GAS - Whole organism (Integrated)
#score: 12.3
#coverage: 66
#description: integrated dataset: weighted average of all S.pyogenes M1GAS WHOLE_ORGANISM: 12.3, Coverage: 66
#organ: WHOLE_ORGANISM
#integrated: true
#weights: StreptococcusPyogenes_M1GAS_PRIDE:0.509;atlas_build_101:0.174;160490-PA_200702:0.165;160490_GPM_201408:0.153;
#publication_year: 2023
#filename: 1314-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
1314.HKU360_01851	30585
1314.HKU360_00861	29474
1314.HKU360_00100	20861
1314.HKU360_01265	19752
1314.HKU360_01015	19541
1314.HKU360_01154	18842
1314.HKU360_00093	17093
1314.HKU360_00273	15516
1314.HKU360_00567	12996
1314.HKU360_00991	12550
1314.HKU360_00662	11696
1314.HKU360_01677	10935
1314.HKU360_00632	10823
1314.HKU360_00096	10195
1314.HKU360_00519	10157
1314.HKU360_01724	10157
1314.HKU360_00090	9976
1314.HKU360_01826	9920
1314.HKU360_01765	9909
1314.HKU360_00085	9815
1314.HKU360_00091	9778
1314.HKU360_00520	9439
1314.HKU360_01016	8949
1314.HKU360_01725	8728
1314.HKU360_00733	8613
1314.HKU360_00082	8532
1314.HKU360_00631	8380
1314.HKU360_01929	7913
1314.HKU360_00089	7876
1314.HKU360_00645	7844
1314.HKU360_00088	7792
1314.HKU360_00095	7398
1314.HKU360_00271	7275
1314.HKU360_00080	7208
1314.HKU360_00086	7141
1314.HKU360_01152	6875
1314.HKU360_00860	6833
1314.HKU360_00087	6712
1314.HKU360_01719	6685
1314.HKU360_01287	6540
1314.HKU360_00092	6440
1314.HKU360_01434	6342
1314.HKU360_00727	6313
1314.HKU360_01854	6229
1314.HKU360_01553	6137
1314.HKU360_01730	5975
1314.HKU360_00104	5792
1314.HKU360_01881	5784
1314.HKU360_00094	5684
1314.HKU360_00083	5640
1314.HKU360_00078	5353
1314.HKU360_00084	5317
1314.HKU360_01032	5290
1314.HKU360_01675	5189
1314.HKU360_00556	5087
1314.HKU360_00079	5087
1314.HKU360_01879	5049
1314.HKU360_01548	5035
1314.HKU360_01943	5020
1314.HKU360_00561	5010
1314.HKU360_00406	4889
1314.HKU360_00102	4887
1314.HKU360_01893	4835
1314.HKU360_01031	4754
1314.HKU360_01198	4699
1314.HKU360_00608	4616
1314.HKU360_01834	4583
1314.HKU360_01314	4561
1314.HKU360_00409	4501
1314.HKU360_00076	4490
1314.HKU360_00272	4481
1314.HKU360_00935	4359
1314.HKU360_00081	4283
1314.HKU360_01894	4155
1314.HKU360_01911	4142
1314.HKU360_01874	4133
1314.HKU360_00848	4065
1314.HKU360_00270	4051
1314.HKU360_01766	3972
1314.HKU360_01014	3884
1314.HKU360_01373	3852
1314.HKU360_01784	3734
1314.HKU360_00101	3610
1314.HKU360_01533	3507
1314.HKU360_01043	3494
1314.HKU360_00407	3492
1314.HKU360_00077	3443
1314.HKU360_01316	3440
1314.HKU360_01292	3245
1314.HKU360_00940	3189
1314.HKU360_00724	3052
1314.HKU360_01875	3049
1314.HKU360_01554	2953
1314.HKU360_00228	2899
1314.HKU360_01403	2886
1314.HKU360_01597	2857
1314.HKU360_00647	2836
1314.HKU360_00103	2802
1314.HKU360_01967	2741
1314.HKU360_00914	2680
1314.HKU360_00288	2660
1314.HKU360_00589	2602
1314.HKU360_01849	2496
1314.HKU360_00440	2367
1314.HKU360_00332	2352
1314.HKU360_01153	2322
1314.HKU360_01946	2287
1314.HKU360_00987	2235
1314.HKU360_01388	2225
1314.HKU360_00630	2181
1314.HKU360_00821	2157
1314.HKU360_01169	2144
1314.HKU360_00400	2144
1314.HKU360_01979	2131
1314.HKU360_00357	2107
1314.HKU360_01050	2106
1314.HKU360_01786	2079
1314.HKU360_01056	2078
1314.HKU360_01311	2076
1314.HKU360_01377	2069
1314.HKU360_00819	2064
1314.HKU360_00308	2036
1314.HKU360_00302	1995
1314.HKU360_01302	1993
1314.HKU360_01830	1978
1314.HKU360_01691	1967
1314.HKU360_00818	1921
1314.HKU360_01543	1913
1314.HKU360_01435	1908
1314.HKU360_00505	1902
1314.HKU360_01843	1893
1314.HKU360_00309	1846
1314.HKU360_00365	1845
1314.HKU360_01335	1831
1314.HKU360_00013	1814
1314.HKU360_01155	1750
1314.HKU360_00591	1677
1314.HKU360_01544	1650
1314.HKU360_00934	1646
1314.HKU360_00444	1627
1314.HKU360_01538	1598
1314.HKU360_00183	1580
1314.HKU360_01552	1568
1314.HKU360_01427	1560
1314.HKU360_00587	1532
1314.HKU360_00098	1530
1314.HKU360_01139	1504
1314.HKU360_00182	1496
1314.HKU360_00500	1491
1314.HKU360_00074	1462
1314.HKU360_00611	1454
1314.HKU360_01181	1427
1314.HKU360_01055	1420
1314.HKU360_01028	1418
1314.HKU360_01681	1368
1314.HKU360_00099	1356
1314.HKU360_01844	1354
1314.HKU360_01407	1339
1314.HKU360_01921	1334
1314.HKU360_01024	1297
1314.HKU360_00707	1274
1314.HKU360_00609	1273
1314.HKU360_00672	1269
1314.HKU360_00049	1266
1314.HKU360_01596	1260
1314.HKU360_00705	1225
1314.HKU360_01716	1196
1314.HKU360_00050	1194
1314.HKU360_01928	1184
1314.HKU360_00501	1175
1314.HKU360_01545	1158
1314.HKU360_01274	1147
1314.HKU360_00675	1126
1314.HKU360_00857	1116
1314.HKU360_00131	1109
1314.HKU360_00627	1106
1314.HKU360_00130	1076
1314.HKU360_00716	1073
1314.HKU360_00403	1066
1314.HKU360_01701	1057
1314.HKU360_00318	1055
1314.HKU360_00828	1045
1314.HKU360_01384	1037
1314.HKU360_01704	1036
1314.HKU360_00963	1023
1314.HKU360_00637	1022
1314.HKU360_00250	1020
1314.HKU360_01199	1019
1314.HKU360_01721	1010
1314.HKU360_01722	1008
1314.HKU360_00072	1004
1314.HKU360_01913	985
1314.HKU360_01717	975
1314.HKU360_01850	972
1314.HKU360_00447	942
1314.HKU360_01882	939
1314.HKU360_00708	924
1314.HKU360_01034	922
1314.HKU360_00820	917
1314.HKU360_01720	916
1314.HKU360_01399	913
1314.HKU360_00234	904
1314.HKU360_00184	900
1314.HKU360_01566	891
1314.HKU360_01895	888
1314.HKU360_01757	887
1314.HKU360_01290	884
1314.HKU360_00747	881
1314.HKU360_00235	879
1314.HKU360_01971	872
1314.HKU360_00983	871
1314.HKU360_01585	866
1314.HKU360_00937	863
1314.HKU360_01136	852
1314.HKU360_00488	848
1314.HKU360_01189	842
1314.HKU360_01539	837
1314.HKU360_01562	835
1314.HKU360_01790	827
1314.HKU360_00169	827
1314.HKU360_01564	822
1314.HKU360_01729	819
1314.HKU360_01665	806
1314.HKU360_01676	800
1314.HKU360_01534	793
1314.HKU360_01029	777
1314.HKU360_00506	767
1314.HKU360_00127	744
1314.HKU360_00543	741
1314.HKU360_01461	738
1314.HKU360_00658	732
1314.HKU360_00740	724
1314.HKU360_01560	720
1314.HKU360_01968	715
1314.HKU360_00244	713
1314.HKU360_00558	711
1314.HKU360_00748	708
1314.HKU360_00141	703
1314.HKU360_01300	694
1314.HKU360_00959	693
1314.HKU360_00723	684
1314.HKU360_01708	677
1314.HKU360_00900	674
1314.HKU360_01541	672
1314.HKU360_01535	670
1314.HKU360_00746	667
1314.HKU360_01312	664
1314.HKU360_01465	650
1314.HKU360_01695	649
1314.HKU360_01758	634
1314.HKU360_01017	626
1314.HKU360_01958	620
1314.HKU360_01462	617
1314.HKU360_01547	614
1314.HKU360_01443	609
1314.HKU360_00700	607
1314.HKU360_01713	592
1314.HKU360_00412	580
1314.HKU360_01167	572
1314.HKU360_01141	562
1314.HKU360_01436	561
1314.HKU360_01035	555
1314.HKU360_00366	546
1314.HKU360_00823	545
