#id: 869679670
#name: L.interrogans - Whole organism (Integrated)
#score: 9.4
#coverage: 65
#description: integrated dataset: weighted average of all L.interrogans WHOLE_ORGANISM: 9.4, Coverage: 65
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Leptospira-interrogans_PA_2013-8:0.407;267671-PA_201308:0.325;Leptospira_build_121.peptides.cut:0.22;controlMS1_Leptospira_Malmstroem_2009:0.038;controlSpectral_Leptospira_Malmstroem_2009:0.01;
#publication_year: 2023
#filename: 189518-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
189518.LB_083	20152
189518.LA_2637	13553
189518.LA_2655	13214
189518.LA_0011	12646
189518.LA_2325	11115
189518.LA_2017	9979
189518.LA_0737	9849
189518.LA_1920	9771
189518.LA_3961	9385
189518.LA_0616	9142
189518.LA_0411	8137
189518.LA_2654	7681
189518.LA_0222	7142
189518.LA_2066	7089
189518.LA_1719	7074
189518.LA_2809	6397
189518.LA_3421	5981
189518.LA_1253	5852
189518.LA_3839	5721
189518.LA_2458	5275
189518.LA_1245	5159
189518.LA_0862	4812
189518.LA_0412	4688
189518.LA_2776	4664
189518.LA_3982	4588
189518.LA_2139	4527
189518.LA_1044	4358
189518.LA_0799	4299
189518.LA_1101	4209
189518.LA_3705	4101
189518.LA_2779	3947
189518.LA_2418	3875
189518.LA_0471	3840
189518.LA_1313	3840
189518.LA_4242	3725
189518.LA_1532	3656
189518.LA_3379	3538
189518.LA_0748	3504
189518.LA_1859	3500
189518.LA_3143	3458
189518.LA_1953	3418
189518.LA_4168	3334
189518.LA_0765	3290
189518.LA_0750	3227
189518.LA_1704	3196
189518.LA_2024	3178
189518.LA_2759	3139
189518.LA_0629	3135
189518.LA_4067	3026
189518.LA_0828	3019
189518.LA_2841	3019
189518.LA_0076	2975
189518.LA_0492	2953
189518.LA_0754	2828
189518.LA_0071	2825
189518.LA_0809	2825
189518.LA_2559	2787
189518.LA_0204	2786
189518.LA_1102	2780
189518.LA_3484	2737
189518.LA_1678	2714
189518.LA_2295	2713
189518.LA_3606	2700
189518.LA_0400	2696
189518.LA_0207	2676
189518.LA_2633	2668
189518.LA_3409	2667
189518.LA_0505	2641
189518.LB_099	2579
189518.LA_3380	2575
189518.LA_1675	2557
189518.LA_0738	2529
189518.LA_0753	2527
189518.LA_1563	2507
189518.LA_0052	2502
189518.LA_3416	2483
189518.LA_3821	2476
189518.LA_3422	2452
189518.LA_0313	2392
189518.LA_4138	2389
189518.LA_3598	2355
189518.LA_0745	2341
189518.LA_1728	2312
189518.LA_3097	2293
189518.LA_3704	2287
189518.LA_4110	2241
189518.LA_0249	2241
189518.LA_0764	2231
189518.LA_3091	2230
189518.LA_0760	2208
189518.LA_0205	2167
189518.LA_3417	2131
189518.LA_1053	2129
189518.LB_117	2114
189518.LA_3607	2105
189518.LA_2286	2097
189518.LA_0899	2092
189518.LA_3807	2081
189518.LA_1928	2080
189518.LA_0848	2074
189518.LA_3424	2058
189518.LA_3135	2017
189518.LA_2835	2003
189518.LB_106	1998
189518.LA_1676	1996
189518.LA_2535	1988
189518.LA_2019	1981
189518.LA_2627	1981
189518.LA_0947	1976
189518.LA_0457	1973
189518.LA_3912	1968
189518.LA_4327	1952
189518.LA_3420	1934
189518.LA_2836	1924
189518.LA_2621	1915
189518.LA_3419	1910
189518.LA_3295	1901
189518.LA_3096	1890
189518.LA_0251	1886
189518.LA_0746	1880
189518.LA_4139	1879
189518.LA_0740	1866
189518.LA_0744	1849
189518.LB_082	1845
189518.LA_3522	1834
189518.LA_2391	1805
189518.LB_327	1804
189518.LA_0751	1803
189518.LB_242	1799
189518.LA_1222	1782
189518.LA_2194	1768
189518.LA_2738	1768
189518.LA_0942	1763
189518.LA_0739	1751
189518.LA_0756	1745
189518.LA_0763	1730
189518.LA_0002	1729
189518.LA_2560	1721
189518.LA_2550	1718
189518.LA_2179	1707
189518.LA_1897	1689
189518.LA_3748	1674
189518.LA_1260	1673
189518.LA_1853	1650
189518.LA_4156	1646
189518.LB_257	1643
189518.LA_0296	1642
189518.LA_2151	1620
189518.LA_1100	1616
189518.LA_0747	1616
189518.LA_1616	1608
189518.LA_0741	1585
189518.LA_3298	1578
189518.LA_0766	1577
189518.LA_2512	1565
189518.LA_3578	1543
189518.LB_316	1534
189518.LA_3423	1524
189518.LA_1052	1519
189518.LA_0742	1515
189518.LA_4159	1512
189518.LA_0776	1475
189518.LA_3425	1470
189518.LA_3397	1463
189518.LA_2109	1453
189518.LA_2998	1443
189518.LA_3949	1436
189518.LA_0946	1436
189518.LA_0653	1427
189518.LA_1306	1424
189518.LB_058	1417
189518.LA_1517	1410
189518.LA_1020	1405
189518.LA_1583	1404
189518.LA_2062	1372
189518.LA_0761	1362
189518.LA_1617	1348
189518.LA_0206	1348
189518.LB_194	1343
189518.LA_2947	1338
189518.LA_1896	1326
189518.LA_1495	1325
189518.LA_0758	1324
189518.LA_3957	1324
189518.LA_1951	1320
189518.LA_2821	1310
189518.LB_293	1300
189518.LA_2130	1299
189518.LA_1513	1291
189518.LA_3267	1283
189518.LA_0395	1280
189518.LA_1021	1274
189518.LA_2575	1269
189518.LA_3297	1267
189518.LA_0762	1248
189518.LA_0242	1245
189518.LA_2138	1234
189518.LA_3219	1217
189518.LA_0851	1214
189518.LA_2081a	1213
189518.LA_0278	1196
189518.LA_1423	1188
189518.LA_2324	1175
189518.LA_2433	1175
189518.LA_1064	1174
189518.LA_3301	1169
189518.LA_0185	1166
189518.LA_1939	1164
189518.LA_0009	1153
189518.LA_3597	1141
189518.LA_2387	1132
189518.LA_0263	1131
189518.LA_3265	1131
189518.LA_1409	1127
189518.LA_2531	1126
189518.LB_222	1124
189518.LA_3627	1111
189518.LA_4329	1100
189518.LA_1879	1097
189518.LA_1594	1092
189518.LA_0790	1083
189518.LA_3214	1064
189518.LA_3306	1064
189518.LA_1272	1060
189518.LA_1950	1059
189518.LA_2250	1059
189518.LA_1417	1054
189518.LA_2542	1052
189518.LA_1579	1051
189518.LA_2316	1048
189518.LA_2372	1046
189518.LA_1223	1037
189518.LA_1420	1029
189518.LA_0839	1021
189518.LA_3378	1021
189518.LA_0678	1020
189518.LA_2551	1010
189518.LA_2230	1010
189518.LA_1521	1010
189518.LB_268	1005
189518.LA_1054	985
189518.LA_2229	980
189518.LA_4216	977
189518.LA_0598	975
189518.LA_1468a	973
189518.LB_125	972
189518.LA_1032	971
189518.LA_1224	970
189518.LA_0051	970
189518.LA_3795	968
189518.LA_3747	968
189518.LA_0749	963
189518.LA_1929	962
189518.LB_333	958
189518.LA_3709	956
189518.LA_0361	950
189518.LA_0755	947
189518.LA_1696	946
189518.LA_2882	943
189518.LA_0365	939
189518.LA_3604	939
189518.LA_2096	934
189518.LA_1580	932
189518.LA_0560	930
189518.LA_2417	929
189518.LA_0654	929
189518.LA_0020	928
189518.LB_047	925
189518.LA_1586	923
189518.LA_3822	923
189518.LA_1572	922
189518.LA_0414	914
189518.LA_3300	910
189518.LA_2083	910
189518.LA_2859	901
189518.LA_2408	892
189518.LA_2095	889
189518.LB_070	887
189518.LB_120	887
189518.LA_1212	886
189518.LA_2129	885
189518.LA_2834	881
189518.LA_3964	880
189518.LA_0193	877
189518.LA_3644	873
189518.LA_2174	864
189518.LA_1110	863
189518.LA_0599	863
189518.LA_2300	862
189518.LA_1703	861
189518.LA_1614	860
189518.LA_2780	859
189518.LA_1643	857
189518.LA_1051	855
189518.LA_2420	848
189518.LA_3262	847
189518.LA_2152	843
189518.LA_2232	841
189518.LA_1242	837
189518.LA_3928	836
189518.LA_1198	834
189518.LA_2712	826
189518.LA_0512	822
189518.LA_3312	815
189518.LA_0752	811
189518.LA_2781	808
189518.LA_3070	807
189518.LA_3845	806
189518.LA_4025	804
189518.LA_2572	802
189518.LA_1986	800
189518.LA_0106	798
189518.LA_3823	796
189518.LA_3706	793
189518.LA_3408	793
189518.LA_2309	788
189518.LB_258	783
189518.LA_1137	781
189518.LA_0918	778
189518.LB_079	777
189518.LA_1238	772
189518.LA_4193	771
189518.LA_1244	770
189518.LA_2164	768
189518.LA_3533	768
189518.LA_2126	766
189518.LA_1884	761
189518.LA_2775	757
189518.LA_0890	756
189518.LA_1239	754
189518.LA_0126	751
189518.LA_3665	739
189518.LA_2153	738
189518.LA_0743	738
189518.LA_3869	734
189518.LB_062	730
189518.LA_4240	729
189518.LA_2778	726
189518.LA_3410	723
189518.LA_0671	719
189518.LA_1240	719
189518.LA_1293	719
189518.LA_3664	718
189518.LA_0734	715
189518.LA_0256	714
189518.LA_1378	712
189518.LA_1250	712
189518.LA_2992	706
189518.LA_2624	704
189518.LA_0869	704
189518.LA_2468	703
189518.LA_2507	697
189518.LA_1142	696
189518.LA_2178	695
189518.LA_2917	694
189518.LA_0693	691
189518.LA_3535	675
189518.LA_4154	672
189518.LB_051	671
189518.LA_1587	669
189518.LA_2226	667
189518.LA_2967	667
189518.LA_1421	664
189518.LA_1960	663
189518.LA_1930	659
189518.LA_0369	658
189518.LA_0646	657
189518.LA_0175	655
189518.LA_2570	654
189518.LA_3158	652
189518.LA_0136	650
189518.LA_2603	649
189518.LB_042	648
189518.LA_1880	648
189518.LA_0893	646
189518.LA_4255	644
189518.LA_4299	644
189518.LA_2469	642
189518.LA_3657	642
189518.LA_0391	642
189518.LA_1136	639
189518.LB_124	636
189518.LA_2632	634
189518.LA_0280	632
189518.LA_3264	632
189518.LA_2494	631
189518.LA_3138	629
189518.LA_3819	625
189518.LA_2009	624
189518.LA_2077	624
189518.LA_1890	620
189518.LA_0861	620
189518.LA_3668	619
189518.LB_074	619
189518.LA_1459	614
189518.LA_0909	614
189518.LA_1911	614
189518.LA_0389	612
189518.LA_0943	611
189518.LA_3534	610
189518.LA_2323	607
189518.LA_3286	605
189518.LA_0107	605
189518.LA_1467	600
189518.LA_4339	600
189518.LA_1243	598
189518.LA_1047	598
189518.LA_2973	595
189518.LA_2968	594
189518.LA_0250	590
189518.LA_0335	589
189518.LA_0033	588
189518.LB_355	585
189518.LA_2436	585
189518.LA_2959	585
189518.LA_0072	582
189518.LA_0179	582
189518.LA_2162	581
189518.LA_2561	578
189518.LA_1158	577
189518.LA_2894	576
189518.LA_1347	572
189518.LA_1155	571
189518.LA_2757	568
189518.LA_0478	566
189518.LB_002	563
189518.LA_3874	558
189518.LA_3442	556
189518.LB_176	556
189518.LA_3296	556
189518.LA_0957	553
189518.LA_2383	551
189518.LA_1141	547
189518.LA_1398	547
189518.LA_3975	547
189518.LA_3406	545
189518.LA_0083	544
189518.LA_3200b	544
189518.LA_0720	543
189518.LA_2202	542
189518.LB_366	535
189518.LA_2558	531
189518.LA_2829	528
189518.LA_0494	527
189518.LA_3405	525
189518.LA_4040	524
189518.LA_2223	523
189518.LA_1659	523
189518.LA_1935	519
189518.LA_2438	517
189518.LA_4314a	517
189518.LA_1593	516
189518.LA_1481	516
189518.LA_3917	514
189518.LA_1975	507
189518.LA_2569	506
189518.LA_2010	505
189518.LA_1948	503
189518.LA_4194	503
189518.LA_2071	502
189518.LA_0160	501
189518.LA_1564	500
189518.LA_2301	499
189518.LA_2329	498
189518.LA_2905	497
189518.LA_0402	495
189518.LA_2423	494
189518.LA_1107	494
189518.LA_0803	492
189518.LA_0181	488
189518.LA_3629	487
189518.LA_0595	486
189518.LA_2119	486
189518.LB_363	486
189518.LA_0378	484
189518.LA_2097	483
189518.LB_177	483
189518.LA_0824	482
189518.LA_0124	480
189518.LA_1189	479
189518.LA_4171	478
189518.LA_0310	478
189518.LA_2222	477
189518.LA_2215	477
189518.LA_1147	476
189518.LA_1865	473
189518.LA_0433	472
189518.LA_3512	469
189518.LA_4291	469
189518.LA_2252	466
189518.LA_1419	465
189518.LA_0757	464
189518.LA_3800	460
189518.LA_1661	460
189518.LA_0325	460
189518.LA_0956	459
189518.LA_1323	456
189518.LA_0362	455
189518.LA_0075	455
189518.LA_0137	455
189518.LA_1062	453
189518.LA_3653	450
189518.LA_4190	450
189518.LA_3639	449
189518.LA_3290	449
189518.LA_2236	449
189518.LA_1535	448
189518.LA_3400	446
189518.LA_3638	446
189518.LA_0138	445
189518.LA_1427	444
189518.LA_4198	444
189518.LA_3660	444
189518.LA_1734	443
189518.LB_365	442
189518.LA_1327	442
189518.LA_0727	441
189518.LA_2390	441
189518.LB_273	440
189518.LA_2283	440
189518.LA_3511	439
189518.LA_3156	438
189518.LA_3289	437
189518.LA_1629	436
189518.LA_4266	435
189518.LA_3485	434
189518.LA_4085	432
189518.LA_3801	431
189518.LA_1359	431
189518.LA_3918	431
189518.LA_1112	430
189518.LA_1601	430
189518.LB_001	429
189518.LA_3094	427
