#id: 2137998821
#name: C.jejuni - Whole organism (Integrated)
#score: 7.1
#coverage: 47
#description: integrated dataset: weighted average of all C.jejuni WHOLE_ORGANISM: 7.1, Coverage: 47
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Campylobacter_jejuni_SC_biomart_17684_O__1reps:0.769;Campylobacter_jejuni_SC_biomart_17684_E__1reps:0.231;
#publication_year: 2023
#filename: 192222-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
192222.Cj1259	60460
192222.Cj1221	24138
192222.Cj0358	20654
192222.Cj0470	18522
192222.Cj1339c	17503
192222.Cj0012c	17037
192222.Cj1382c	14891
192222.Cj1220	14249
192222.Cj0998c	14198
192222.Cj0334	13156
192222.Cj0245	13111
192222.Cj0087	11684
192222.Cj0779	11683
192222.Cj1153	10753
192222.Cj0113	10731
192222.Cj0913c	9574
192222.Cj0596	9567
192222.Cj1026c	8799
192222.Cj0780	8420
192222.Cj0420	8164
192222.Cj0193c	7799
192222.Cj0921c	7023
192222.Cj1689c	6991
192222.Cj0285c	6132
192222.Cj0147c	6115
192222.Cj0355c	5970
192222.Cj0734c	5870
192222.Cj1591	5768
192222.Cj0715	5671
192222.Cj0475	5538
192222.Cj1479c	5356
192222.Cj1476c	5179
192222.Cj1110c	5060
192222.Cj0409	5048
192222.Cj1266c	5041
192222.Cj0234c	4882
192222.Cj1707c	4880
192222.Cj1611	4878
192222.Cj0638c	4836
192222.Cj1338c	4763
192222.Cj0284c	4736
192222.Cj0402	4715
192222.Cj0492	4630
192222.Cj0448c	4581
192222.Cj1478c	4575
192222.Cj0783	4546
192222.Cj0105	4544
192222.Cj1506c	4488
192222.Cj1186c	4469
192222.Cj1190c	4333
192222.Cj1070	4277
192222.Cj0115	4222
192222.Cj1228c	4183
192222.Cj0759	4161
192222.Cj0107	4090
192222.Cj1701c	4067
192222.Cj1702c	4007
192222.Cj0262c	3975
192222.Cj0283c	3923
192222.Cj1700c	3907
192222.Cj1489c	3854
192222.Cj1564	3777
192222.Cj0069	3768
192222.Cj1690c	3725
192222.Cj0835c	3698
192222.Cj0533	3643
192222.Cj0091	3617
192222.Cj0332c	3565
192222.Cj0612c	3514
192222.Cj0289c	3513
192222.Cj0493	3501
192222.Cj1593	3490
192222.Cj1595	3468
192222.Cj1672c	3353
192222.Cj0665c	3338
192222.Cj1696c	3298
192222.Cj1695c	3259
192222.Cj0144	3248
192222.Cj1698c	3210
192222.Cj0772c	3187
192222.Cj0311	3108
192222.Cj1692c	3107
192222.Cj1594	3053
192222.Cj0477	3005
192222.Cj1511c	2909
192222.Cj0632	2900
192222.Cj1170c	2773
192222.Cj0536	2766
192222.Cj1708c	2710
192222.Cj0449c	2687
192222.Cj1182c	2677
192222.Cj1019c	2674
192222.Cj0639c	2616
192222.Cj1704c	2599
192222.Cj0518	2592
192222.Cj1682c	2588
192222.Cj1691c	2570
192222.Cj0710	2474
192222.Cj0371	2470
192222.Cj1279c	2440
192222.Cj0435	2409
192222.Cj1380	2387
192222.Cj1480c	2339
192222.Cj1058c	2335
192222.Cj0714	2323
192222.Cj0699c	2294
192222.Cj1287c	2286
192222.Cj0534	2281
192222.Cj1534c	2260
192222.Cj1487c	2252
192222.Cj0410	2245
192222.Cj0074c	2238
192222.Cj1592	2232
192222.Cj0264c	2218
192222.Cj0689	2217
192222.Cj1274c	2209
192222.Cj0276	2176
192222.Cj0114	2165
192222.Cj1420c	2128
192222.Cj0034c	2127
192222.Cj1171c	2118
192222.Cj0662c	2063
192222.Cj1176c	2057
192222.Cj1096c	2055
192222.Cj0664c	2045
192222.Cj0918c	2044
192222.Cj0175c	2033
192222.Cj1357c	2028
192222.Cj0073c	2005
192222.Cj0893c	1972
192222.Cj0476	1970
192222.Cj1364c	1938
192222.Cj0511	1925
192222.Cj0575	1920
192222.Cj0899c	1918
192222.Cj1706c	1911
192222.Cj0415	1910
192222.Cj0725c	1898
192222.Cj0559	1880
192222.Cj0400	1870
192222.Cj1184c	1804
192222.Cj1181c	1802
192222.Cj0389	1794
192222.Cj0474	1786
192222.Cj0853c	1784
192222.Cj0092	1777
192222.Cj0392c	1739
192222.Cj1198	1733
192222.Cj1699c	1716
192222.Cj1290c	1710
192222.Cj1403c	1683
192222.Cj0002	1680
192222.Cj0531	1680
192222.Cj1673c	1656
192222.Cj1400c	1650
192222.Cj0437	1644
192222.Cj0982c	1618
192222.Cj1427c	1608
192222.Cj0384c	1597
192222.Cj0646	1596
192222.Cj0404	1579
192222.Cj0776c	1566
192222.Cj0094	1553
192222.Cj0778	1551
192222.Cj0364	1496
192222.Cj0933c	1491
192222.Cj1575c	1486
192222.Cj0771c	1485
192222.Cj0537	1481
192222.Cj1498c	1469
192222.Cj0643	1462
192222.Cj1086c	1437
192222.Cj0017c	1436
192222.Cj0706	1434
192222.Cj1261	1408
192222.Cj0491	1400
192222.Cj0471	1396
192222.Cj0265c	1392
192222.Cj0582	1388
192222.Cj1291c	1379
192222.Cj1596	1367
192222.Cj0473	1354
192222.Cj0512	1351
192222.Cj1197c	1350
