#id: 1102028202
#name: P.aeruginosa - Whole organism (Integrated)
#score: 23.4
#coverage: 74
#description: integrated dataset: weighted average of all P.aeruginosa WHOLE_ORGANISM: 23.4, Coverage: 74
#organ: WHOLE_ORGANISM
#integrated: true
#weights: 208964_GPM_201408:0.627;Pseudomonas_aeruginosa_SC_biomart_22024_E__1reps:0.31;Pseudomonas-aeruginosa_PA_2021-1:0.063;
#publication_year: 2023
#filename: 208964-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
208964.PA1092	23307
208964.PA4385	13158
208964.PA1777	10982
208964.PA4847	10188
208964.PA1178	9933
208964.PA4265	8327
208964.PA4277	8327
208964.PA4525	7297
208964.PA2741	6935
208964.PA4271	6147
208964.PA4568	5435
208964.PA1609	5279
208964.PA4239	5101
208964.PA5172	5046
208964.PA4257	5033
208964.PA5556	4948
208964.PA0579	4938
208964.PA4238	4788
208964.PA2853	4608
208964.PA4267	4462
208964.PA3162	4454
208964.PA5554	4407
208964.PA1804	4367
208964.PA4253	4124
208964.PA5253	4116
208964.PA4248	4113
208964.PA4258	4047
208964.PA4260	4038
208964.PA4262	4015
208964.PA4315	3986
208964.PA2623	3941
208964.PA4236	3933
208964.PA4266	3884
208964.PA4934	3572
208964.PA4263	3554
208964.PA4761	3551
208964.PA4250	3413
208964.PA3822	3401
208964.PA4246	3323
208964.PA4245	3232
208964.PA5171	3216
208964.PA3656	3209
208964.PA4254	3196
208964.PA4256	3173
208964.PA4251	3118
208964.PA5060	3105
208964.PA4269	3100
208964.PA2760	3070
208964.PA4935	3005
208964.PA4270	2981
208964.PA4273	2880
208964.PA1588	2860
208964.PA3790	2851
208964.PA2667	2835
208964.PA2952	2820
208964.PA2967	2820
208964.PA0002	2803
208964.PA4067	2792
208964.PA1587	2788
208964.PA1583	2745
208964.PA4244	2718
208964.PA3742	2696
208964.PA4221	2647
208964.PA4741	2633
208964.PA4563	2632
208964.PA4247	2621
208964.PA4252	2609
208964.PA5552	2606
208964.PA4432	2598
208964.PA4944	2555
208964.PA4274	2544
208964.PA4661	2528
208964.PA3745	2488
208964.PA0958	2480
208964.PA2951	2471
208964.PA3814	2426
208964.PA1586	2401
208964.PA4740	2401
208964.PA1053	2386
208964.PA0291	2349
208964.PA2966	2340
208964.PA0852	2322
208964.PA1584	2287
208964.PA4433	2286
208964.PA1800	2286
208964.PA3529	2256
208964.PA1589	2253
208964.PA4261	2249
208964.PA0973	2248
208964.PA1159	2225
208964.PA0622	2187
208964.PA2491	2156
208964.PA4671	2127
208964.PA1556	2104
208964.PA5015	2103
208964.PA3655	2097
208964.PA5316	2093
208964.PA4268	2085
208964.PA0139	2084
208964.PA4431	2073
208964.PA3309	2061
208964.PA0070	2058
208964.PA4370	2025
208964.PA4241	2018
208964.PA2976	1999
208964.PA4237	1999
208964.PA4272	1965
208964.PA0456	1955
208964.PA2398	1952
208964.PA4386	1936
208964.PA4694	1935
208964.PA4932	1921
208964.PA1553	1909
208964.PA1337	1895
208964.PA2494	1852
208964.PA4429	1837
208964.PA5046	1823
208964.PA1580	1814
208964.PA5490	1799
208964.PA0432	1772
208964.PA1787	1766
208964.PA0546	1764
208964.PA1596	1756
208964.PA5558	1749
208964.PA2001	1740
208964.PA3807	1725
208964.PA3645	1715
208964.PA2386	1665
208964.PA4942	1653
208964.PA0576	1649
208964.PA4744	1648
208964.PA3770	1634
208964.PA3999	1626
208964.PA3820	1608
208964.PA2493	1597
208964.PA4670	1577
208964.PA4941	1567
208964.PA0972	1558
208964.PA5013	1556
208964.PA5049	1547
208964.PA1770	1547
208964.PA1288	1547
208964.PA4240	1541
208964.PA4745	1530
208964.PA3821	1525
208964.PA3831	1512
208964.PA5243	1494
208964.PA5016	1482
208964.PA4317	1479
208964.PA4922	1466
208964.PA0652	1462
208964.PA3001	1462
208964.PA3262	1449
208964.PA3617	1439
208964.PA0961	1410
208964.PA0865	1402
208964.PA4264	1398
208964.PA4249	1385
208964.PA5555	1376
208964.PA0459	1372
208964.PA0399	1369
208964.PA4848	1363
208964.PA5568	1363
208964.PA0266	1348
208964.PA0447	1335
208964.PA5553	1335
208964.PA4675	1332
208964.PA0548	1329
208964.PA1585	1318
208964.PA0555	1312
208964.PA3582	1303
208964.PA0482	1287
208964.PA4470	1275
208964.PA4352	1259
208964.PA2939	1247
208964.PA0905	1245
208964.PA5119	1243
208964.PA5100	1242
