#id: 3215854222
#name: B.subtilis - Whole organism (Integrated)
#score: 16.1
#coverage: 96
#description: integrated dataset: weighted average of all B.subtilis WHOLE_ORGANISM: 16.1, Coverage: 96
#organ: WHOLE_ORGANISM
#integrated: true
#weights: 224308_GPM_201408:0.602;PXD006444_control:0.241;PXD145877_Mueller_Nature_2020_Bacillus_subtilis:0.115;BacillusSubtilisSubsp_PRIDE:0.042;
#publication_year: 2023
#filename: 224308-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
224308.BSU35360	37088
224308.BSU09100	20044
224308.BSU21930	18743
224308.BSU01050	17433
224308.BSU27960	12710
224308.BSU25020	11016
224308.BSU01290	10691
224308.BSU22790	10162
224308.BSU27700	10092
224308.BSU40090	9980
224308.BSU01170	9552
224308.BSU37800	9264
224308.BSU15990	9025
224308.BSU01130	8825
224308.BSU01210	8569
224308.BSU01340	7615
224308.BSU40910	7564
224308.BSU01180	6854
224308.BSU01400	6783
224308.BSU01270	6415
224308.BSU25550	6321
224308.BSU01310	6117
224308.BSU16680	6055
224308.BSU36860	5989
224308.BSU01300	5866
224308.BSU16040	5816
224308.BSU27940	5798
224308.BSU13900	5552
224308.BSU01280	5543
224308.BSU29120	5533
224308.BSU01350	5394
224308.BSU38850	5374
224308.BSU25410	5344
224308.BSU01160	5294
224308.BSU33940	5284
224308.BSU24900	5245
224308.BSU06030	5161
224308.BSU08820	5045
224308.BSU36830	4967
224308.BSU11430	4709
224308.BSU10770	4698
224308.BSU36850	4635
224308.BSU01230	4567
224308.BSU01220	4497
224308.BSU06020	4488
224308.BSU01240	4468
224308.BSU01110	4457
224308.BSU37070	4455
224308.BSU23250	4453
224308.BSU28850	4422
224308.BSU01330	4417
224308.BSU33780	4273
224308.BSU31910	4247
224308.BSU29660	4206
224308.BSU10200	4177
224308.BSU33900	4133
224308.BSU39690	4104
224308.BSU01200	4096
224308.BSU01420	3953
224308.BSU36810	3904
224308.BSU01100	3828
224308.BSU01320	3689
224308.BSU37110	3655
224308.BSU29130	3602
224308.BSU01030	3482
224308.BSU01410	3472
224308.BSU24620	3445
224308.BSU31080	3307
224308.BSU16500	3247
224308.BSU01040	3237
224308.BSU37120	3208
224308.BSU30650	3164
224308.BSU31930	3135
224308.BSU14610	3084
224308.BSU28290	3082
224308.BSU15300	3078
224308.BSU15920	3075
224308.BSU22560	3056
224308.BSU01490	3029
224308.BSU01440	2983
224308.BSU01250	2906
224308.BSU01260	2894
224308.BSU16490	2890
224308.BSU28860	2888
224308.BSU01020	2885
224308.BSU30770	2842
224308.BSU29410	2831
224308.BSU15960	2819
224308.BSU40970	2776
224308.BSU01120	2750
224308.BSU28230	2747
224308.BSU29140	2713
224308.BSU11850	2649
224308.BSU01150	2564
224308.BSU16090	2529
224308.BSU17460	2496
224308.BSU19310	2478
224308.BSU36900	2442
224308.BSU16290	2403
224308.BSU28500	2381
224308.BSU14600	2378
224308.BSU12300	2361
224308.BSU19360	2332
224308.BSU25050	2297
224308.BSU11130	2278
224308.BSU29020	2221
224308.BSU40890	2216
224308.BSU40340	2207
224308.BSU33930	2199
224308.BSU33920	2193
224308.BSU22550	2177
224308.BSU01190	2137
224308.BSU00690	2116
224308.BSU29490	2090
224308.BSU00090	2035
224308.BSU09950	2031
224308.BSU16100	1944
224308.BSU22880	1940
224308.BSU17340	1898
224308.BSU35150	1865
224308.BSU29750	1861
224308.BSU22730	1854
224308.BSU13180	1830
224308.BSU30560	1827
224308.BSU03130	1816
224308.BSU06240	1813
224308.BSU01500	1808
224308.BSU25470	1792
224308.BSU02900	1767
224308.BSU14590	1756
224308.BSU27320	1745
224308.BSU00730	1743
224308.BSU31390	1743
224308.BSU32730	1727
224308.BSU38170	1706
224308.BSU36820	1687
224308.BSU17890	1667
224308.BSU28870	1653
224308.BSU34540	1628
224308.BSU13620	1624
224308.BSU38090	1621
224308.BSU03830	1585
224308.BSU40900	1538
224308.BSU33340	1508
224308.BSU31350	1470
224308.BSU00110	1462
224308.BSU01430	1450
224308.BSU28440	1447
224308.BSU16520	1444
224308.BSU24350	1433
224308.BSU14580	1431
224308.BSU32710	1410
224308.BSU15080	1402
224308.BSU05120	1330
224308.BSU23980	1328
224308.BSU37780	1326
224308.BSU12280	1314
224308.BSU07560	1312
