#id: 808602436
#name: B.thetaiotaomicron VPI-5482 - Whole organism (Integrated)
#score: 13.3
#coverage: 48
#description: integrated dataset: weighted average of all B.thetaiotaomicron VPI-5482 WHOLE_ORGANISM: 13.3, Coverage: 48
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD145877_Mueller_Nature_2020_Bacteroides_thetaiotaomicron:0.769;226186_GPM_201408:0.231;
#publication_year: 2023
#filename: 226186-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
226186.BT_2414	36587
226186.BT_2735	22256
226186.BT_4263	21917
226186.BT_2740	17318
226186.BT_3911	12895
226186.BT_0565	12409
226186.BT_2790	11292
226186.BT_1691	11284
226186.BT_3080	10667
226186.BT_2719	9316
226186.BT_3359	9264
226186.BT_3840	8909
226186.BT_1829	8755
226186.BT_3833	7904
226186.BT_1672	7514
226186.BT_2716	7313
226186.BT_1373	7114
226186.BT_0418	6713
226186.BT_1329	6629
226186.BT_2830	6489
226186.BT_2712	6299
226186.BT_2709	6067
226186.BT_3878	5944
226186.BT_0173	5879
226186.BT_1830	5879
226186.BT_3723	5858
226186.BT_2708	5261
226186.BT_2844	5199
226186.BT_2489	5129
226186.BT_2729	5037
226186.BT_0174	5012
226186.BT_3929	4987
226186.BT_2728	4918
226186.BT_2724	4909
226186.BT_2702	4900
226186.BT_2759	4824
226186.BT_2163	4735
226186.BT_2510	4715
226186.BT_1692	4710
226186.BT_4615	4642
226186.BT_1847	4631
226186.BT_3823	4604
226186.BT_2730	4493
226186.BT_0370	4413
226186.BT_4649	4355
226186.BT_2700	4324
226186.BT_4345	4322
226186.BT_2726	4291
226186.BT_3877	4253
226186.BT_2738	4235
226186.BT_3709	4234
226186.BT_3841	4200
226186.BT_2704	4199
226186.BT_1271	4178
226186.BT_2437	4161
226186.BT_0216	4089
226186.BT_1499	4081
226186.BT_2718	4072
226186.BT_0915	4047
226186.BT_2731	4023
226186.BT_1391	3952
226186.BT_4314	3937
226186.BT_0655	3933
226186.BT_2737	3912
226186.BT_2162	3867
226186.BT_0900	3739
226186.BT_2723	3729
226186.BT_2710	3662
226186.BT_2727	3651
226186.BT_2711	3646
226186.BT_2165	3632
226186.BT_2272	3612
226186.BT_3876	3600
226186.BT_4572	3492
226186.BT_3430	3482
226186.BT_3852	3444
226186.BT_0408	3436
