#id: 130174503
#name: A.ferrooxidans - Whole organism (Integrated)
#score: 7.2
#coverage: 42
#description: integrated dataset: weighted average of all A.ferrooxidans WHOLE_ORGANISM: 7.2, Coverage: 42
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Acidithiobac_PSM_planktonic_Vera_2013:0.714;Acidithiobac_PSM_biofilm_Vera_2013:0.286;
#publication_year: 2023
#filename: 243159-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
243159.AFE_0542	40271
243159.AFE_2741	22041
243159.AFE_0325	20339
243159.AFE_3146	18541
243159.AFE_2665	13764
243159.AFE_1683	10507
243159.AFE_3248	8635
243159.AFE_3203	8357
243159.AFE_0288	8259
243159.AFE_3118	7808
243159.AFE_1689	7324
243159.AFE_0466	7295
243159.AFE_3251	7240
243159.AFE_0985	7014
243159.AFE_1691	6976
243159.AFE_2547	6756
243159.AFE_2811	6640
243159.AFE_0903	6214
243159.AFE_1690	6184
243159.AFE_1898	6044
243159.AFE_3205	5915
243159.AFE_0320	5904
243159.AFE_0324	5497
243159.AFE_3252	5386
243159.AFE_1445	4666
243159.AFE_0534	4363
243159.AFE_2131	4300
243159.AFE_1792	4294
243159.AFE_0321	4252
243159.AFE_0536	4095
243159.AFE_2553	3855
243159.AFE_1585	3828
243159.AFE_3158	3768
243159.AFE_0747	3729
243159.AFE_2155	3713
243159.AFE_0029	3689
243159.AFE_0043	3612
243159.AFE_0543	3591
243159.AFE_0909	3566
243159.AFE_3250	3538
243159.AFE_2201	3410
243159.AFE_2551	3330
243159.AFE_1970	3260
243159.AFE_2062	3145
243159.AFE_0353	3141
243159.AFE_0395	3103
243159.AFE_1883	3086
243159.AFE_0306	3041
243159.AFE_0914	3014
243159.AFE_3153	2992
243159.AFE_1444	2943
243159.AFE_2086	2822
243159.AFE_0872	2818
243159.AFE_0341	2808
243159.AFE_1677	2784
243159.AFE_0316	2748
243159.AFE_0730	2745
243159.AFE_0004	2738
243159.AFE_0354	2724
243159.AFE_0253	2659
243159.AFE_0056	2655
243159.AFE_0323	2647
243159.AFE_0333	2644
243159.AFE_0532	2585
243159.AFE_0330	2575
243159.AFE_0849	2498
243159.AFE_1667	2491
243159.AFE_1648	2474
243159.AFE_1939	2459
243159.AFE_0189	2453
243159.AFE_0423	2446
243159.AFE_2849	2387
243159.AFE_3150	2359
243159.AFE_3253	2348
243159.AFE_2554	2328
243159.AFE_0328	2300
243159.AFE_2676	2293
243159.AFE_3249	2282
243159.AFE_3152	2279
243159.AFE_2204	2237
243159.AFE_2555	2230
243159.AFE_0934	2202
243159.AFE_0367	2196
243159.AFE_2017	2181
243159.AFE_2550	2164
243159.AFE_2661	2154
243159.AFE_0492	2133
243159.AFE_0225	2101
243159.AFE_0696	2091
243159.AFE_0912	2063
243159.AFE_1661	2060
243159.AFE_3109	2052
243159.AFE_0318	2039
243159.AFE_0895	2039
243159.AFE_0735	2032
243159.AFE_0658	2022
243159.AFE_0285	2015
243159.AFE_0639	1980
243159.AFE_0295	1955
243159.AFE_1933	1951
243159.AFE_0547	1924
243159.AFE_1678	1875
243159.AFE_1816	1872
243159.AFE_2910	1851
243159.AFE_0697	1851
243159.AFE_2072	1844
243159.AFE_0339	1844
