#id: 3133894855
#name: Msmegmatis strMC2 155 - Whole organism (Integrated)
#score: 11.3
#coverage: 45
#description: integrated dataset: weighted average of all Msmegmatis strMC2 155 WHOLE_ORGANISM: 11.3, Coverage: 45
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD003500_early_stationary:0.714;PXD003500_exponential:0.286;
#publication_year: 2023
#filename: 246196-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
246196.MSMEI_1326	33547
246196.MSMEI_1544	20310
246196.MSMEI_1363	18772
246196.MSMEI_0859	18047
246196.MSMEI_2975	15165
246196.MSMEI_2329	13498
246196.MSMEI_5636	10834
246196.MSMEI_5637	9400
246196.MSMEI_1361	8231
246196.MSMEI_3006	7950
246196.MSMEI_1401	7542
246196.MSMEI_1409	7400
246196.MSMEI_2292	6873
246196.MSMEI_6001	6678
246196.MSMEI_1430	6570
246196.MSMEI_2591	6415
246196.MSMEI_6260	6410
246196.MSMEI_1488	6400
246196.MSMEI_2034	6354
246196.MSMEI_1520	6343
246196.MSMEI_1434	6162
246196.MSMEI_4766	6079
246196.MSMEI_3722	6004
246196.MSMEI_2291	5791
246196.MSMEI_5108	5755
246196.MSMEI_1487	5637
246196.MSMEI_2379	5617
246196.MSMEI_6713	5584
246196.MSMEI_2461	5364
246196.MSMEI_1404	5239
246196.MSMEI_4765	5220
246196.MSMEI_4508	5056
246196.MSMEI_0026	4881
246196.MSMEI_1403	4712
246196.MSMEI_1408	4702
246196.MSMEI_1325	4582
246196.MSMEI_1406	4564
246196.MSMEI_2374	4506
246196.MSMEI_1762	4490
246196.MSMEI_5373	4383
246196.MSMEI_1489	4315
246196.MSMEI_3743	4233
246196.MSMEI_4507	4229
246196.MSMEI_1431	4213
246196.MSMEI_1399	4115
246196.MSMEI_0066	4102
246196.MSMEI_2979	3984
246196.MSMEI_1407	3915
246196.MSMEI_4420	3896
246196.MSMEI_1432	3892
246196.MSMEI_5282	3783
246196.MSMEI_2314	3767
246196.MSMEI_2460	3742
246196.MSMEI_1892	3731
246196.MSMEI_5372	3702
246196.MSMEI_3703	3674
246196.MSMEI_5107	3671
246196.MSMEI_1438	3632
246196.MSMEI_1405	3558
246196.MSMEI_5619	3539
246196.MSMEI_4189	3514
246196.MSMEI_1309	3488
246196.MSMEI_1360	3484
246196.MSMEI_1485	3425
246196.MSMEI_6710	3417
246196.MSMEI_6577	3406
246196.MSMEI_4809	3403
246196.MSMEI_3859	3313
246196.MSMEI_3062	3260
246196.MSMEI_6711	3256
246196.MSMEI_1354	3251
246196.MSMEI_1433	3224
246196.MSMEI_4459	3179
246196.MSMEI_5110	3159
246196.MSMEI_1615	3115
246196.MSMEI_1400	3112
246196.MSMEI_4227	3098
246196.MSMEI_1402	3040
