#id: 1159597436
#name: Rpomeroyi DSS-3 - Whole organism (Integrated)
#score: 10.4
#coverage: 46
#description: integrated dataset: weighted average of all Rpomeroyi DSS-3 WHOLE_ORGANISM: 10.4, Coverage: 46
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD008661_Krayushkina_Sci_Data_2019_R_pomeroyi_early_expo:0.588;PXD008661_Krayushkina_Sci_Data_2019_R_pomeroyi_late_stat:0.412;
#publication_year: 2023
#filename: 246200-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
246200.SPO3430	38184
246200.SPO0519	14847
246200.SPO0728	13348
246200.SPO0861	9897
246200.SPO1975	8461
246200.SPO3744	7470
246200.SPO0505	6994
246200.SPO0887	6845
246200.SPO3257	5775
246200.SPO3162	5465
246200.SPO2573	5422
246200.SPO1939	5345
246200.SPO0886	5222
246200.SPO3473	5117
246200.SPO3509	4937
246200.SPO0500	4936
246200.SPO0349	4834
246200.SPO0437	4723
246200.SPO3513	4715
246200.SPO2133	4621
246200.SPO3859	4480
246200.SPO2814	4340
246200.SPO3598	4285
246200.SPO3181	4208
246200.SPO1990	4058
246200.SPO1743	3910
246200.SPO0485	3889
246200.SPO0510	3870
246200.SPO0495	3768
246200.SPO0326	3726
246200.SPO3625	3693
246200.SPO3824	3628
246200.SPO3500	3598
246200.SPO0227	3500
246200.SPO0486	3438
246200.SPO3499	3436
246200.SPO3826	3304
246200.SPO2283	3301
246200.SPO0863	3238
246200.SPO0487	3234
246200.SPO0499	3191
246200.SPO3600	3170
246200.SPO1976	3104
246200.SPO0502	3094
246200.SPO3389	3066
246200.SPO3514	3048
246200.SPO0501	3044
246200.SPO3874	2994
246200.SPO1366	2992
246200.SPO2288	2946
246200.SPO0812	2921
246200.SPO3164	2903
246200.SPO2234	2902
246200.SPO3233	2894
246200.SPO0701	2890
246200.SPO0484	2889
246200.SPO3825	2840
246200.SPO2135	2839
246200.SPO0509	2832
246200.SPO0900	2812
246200.SPO3840	2781
246200.SPO3235	2682
246200.SPO3253	2647
246200.SPO0974	2611
246200.SPO3576	2608
246200.SPO0503	2605
246200.SPO3165	2541
246200.SPO0511	2539
246200.SPO0802	2504
246200.SPO1293	2502
246200.SPO1892	2463
246200.SPO0512	2425
246200.SPO0367	2411
246200.SPO3730	2390
246200.SPO1415	2355
246200.SPO3623	2351
246200.SPO2444	2344
246200.SPO2231	2331
246200.SPO2246	2288
246200.SPO2077	2272
246200.SPO0864	2259
246200.SPO3508	2225
246200.SPO3888	2218
246200.SPOA0438	2215
246200.SPO0379	2186
246200.SPO3031	2179
246200.SPO1691	2159
246200.SPO2187	2155
246200.SPO3510	2141
246200.SPO1431	2127
246200.SPO3163	2119
246200.SPO0720	2118
246200.SPO2995	2115
246200.SPO1886	2101
246200.SPO0498	2089
246200.SPO2281	2078
246200.SPO2233	2054
246200.SPO1989	2018
246200.SPO1520	2011
246200.SPOA0315	1973
246200.SPO2201	1926
