#id: 50053719
#name: Bpertussis Tohama I - Whole organism (Integrated)
#score: 5.6
#coverage: 29
#description: integrated dataset: weighted average of all Bpertussis Tohama I WHOLE_ORGANISM: 5.6, Coverage: 29
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD001280_Hayes_Proteomics_2015_BPertussis_iron_excess:0.909;PXD002997_Lamberti_J_Proteomics_2016_Bpertussis:0.091;
#publication_year: 2023
#filename: 257313-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
257313.BP3495	46041
257313.BP1879	23151
257313.BP0007	18535
257313.BP1112	10944
257313.BP2499	10535
257313.BP0840	9999
257313.BP3494	8934
257313.BP0016	8261
257313.BP3610	7869
257313.BP1198	7861
257313.BP0015	7802
257313.BP1054	7550
257313.BP1436	7058
257313.BP3288	6932
257313.BP2014	6342
257313.BP1124	6305
257313.BP0454	6196
257313.BP2021	6053
257313.BP3496	5846
257313.BP0795	5770
257313.BP0074	5607
257313.BP1120	5571
257313.BP0950	5551
257313.BP3642	5415
257313.BP1774	5385
257313.BP3286	5358
257313.BP2543	5175
257313.BP1247	4879
257313.BP1201	4873
257313.BP1777	4787
257313.BP1000	4754
257313.BP0760	4726
257313.BP3561	4692
257313.BP2541	4484
257313.BP0856	4385
257313.BP3680	4141
257313.BP0014	4112
257313.BP3014	4071
257313.BP1427	4054
257313.BP3343	3967
257313.BP2747	3962
257313.BP2361	3871
257313.BP3852	3744
257313.BP3068	3738
257313.BP1125	3619
257313.BP0709	3603
257313.BP2488	3569
257313.BP1878	3564
257313.BP2497	3540
257313.BP3552	3529
257313.BP2386	3504
257313.BP1420	3438
257313.BP0847	3419
257313.BP3558	3358
257313.BP1126	3304
257313.BP2625	3289
257313.BP2396	3274
257313.BP2952	3230
257313.BP1364	3221
257313.BP0993	3208
257313.BP1262	3169
257313.BP2365	3027
257313.BP0943	3024
257313.BP0216	3001
257313.BP1836	2980
257313.BP3150	2873
257313.BP3348	2862
257313.BP1519	2854
257313.BP2983	2839
257313.BP1795	2836
257313.BP1246	2817
257313.BP1484	2810
257313.BP3330	2768
257313.BP0451	2722
257313.BP2890	2717
257313.BP2059	2709
257313.BP2315	2625
257313.BP1569	2614
257313.BP1075	2602
257313.BP2188	2575
257313.BP2936	2573
257313.BP0995	2571
257313.BP0102	2527
257313.BP0475	2522
257313.BP0205	2503
257313.BP3753	2498
257313.BP3624	2486
257313.BP0961	2465
257313.BP2963	2462
257313.BP1453	2422
257313.BP0791	2422
257313.BP0250	2400
257313.BP3537	2399
257313.BP0609	2393
257313.BP3614	2390
257313.BP2191	2362
257313.BP1732	2354
257313.BP1419	2351
257313.BP0011	2338
257313.BP0490	2330
257313.BP2358	2295
257313.BP2761	2294
257313.BP0906	2293
257313.BP0994	2278
257313.BP2749	2170
257313.BP2788	2150
257313.BP0379	2144
257313.BP1440	2113
257313.BP3689	2092
257313.BP0944	2068
257313.BP1428	2056
257313.BP1605	2048
257313.BP0999	2037
257313.BP0242	2020
257313.BP3084	2010
257313.BP3019	2002
257313.BP3130	1996
257313.BP0962	1994
257313.BP0289	1993
257313.BP0965	1977
257313.BP0989	1977
257313.BP2624	1972
257313.BP3631	1968
257313.BP3416	1967
257313.BP0034	1966
257313.BP3807	1964
257313.BP0103	1946
257313.BP2434	1944
257313.BP1721	1944
257313.BP3071	1937
257313.BP2184	1912
257313.BP0374	1908
257313.BP2501	1892
257313.BP1913	1890
257313.BP2540	1889
257313.BP0460	1881
257313.BP1884	1877
257313.BP0274	1839
257313.BP1482	1838
257313.BP0372	1835
257313.BP3215	1828
257313.BP1857	1809
257313.BP2770	1806
257313.BP3333	1790
257313.BP2796	1774
257313.BP1435	1771
257313.BP3018	1764
257313.BP2909	1762
257313.BP0180	1753
257313.BP1415	1750
257313.BP3441	1746
257313.BP0869	1728
257313.BP3287	1727
257313.BP2783	1700
257313.BP0607	1694
257313.BP3228	1693
257313.BP1281	1683
257313.BP3342	1676
257313.BP3329	1675
257313.BP1764	1639
257313.BP3628	1634
257313.BP2793	1632
257313.BP0558	1627
257313.BP1776	1612
257313.BP3264	1605
257313.BP3831	1600
257313.BP0955	1595
257313.BP0489	1590
257313.BP1102	1576
257313.BP2546	1560
257313.BP2960	1554
257313.BP2818	1554
257313.BP1497	1546
257313.BP3121	1534
257313.BP2421	1522
257313.BP1570	1507
257313.BP1300	1505
257313.BP1616	1505
257313.BP3321	1487
257313.BP2858	1484
257313.BP3554	1474
257313.BP0079	1473
257313.BP3730	1472
257313.BP0844	1462
257313.BP1573	1455
257313.BP0315	1453
257313.BP2044	1450
257313.BP1285	1447
257313.BP1630	1442
257313.BP2439	1441
257313.BP3619	1440
257313.BP1264	1437
257313.BP3432	1409
257313.BP2047	1399
257313.BP0801	1399
257313.BP2753	1397
257313.BP0383	1393
257313.BP2198	1393
257313.BP2537	1389
257313.BP2908	1375
257313.BP1483	1372
257313.BP0371	1372
257313.BP0385	1366
257313.BP3754	1364
257313.BP0846	1355
257313.BP3405	1345
257313.BP3226	1337
257313.BP3757	1337
257313.BP1906	1329
257313.BP2196	1317
257313.BP3124	1309
257313.BP2993	1303
257313.BP1421	1296
257313.BP3425	1291
257313.BP0946	1287
257313.BP0604	1282
257313.BP1481	1281
257313.BP3467	1276
257313.BP3590	1275
257313.BP3615	1271
257313.BP1250	1266
257313.BP2562	1266
257313.BP0010	1261
257313.BP2120	1259
257313.BP1817	1259
257313.BP2389	1249
257313.BP2075	1238
257313.BP1895	1228
257313.BP1977	1228
257313.BP2992	1218
257313.BP3125	1209
257313.BP3609	1206
257313.BP1753	1203
257313.BP3728	1196
257313.BP0789	1194
257313.BP3641	1192
257313.BP0794	1188
257313.BP0664	1186
257313.BP2533	1185
257313.BP2815	1182
257313.BP1819	1179
257313.BP3262	1178
