#id: 640996388
#name: Kpneumoniae - Whole organism (Integrated)
#score: 13.2
#coverage: 49
#description: integrated dataset: weighted average of all Kpneumoniae WHOLE_ORGANISM: 13.2, Coverage: 49
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD015623_iron_limit:0.357;PXD015623_replete2:0.357;PXD015623_replete1:0.286;
#publication_year: 2023
#filename: 272620-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
272620.KPN_03472	11985
272620.KPN_01279	11908
272620.KPN_04533	11869
272620.KPN_02761	10259
272620.KPN_03714	9823
272620.KPN_04106	9635
272620.KPN_01092	9531
272620.KPN_01197	9211
272620.KPN_00986	9099
272620.KPN_03706	8934
272620.KPN_02134	8311
272620.KPN_03123	8237
272620.KPN_03976	8236
272620.KPN_03707	8073
272620.KPN_03702	7601
272620.KPN_03700	7547
272620.KPN_03716	7400
272620.KPN_04382	7321
272620.KPN_03713	7204
272620.KPN_03724	7121
272620.KPN_04357	7121
272620.KPN_03573	6847
272620.KPN_04364	6587
272620.KPN_04532	6431
272620.KPN_04008	6431
272620.KPN_02177	6422
272620.KPN_00650	6264
272620.KPN_03977	5832
272620.KPN_02876	5798
272620.KPN_03726	5593
272620.KPN_04363	5560
272620.KPN_03629	5559
272620.KPN_02201	5523
272620.KPN_03694	5403
272620.KPN_03710	5142
272620.KPN_02902	5127
272620.KPN_00018	4982
272620.KPN_04361	4977
272620.KPN_00841	4975
272620.KPN_03727	4972
272620.KPN_03704	4931
272620.KPN_03696	4930
272620.KPN_02932	4910
272620.KPN_03701	4831
272620.KPN_00402	4800
272620.KPN_03630	4797
272620.KPN_01144	4755
272620.KPN_04594	4684
272620.KPN_02764	4681
272620.KPN_03715	4606
272620.KPN_03709	4592
272620.KPN_03711	4467
272620.KPN_03354	4466
272620.KPN_04231	4445
272620.KPN_04597	4400
272620.KPN_03526	4376
272620.KPN_02929	4268
272620.KPN_03698	4120
272620.KPN_04217	4104
272620.KPN_04009	4061
272620.KPN_03355	4056
272620.KPN_00299	4036
272620.KPN_03708	4029
272620.KPN_03725	4024
272620.KPN_04282	4008
272620.KPN_02636	3829
272620.KPN_00183	3788
272620.KPN_02202	3699
272620.KPN_01087	3679
272620.KPN_03720	3653
272620.KPN_02762	3641
272620.KPN_03719	3599
272620.KPN_02499	3584
272620.KPN_00938	3553
272620.KPN_04596	3544
272620.KPN_03348	3489
272620.KPN_04375	3465
272620.KPN_00182	3399
272620.KPN_04005	3386
272620.KPN_03141	3381
272620.KPN_02340	3362
272620.KPN_00656	3275
272620.KPN_03718	3216
272620.KPN_00120	3127
272620.KPN_01992	3117
272620.KPN_03375	3113
272620.KPN_00768	3099
272620.KPN_02549	3039
272620.KPN_00641	3039
272620.KPN_03712	3029
272620.KPN_00367	3019
272620.KPN_00416	2993
272620.KPN_04360	2955
272620.KPN_00314	2936
272620.KPN_00843	2910
272620.KPN_00191	2874
272620.KPN_00311	2843
272620.KPN_01702	2809
272620.KPN_03697	2802
272620.KPN_03695	2791
272620.KPN_00211	2770
272620.KPN_03703	2756
272620.KPN_00014	2669
272620.KPN_03596	2595
272620.KPN_04139	2590
272620.KPN_00118	2557
272620.KPN_04137	2553
272620.KPN_02465	2550
272620.KPN_03705	2526
272620.KPN_02418	2509
272620.KPN_03722	2388
272620.KPN_01284	2385
272620.KPN_00497	2343
272620.KPN_02515	2327
272620.KPN_04273	2318
272620.KPN_03119	2308
272620.KPN_00179	2276
272620.KPN_00008	2262
272620.KPN_02014	2236
272620.KPN_00921	2231
272620.KPN_04660	2223
272620.KPN_03001	2199
272620.KPN_00399	2171
272620.KPN_00481	2166
272620.KPN_01229	2165
272620.KPN_04621	2128
272620.KPN_02199	2126
272620.KPN_02848	2118
272620.KPN_01654	2082
272620.KPN_01979	2040
272620.KPN_03018	2015
272620.KPN_02152	1966
272620.KPN_03113	1916
272620.KPN_00624	1894
272620.KPN_03799	1886
272620.KPN_03954	1880
272620.KPN_04325	1864
272620.KPN_01831	1859
272620.KPN_01527	1841
272620.KPN_04413	1821
272620.KPN_03595	1816
272620.KPN_00354	1785
272620.KPN_02923	1778
272620.KPN_02436	1773
272620.KPN_04372	1768
272620.KPN_02814	1764
272620.KPN_00119	1754
272620.KPN_02810	1738
272620.KPN_00931	1726
272620.KPN_02550	1710
272620.KPN_02551	1704
272620.KPN_02591	1692
272620.KPN_01853	1685
272620.KPN_00935	1671
272620.KPN_01526	1665
272620.KPN_00004	1660
272620.KPN_00398	1651
272620.KPN_02773	1612
272620.KPN_04545	1582
272620.KPN_03114	1575
272620.KPN_04376	1568
272620.KPN_00185	1546
272620.KPN_04576	1539
272620.KPN_02687	1524
272620.KPN_02133	1513
