#id: 4224381778
#name: L.lactis - Whole organism (Integrated)
#score: 11.1
#coverage: 57
#description: integrated dataset: weighted average of all L.lactis WHOLE_ORGANISM: 11.1, Coverage: 57
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Lactococcus_lactis_Lahtvee_2014:0.556;272623_GPM_201408:0.444;
#publication_year: 2023
#filename: 272623-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
272623.L102317	20366
272623.L120335	18722
272623.L85575	11395
272623.L0371	10670
272623.L0420	9476
272623.L0005	9430
272623.L0039	9053
272623.L0096	9012
272623.L193031	8977
272623.L128695	8957
272623.L0007	8389
272623.L0405	8155
272623.L18872	7741
272623.L0009	7605
272623.L0383	7604
272623.L142733	7463
272623.L0408	7338
272623.L0416	7029
272623.L0404	6812
272623.L7226	6778
272623.L1762179	6397
272623.L172505	6362
272623.L0401	6154
272623.L0227	5893
272623.L0414	5758
272623.L1010	5704
272623.L0384	5624
272623.L0395	5559
272623.L0418	5334
272623.L0392	5316
272623.L0410	5258
272623.L0386	5210
272623.L0396	5200
272623.L0382	5179
272623.L0403	5156
272623.L0010	5140
272623.L0393	5121
272623.L0398	5116
272623.L0424	5056
272623.L0415	5051
272623.L0183	5039
272623.L141485	4816
272623.L0407	4780
272623.L0385	4710
272623.L0419	4527
272623.L0040	4500
272623.L0423	4499
272623.L19292	4375
272623.L84477	4315
272623.L178206	4301
272623.L0387	4289
272623.L96658	4274
272623.L0413	4264
272623.L0195	4255
272623.L0380	4148
272623.L27865	4083
272623.L0381	4073
272623.L0006	4015
272623.L0394	3959
272623.L0425	3942
272623.L0379	3791
272623.L32389	3735
272623.L0017	3682
272623.L0041	3677
272623.L21264	3655
272623.L0003	3629
272623.L0378	3616
272623.L45002	3587
272623.L173045	3578
272623.L0389	3540
272623.L0422	3499
272623.L0391	3498
272623.L0243	3497
272623.L12227	3463
272623.L60543	3438
272623.L00096	3437
272623.L0411	3402
272623.L3227	3382
272623.L13145	3379
272623.L0412	3377
272623.L0409	3360
272623.L0376	3302
272623.L0034	3233
272623.L0143	3131
272623.L175538	3131
272623.L0417	3109
272623.L0208	3093
272623.L0397	3083
272623.L0011	2946
272623.L0093	2939
272623.L198515	2936
272623.L59867	2881
272623.L165449	2867
272623.L102051	2796
272623.L0012	2792
272623.L0136	2764
272623.L0273	2733
272623.L0430	2722
272623.L80411	2715
272623.L95240	2714
272623.L0400	2711
272623.L0399	2704
272623.L0336	2631
272623.L122849	2631
272623.L198893	2628
272623.L0125	2616
272623.L60596	2570
272623.L0402	2556
272623.L0002	2553
272623.L0368	2547
272623.L135351	2541
272623.L153863	2484
272623.L0390	2475
272623.L0033	2451
272623.L0377	2339
272623.L0406	2328
272623.L0367	2276
272623.L0140	2250
272623.L117685	2241
272623.L154925	2236
272623.L72391	2223
272623.L145267	2215
272623.L0388	2209
272623.L177590	2174
272623.L184708	2170
272623.L149295	2161
272623.L6768	2148
272623.L0035	2143
272623.L113864	2102
272623.L181692	2085
272623.L156559	2085
272623.L65029	2073
272623.L158972	2065
272623.L61620	2056
272623.L0036	2053
272623.L0141	2048
272623.L16806	2038
272623.L179409	1992
272623.L60959	1965
272623.L147466	1947
272623.L43866	1938
272623.L0118	1921
272623.L82250	1914
272623.L0185	1891
272623.L113060	1875
272623.L65440	1834
272623.L155040	1826
272623.L0255	1791
272623.L71932	1787
272623.L196017	1785
272623.L186107	1773
272623.L114099	1761
272623.L2385	1759
272623.L198033	1754
272623.L84494	1725
272623.L61397	1713
272623.L85764	1711
272623.L0347	1686
272623.L12179	1664
272623.L0375	1661
272623.L104681	1659
272623.L75803	1657
272623.L31280	1651
272623.L0131	1649
272623.L157316	1637
272623.L86338	1610
272623.L107797	1587
272623.L102093	1556
272623.L0421	1555
272623.L152419	1547
272623.L161132	1545
272623.L0186	1545
272623.L81189	1516
272623.L0205	1510
272623.L110467	1505
272623.L0086	1486
272623.L49741	1467
272623.L164604	1449
272623.L195348	1437
272623.L7722	1420
272623.L0207	1419
272623.L0366	1406
272623.L140690	1388
272623.L6563	1383
272623.L25115	1377
272623.L121426	1360
272623.L0302	1348
272623.L114740	1345
272623.L102360	1320
272623.L0139	1311
272623.L140714	1310
272623.L176579	1309
272623.L47257	1296
272623.L0359	1289
272623.L62663	1286
272623.L112263	1281
272623.L135991	1270
272623.L0345	1265
272623.L175712	1249
272623.L151700	1249
272623.L197041	1246
272623.L34806	1228
272623.L142410	1224
272623.L5126	1211
272623.L134450	1211
272623.L126409	1205
272623.L66199	1201
272623.L174788	1191
272623.L0344	1180
272623.L91273	1176
272623.L70624	1171
272623.L158071	1166
272623.L130687	1165
272623.L11208	1160
272623.L0016	1151
272623.L137630	1144
272623.L26054	1143
272623.L101699	1133
272623.L3272	1130
272623.L72115	1127
272623.L166912	1114
272623.L153665	1109
272623.L198323	1103
272623.L0260	1089
272623.L140754	1088
272623.L9737	1074
272623.L210	1073
272623.L121253	1069
272623.L96847	1067
272623.L0187	1064
272623.L162604	1063
272623.L0138	1060
272623.L0190	1058
272623.L90622	1055
272623.L9255	1054
272623.L79267	1053
272623.L173813	1047
272623.L63310	1041
272623.L168282	1036
272623.L8990	1024
272623.L10754	1014
272623.L0356	1013
272623.L118079	1009
272623.L157995	1006
272623.L0088	1004
272623.L92295	1003
272623.L120628	1001
272623.L0082	988
272623.L109335	988
272623.L153408	985
272623.L0322	982
272623.L11851	981
272623.L68759	978
272623.L0362	973
272623.L174389	970
272623.L154885	970
272623.L192589	969
272623.L189448	966
272623.L65637	951
272623.L0196	950
272623.L28204	942
272623.L173848	941
272623.L117205	937
272623.L182555	937
272623.L187771	931
272623.L56431	929
272623.L106356	925
272623.L0346	924
272623.L5953	923
272623.L109882	922
272623.L145739	918
272623.L158834	916
272623.L145420	910
272623.L0204	910
272623.L174321	906
272623.L0189	901
272623.L84096	899
272623.L162009	899
272623.L0043	878
272623.L57408	867
272623.L0084	863
272623.L168484	862
272623.L0046	861
272623.L148976	854
272623.L0137	853
272623.L197697	847
272623.L55584	841
272623.L41335	840
272623.L195751	840
272623.L0161	839
272623.L119731	833
272623.L0342	830
272623.L85091	829
272623.L105533	824
272623.L191704	818
272623.L25614	817
272623.L0475	813
272623.L0135	811
272623.L64373	808
272623.L186490	808
272623.L88187	807
272623.L0221	806
272623.L165279	803
272623.L48504	799
272623.L0354	798
272623.L0203	796
272623.L0171	794
272623.L146623	793
272623.L86251	791
272623.L92665	787
272623.L0184	787
272623.L174251	785
272623.L120396	783
272623.L118271	782
272623.L37338	779
272623.L150031	772
272623.L0038	766
272623.L165	759
272623.L98109	759
272623.L132585	758
272623.L5610	744
272623.L45583	741
272623.L73818	741
272623.L0044	735
272623.L0004	735
272623.L183563	734
272623.L0198	730
272623.L0275	729
272623.L172471	724
272623.L199221	724
272623.L94534	721
272623.L0349	720
272623.L134453	716
272623.L98583	707
272623.L0474	703
272623.L46694	703
272623.L0085	702
272623.L63684	702
272623.L54546	696
272623.L115968	685
272623.L127411	682
272623.L0372	680
272623.L185517	680
272623.L0062	679
272623.L68758	678
272623.L188798	671
272623.L0370	669
272623.L118696	668
272623.L107870	666
272623.L1178	665
272623.L158343	663
272623.L128697	662
272623.L160425	661
272623.L0325	660
272623.L63652	658
272623.L103212	656
272623.L132712	655
272623.L0224	650
272623.L10679	648
272623.L58125	644
272623.L157023	641
272623.L00396	639
272623.L324	637
272623.L143459	634
272623.L150515	633
272623.L193909	630
272623.L73160	625
272623.L19816	625
272623.L0158	620
272623.L0206	618
272623.L78434	617
272623.L00157	615
272623.L88252	613
272623.L43680	612
272623.L15964	606
272623.L18600	604
272623.L0473	603
272623.L136968	598
272623.L192043	597
272623.L181168	592
272623.L45702	587
272623.L196216	586
272623.L63811	584
272623.L174407	581
272623.L56488	581
272623.L33412	579
272623.L168265	577
272623.L0098	575
272623.L0353	574
272623.L188550	571
272623.L24228	562
272623.L0188	559
272623.L177350	553
272623.L115113	551
272623.L35545	551
272623.L155408	549
272623.L0340	544
272623.L139276	543
272623.L127223	539
272623.L64445	537
272623.L172073	536
272623.L143791	536
272623.L155044	536
272623.L63227	535
272623.L0091	531
272623.L101678	531
272623.L178908	529
272623.L166370	529
272623.L73210	528
272623.L0334	526
272623.L175101	525
272623.L67226	517
272623.L183902	517
272623.L0024	517
272623.L164012	514
272623.L150593	513
272623.L67527	513
272623.L4822	512
272623.L98310	512
272623.L34138	512
272623.L74195	511
272623.L193644	510
272623.L320	507
272623.L0295	505
272623.L128696	504
272623.L66233	503
272623.L77482	502
272623.L0063	497
272623.L0321	496
272623.L183012	495
272623.L6876	494
272623.L0181	494
272623.L183602	493
272623.L14408	490
272623.L180805	489
272623.L173881	482
272623.L0097	481
272623.L0180	480
272623.L6328	479
272623.L26400	479
272623.L149828	473
272623.L51032	473
272623.L178172	465
272623.L99869	462
272623.L191486	459
272623.L0160	452
272623.L39365	451
272623.L9876	450
272623.L2	450
272623.L37651	447
272623.L115551	446
272623.L1005	443
272623.L193593	441
272623.L0244	441
272623.L162872	441
272623.L158188	440
272623.L147936	440
272623.L132777	439
272623.L157237	438
272623.L163602	436
272623.L107468	435
272623.L16252	435
272623.L111484	434
272623.L0116	433
272623.L175357	433
272623.L198485	432
272623.L125485	430
272623.L0197	427
272623.L4702	418
272623.L117444	417
272623.L0059	416
272623.L66222	416
272623.L124252	416
272623.L13187	415
272623.L67726	410
272623.L0064	408
272623.L134243	408
272623.L173068	404
272623.L29875	401
272623.L0092	399
272623.L64175	399
272623.L0095	396
272623.L104007	394
272623.L2866	393
272623.L0355	390
272623.L90422	390
272623.L160442	387
272623.L104285	385
272623.L0272	380
272623.L126998	379
272623.L105494	378
272623.L52644	378
272623.L63900	377
272623.L152977	377
272623.L33556	376
272623.L153973	373
272623.L17182	373
272623.L80045	373
272623.L119013	372
272623.L101560	371
272623.L101209	370
272623.L111159	369
272623.L82539	369
272623.L155602	369
272623.L0045	366
272623.L175147	366
272623.L0330	365
272623.L883	363
272623.L0094	362
272623.L94552	362
272623.L22687	360
272623.L114363	359
272623.L56416	358
272623.L0223	354
272623.L0110	352
272623.L0060	351
272623.L35068	350
272623.L157841	349
272623.L121289	349
272623.L138452	349
272623.L0343	348
272623.L8105	345
272623.L192122	342
272623.L91510	342
272623.L0155	341
272623.L0358	340
272623.L110960	340
272623.L0264	339
272623.L4342	338
272623.L159505	338
272623.L156445	336
272623.L0337	336
272623.L129431	335
272623.L158710	331
272623.L17654	330
272623.L92886	329
272623.L64833	328
272623.L0202	324
272623.L62931	324
272623.L0182	323
272623.L114827	322
272623.L0357	321
272623.L0159	320
272623.L0151	319
272623.L118475	319
272623.L0283	319
272623.L166407	319
272623.L108008	318
272623.L170990	316
272623.L0119	313
272623.L196579	313
272623.L26998	311
272623.L62955	311
272623.L0300	309
272623.L196178	305
272623.L32653	303
272623.L154481	303
272623.L96605	301
272623.L117074	300
272623.L11745	299
272623.L123851	299
272623.L194226	299
272623.L96595	299
272623.L75718	299
272623.L0083	299
272623.L0109	298
272623.L71174	298
272623.L91456	298
272623.L64737	297
272623.L106425	297
272623.L175136	297
272623.L182026	296
272623.L45035	296
272623.L44542	292
272623.L165684	291
272623.L61727	290
272623.L110933	290
272623.L152305	289
272623.L113931	289
272623.L71425	288
272623.L141766	286
272623.L177031	284
272623.L198056	284
272623.L54580	282
272623.L160560	281
272623.L167675	281
272623.L164312	280
272623.L104221	278
272623.L6907	278
272623.L0352	277
272623.L152002	275
272623.L29491	273
272623.L92686	272
272623.L0213	272
272623.L104552	271
272623.L0350	271
272623.L184033	271
272623.L38687	270
272623.L0282	269
272623.L22900	268
272623.L84502	266
272623.L119891	265
272623.L98749	263
272623.L0222	263
272623.L0351	262
272623.L22735	262
272623.L109162	262
272623.L0237	261
272623.L108994	260
272623.L108967	256
272623.L0238	255
272623.L0333	255
272623.L16514	254
272623.L75633	253
272623.L174946	252
272623.L173921	251
272623.L164222	243
272623.L67158	242
272623.L67708	241
272623.L147009	240
272623.L151062	239
272623.L0047	238
272623.L124415	237
272623.L101706	235
272623.L176360	234
272623.L144535	234
272623.L87561	233
272623.L12335	230
272623.L79833	229
272623.L123116	227
272623.L54059	226
272623.L1001	225
272623.L135954	224
272623.L76755	219
272623.L193873	217
272623.L37085	216
272623.L36841	216
272623.L89418	216
272623.L85895	215
272623.L90946	215
272623.L172964	215
272623.L70400	214
272623.L76848	213
272623.L108430	212
272623.L178329	212
272623.L27646	211
272623.L151330	211
272623.L107724	211
272623.L115671	209
272623.L0235	208
272623.L189428	208
272623.L0360	207
272623.L148513	207
272623.L117718	203
272623.L42499	202
272623.L185031	201
272623.L191436	201
272623.L76582	200
272623.L173151	199
272623.L150017	197
272623.L84937	196
272623.L48417	195
272623.L0032	194
272623.L190278	193
272623.L86424	193
272623.L129403	192
272623.L87453	191
272623.L53929	190
272623.L0274	189
272623.L57401	188
272623.L19745	188
272623.L0089	188
272623.L10433	188
272623.L169230	186
272623.L0156	185
272623.L29321	185
272623.L79329	184
272623.L100575	183
272623.L117145	183
272623.L133825	182
272623.L160937	182
272623.L21717	181
272623.L166082	181
272623.L110899	178
272623.L0127	178
272623.L0194	177
272623.L189883	176
272623.L37916	176
272623.L118481	176
272623.L133446	175
272623.L0294	175
272623.L0106	174
272623.L7894	172
272623.L26721	172
272623.L65498	172
272623.L166804	171
272623.L11285	170
272623.L128951	170
272623.L185224	169
272623.L125196	169
272623.L31137	168
272623.L192240	168
272623.L84257	167
272623.L173313	166
272623.L162597	165
272623.L111126	165
272623.L152487	164
272623.L7043	164
272623.L180469	162
272623.L141547	162
272623.L81319	162
272623.L39857	161
272623.L182559	160
272623.L83865	160
272623.L0090	160
272623.L30285	159
272623.L114370	159
272623.L102979	158
272623.L55836	158
272623.L0061	158
272623.L167426	156
272623.L0001	155
272623.L187918	155
272623.L0013	154
272623.L163307	154
272623.L0250	153
272623.L54803	153
272623.L72477	152
272623.L0123	151
272623.L67463	151
272623.L195257	150
272623.L45109	150
272623.L20397	149
272623.L188985	149
272623.L86881	149
272623.L177346	148
272623.L159324	148
272623.L196206	148
272623.L18206	148
272623.L0121	147
272623.L88643	146
272623.L162952	146
272623.L173230	143
272623.L158186	143
272623.L0115	143
272623.L6615	142
272623.L3846	142
272623.L37880	142
272623.L0008	141
272623.L0240	141
272623.L123365	140
272623.L114325	140
272623.L42784	140
272623.L104789	140
272623.L0309	139
272623.L179531	138
272623.L133490	138
272623.L133416	137
272623.L0056	137
272623.L0150	137
272623.L191431	136
272623.L145357	135
272623.L141260	133
272623.L47650	133
272623.L114717	133
272623.L150333	132
272623.L141748	132
272623.L105256	131
272623.L0267	131
272623.L190226	130
272623.L0210	130
272623.L0144	130
272623.L1389	130
272623.L171350	129
272623.L103086	129
272623.L0270	128
272623.L87107	126
272623.L189822	124
272623.L0326	124
272623.L66407	124
272623.L95975	124
272623.L133761	123
272623.L15884	123
272623.L81441	123
272623.L114402	123
272623.L18647	122
272623.L0057	119
272623.L121994	119
272623.L157055	119
272623.L65675	118
272623.L0107	117
272623.L192192	116
272623.L41072	116
272623.L51368	116
272623.L9089	114
272623.L7866	114
272623.L91807	113
272623.L165490	113
272623.L86471	113
272623.L54944	113
272623.L131803	113
272623.L0157	113
272623.L159396	112
272623.L129183	112
272623.L16848	111
272623.L131443	110
272623.L169610	110
272623.L182916	110
272623.L111950	109
272623.L0276	109
272623.L0363	109
272623.L190009	108
272623.L139168	107
272623.L154512	106
272623.L88730	105
272623.L110441	105
272623.L143879	105
272623.L29171	104
272623.L93420	104
272623.L26628	103
272623.L0293	103
272623.L176316	103
272623.L4747	102
272623.L0374	102
272623.L84767	102
272623.L156302	102
272623.L6128	101
272623.L88637	101
272623.L153005	101
272623.L17893	101
272623.L54040	100
272623.L0126	100
272623.L102100	100
272623.L74738	99.6
272623.L75267	98.9
272623.L0271	98.5
272623.L12887	98.2
272623.L5532	98.2
272623.L0104	97.9
272623.L0245	97.5
272623.L9094	97.4
272623.L0175	97.3
272623.L102634	97.2
272623.L52568	96.8
272623.L45616	96.7
272623.L0167	96.6
272623.L72609	95.3
272623.L0281	95.0
272623.L56232	94.2
272623.L0080	93.7
272623.L131778	93.0
272623.L0257	92.5
272623.L0289	92.5
272623.L11986	91.8
272623.L0304	91.5
272623.L189090	91.0
272623.L110351	90.2
272623.L164461	88.9
272623.L112952	88.9
272623.L0105	88.9
272623.L192996	88.1
272623.L148778	87.5
272623.L158463	86.4
272623.L1015	86.3
272623.L103246	86.2
272623.L166614	86.0
272623.L97131	85.5
272623.L0348	85.2
272623.L52034	84.6
272623.L125244	84.5
272623.L122632	83.9
272623.L6208	83.0
272623.L177520	82.9
272623.L85854	81.5
272623.L52207	80.5
272623.L80191	80.3
272623.L165202	80.1
272623.L68401	79.9
272623.L108801	79.8
272623.L108503	79.4
