#id: 1677465864
#name: Klactis - Whole organism (Integrated)
#score: 14.4
#coverage: 57
#description: integrated dataset: weighted average of all Klactis WHOLE_ORGANISM: 14.4, Coverage: 57
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD001330_Kito_Mol_cell_proteomics_2016_Kluyveromyces_lactis_2:0.526;PXD001330_Kito_Mol_cell_proteomics_2016_Kluyveromyces_lactis_1:0.474;
#publication_year: 2023
#filename: 284590-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
284590.Q6CNH9	18122
284590.Q6CYA5	16259
284590.B4UN96	14577
284590.Q6CU17	14183
284590.Q6CWU3	13968
284590.Q70CP7	10787
284590.Q6CQ83	10590
284590.Q6CXQ6	10204
284590.Q6CPC5	10040
284590.Q6CP75	9788
284590.Q6CW41	9517
284590.Q6CX80	9439
284590.Q6CS37	9370
284590.Q6CVB1	7623
284590.Q6CRA3	7599
284590.Q6CP82	7356
284590.Q6CX23	7276
284590.Q6CS71	7094
284590.Q6CWE7	6930
284590.P49376	6695
284590.Q6CWM6	6396
284590.P14828	6041
284590.Q6CM18	5959
284590.Q6CLA6	5893
284590.Q6CKL3	5876
284590.Q6CWT9	5789
284590.Q6CJR7	5683
284590.P27069	5629
284590.P20369	5522
284590.Q6CN12	5482
284590.F2Z696	5360
284590.Q6CVZ5	5242
284590.Q6CRK7	5207
284590.Q6CWT6	5073
284590.Q6CXM0	5059
284590.Q6CKA7	5015
284590.Q6CSS8	4998
284590.Q6CWD0	4808
284590.Q6CL71	4792
284590.Q6CXT4	4672
284590.Q6CM20	4646
284590.P17819	4499
284590.Q6CXL8	4315
284590.Q6CM79	4215
284590.P49385	4069
284590.Q6CQM3	3839
284590.Q6CNI7	3839
284590.Q6CYH5	3802
284590.Q6CNX0	3797
284590.Q6CXT6	3766
284590.P69061	3747
284590.Q6CKT4	3709
284590.Q6CV65	3523
284590.P17128	3479
284590.Q6CRZ8	3472
284590.Q6CLE8	3471
284590.Q6CRP7	3444
284590.Q6CRX7	3123
284590.Q6CWJ6	3078
284590.Q6CQZ9	3012
284590.Q6CIM1	2994
284590.Q875M9	2856
284590.Q6CL72	2789
284590.P33285	2741
284590.Q6CKV4	2737
284590.Q6CN90	2734
284590.P49383	2723
284590.Q6CJK0	2713
284590.Q6CKM9	2654
284590.P34214	2623
284590.Q6CW97	2532
284590.Q6CJG5	2416
284590.P49380	2372
284590.Q6CWC1	2357
284590.Q6CIK7	2356
284590.Q6CR46	2330
284590.Q6CIJ7	2057
284590.Q6CMG1	2030
284590.B4UN98	2019
284590.Q6CPN9	2012
284590.Q6CSR6	1973
284590.Q6CL98	1933
284590.Q6CS27	1904
284590.Q00988	1888
284590.Q6CU43	1831
284590.B5FVA6	1824
284590.Q6CPR5	1758
284590.Q6CLY0	1748
284590.Q6CUA9	1743
284590.Q6CUJ6	1713
284590.O74190	1688
284590.Q6CK57	1665
284590.Q6CVU4	1638
284590.O94229	1627
284590.P33284	1624
284590.Q6CSW0	1609
284590.F2Z6F9	1603
284590.F2Z602	1598
284590.Q6CT92	1566
284590.Q6CPT9	1479
284590.Q6CSV3	1460
284590.O13366	1460
284590.Q6CLE4	1428
284590.Q6CPD6	1425
284590.Q6CVH3	1420
284590.Q6CXM6	1351
284590.Q12630	1333
284590.Q6CS03	1330
284590.Q6CMD9	1297
284590.Q6CWR7	1283
284590.Q6CLR9	1278
284590.Q6CWW5	1266
284590.Q6CUL2	1258
284590.P48828	1244
284590.Q6CN14	1240
284590.P22010	1237
284590.Q6CKT9	1226
284590.Q6CS15	1202
284590.Q6CKB0	1192
284590.Q6CWG6	1189
284590.Q6CQL1	1168
284590.Q6CL24	1168
284590.Q6CLB4	1166
284590.Q6CR31	1166
284590.Q6CS80	1153
284590.Q6CLF8	1150
284590.Q6CKL4	1130
284590.Q6CNH3	1130
284590.Q6CRR9	1088
284590.Q6CVM7	1088
284590.Q6CM47	1082
284590.Q6CKV3	1080
284590.P49377	1077
284590.Q6CLH2	1077
284590.Q6CYC6	1071
284590.Q6CPJ0	1071
284590.P49345	1070
284590.P49346	1068
284590.Q6CSH7	1061
284590.Q6CR40	1050
284590.Q6CTM6	1048
284590.Q6CLU0	1047
284590.Q6CMH0	1044
284590.Q6CRK1	1044
284590.Q6CQ18	1041
284590.Q6CMI0	1039
284590.Q6CX75	1035
284590.Q6CIR9	1028
284590.Q6CVT5	1017
284590.Q6CJL6	1012
284590.Q6CWX1	1010
284590.Q6CN01	996
284590.Q6CTH3	992
284590.Q6CJ45	959
284590.Q6CIP4	959
284590.B4UN74	954
284590.Q9Y7B5	950
284590.Q6CRA7	949
284590.Q6CK53	941
284590.Q6CLS8	931
