#id: 3073153144
#name: Hvolcanii DS2 - Whole organism (Integrated)
#score: 1.8
#coverage: 35
#description: integrated dataset: weighted average of all Hvolcanii DS2 WHOLE_ORGANISM: 1.8, Coverage: 35
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD007061_Cerletti_J_Proteome_Res_2018_Hvolcanii:0.435;PXD009116_Cerletti_Proteomics_2018_H_volcanii_cyt_stat:0.435;PXD009116_Cerletti_Proteomics_2018_H_volcanii_cyt_expo:0.13;
#publication_year: 2023
#filename: 309800-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
309800.C498_04211	88979
309800.C498_14468	69389
309800.C498_00215	40433
309800.C498_12908	39582
309800.C498_15068	24213
309800.C498_06850	24145
309800.C498_05978	17998
309800.C498_16903	15593
309800.C498_16918	11112
309800.C498_17233	10299
309800.C498_18828	10112
309800.C498_05356	10014
309800.C498_01510	8966
309800.C498_17508	8315
309800.C498_18758	7535
309800.C498_03085	7224
309800.C498_12688	7163
309800.C498_16404	6507
309800.C498_19129	6068
309800.C498_14673	5955
309800.C498_14843	5820
309800.C498_08095	5801
309800.C498_01445	5329
309800.C498_08909	5297
309800.C498_09199	5227
309800.C498_18903	5219
309800.C498_13299	5186
309800.C498_05653	5106
309800.C498_12213	4773
309800.C498_02280	4685
309800.C498_01470	4383
309800.C498_09204	4320
309800.C498_12208	4316
309800.C498_16064	4221
309800.C498_06965	4114
309800.C498_03045	4088
309800.C498_17633	3977
309800.C498_14438	3950
309800.C498_04870	3796
309800.C498_12798	3761
309800.C498_06313	3549
309800.C498_10081	3525
309800.C498_08050	3417
309800.C498_18363	3356
309800.C498_05045	3344
309800.C498_08220	3317
309800.C498_07200	3254
309800.C498_02025	3243
309800.C498_14728	3078
309800.C498_01435	3063
309800.C498_08080	3047
309800.C498_06675	3047
309800.C498_14273	2972
309800.C498_09339	2933
309800.C498_06970	2920
309800.C498_11326	2894
309800.C498_14433	2879
309800.C498_01410	2857
309800.C498_17168	2714
309800.C498_14178	2709
309800.C498_08789	2679
309800.C498_18933	2664
309800.C498_14443	2611
309800.C498_08010	2496
309800.C498_06428	2364
309800.C498_13764	2351
309800.C498_14303	2317
309800.C498_06670	2277
309800.C498_17770	2244
309800.C498_17965	2153
309800.C498_17108	2117
309800.C498_12078	2114
309800.C498_03315	2102
309800.C498_07818	2088
309800.C498_01460	2047
309800.C498_09184	2036
309800.C498_06068	2034
309800.C498_11751	2033
309800.C498_09189	1989
309800.C498_03060	1982
309800.C498_08110	1981
309800.C498_03540	1981
309800.C498_14393	1952
309800.C498_09711	1909
309800.C498_14368	1908
309800.C498_14488	1890
309800.C498_17695	1883
309800.C498_17885	1854
309800.C498_12323	1853
309800.C498_15228	1847
309800.C498_15920	1836
309800.C498_07723	1831
309800.C498_05446	1813
309800.C498_07555	1806
309800.C498_19324	1795
309800.C498_12838	1788
309800.C498_08739	1772
309800.C498_19454	1757
309800.C498_12233	1750
309800.C498_12883	1744
309800.C498_05136	1737
309800.C498_03645	1729
309800.C498_13899	1727
309800.C498_01505	1726
309800.C498_08060	1700
309800.C498_19344	1693
309800.C498_08100	1685
309800.C498_13374	1682
309800.C498_13864	1679
309800.C498_14121	1667
309800.C498_17960	1647
309800.C498_16958	1644
309800.C498_18070	1641
309800.C498_18543	1631
309800.C498_19459	1623
309800.C498_16269	1618
309800.C498_05346	1600
309800.C498_18853	1588
309800.C498_16963	1585
309800.C498_03225	1542
309800.C498_08674	1527
309800.C498_12018	1520
309800.C498_15338	1518
309800.C498_03220	1517
309800.C498_08085	1514
309800.C498_11808	1502
309800.C498_03090	1478
309800.C498_04555	1475
309800.C498_17578	1440
309800.C498_11476	1420
309800.C498_01820	1420
309800.C498_13874	1404
309800.C498_11291	1404
309800.C498_14388	1375
309800.C498_07615	1369
309800.C498_14518	1363
309800.C498_03215	1355
309800.C498_17103	1352
309800.C498_07085	1345
309800.C498_16808	1343
309800.C498_04453	1342
309800.C498_01480	1308
309800.C498_02020	1289
309800.C498_09396	1273
309800.C498_09314	1270
309800.C498_18848	1268
309800.C498_04770	1268
309800.C498_11731	1246
309800.C498_09701	1236
309800.C498_14888	1236
309800.C498_18200	1225
309800.C498_10461	1225
309800.C498_16384	1222
309800.C498_16134	1221
309800.C498_01450	1215
309800.C498_03325	1200
309800.C498_16953	1185
309800.C498_05648	1180
309800.C498_01530	1179
309800.C498_03255	1175
309800.C498_02730	1162
309800.C498_15018	1158
309800.C498_18140	1151
309800.C498_17835	1145
309800.C498_19089	1143
309800.C498_00315	1138
309800.C498_03165	1136
309800.C498_14818	1134
309800.C498_00630	1132
309800.C498_13669	1127
309800.C498_02175	1094
309800.C498_15820	1090
309800.C498_10466	1077
309800.C498_03055	1076
309800.C498_12103	1076
309800.C498_14703	1064
309800.C498_17118	1056
309800.C498_03660	1048
309800.C498_09179	1046
309800.C498_09209	1046
309800.C498_04363	1015
309800.C498_11511	1013
309800.C498_09074	1011
309800.C498_18783	1009
309800.C498_13083	1002
309800.C498_12373	997
309800.C498_04600	970
309800.C498_01380	957
309800.C498_17083	950
309800.C498_04800	947
309800.C498_18000	934
309800.C498_14688	930
309800.C498_10711	925
309800.C498_18623	924
309800.C498_08350	920
309800.C498_19249	912
309800.C498_11156	899
309800.C498_17700	892
