#id: 1169778274
#name: Mhominis ATCC23114 - Whole organism (Integrated)
#score: 7.1
#coverage: 81
#description: integrated dataset: weighted average of all Mhominis ATCC23114 WHOLE_ORGANISM: 7.1, Coverage: 81
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD018714_thymidine_culture:0.667;PXD018714_arginine_culture:0.333;
#publication_year: 2023
#filename: 347256-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
347256.MHO_0690	60461
347256.MHO_0520	54695
347256.MHO_3580	49984
347256.MHO_2690	36434
347256.MHO_3620	26856
347256.MHO_5150	23059
347256.MHO_0640	22122
347256.MHO_0630	20417
347256.MHO_0910	20262
347256.MHO_0720	14773
347256.MHO_5040	12527
347256.MHO_2660	12219
347256.MHO_4940	11532
347256.MHO_2710	11391
347256.MHO_2940	11369
347256.MHO_3010	10835
347256.MHO_3500	10333
347256.MHO_2120	10078
347256.MHO_5310	9957
347256.MHO_0490	9790
347256.MHO_0790	9714
347256.MHO_0600	8407
347256.MHO_2950	8330
347256.MHO_2240	8133
347256.MHO_1120	7847
347256.MHO_3480	7718
347256.MHO_3020	7715
347256.MHO_2980	7658
347256.MHO_2930	7640
347256.MHO_0350	7449
347256.MHO_5010	7437
347256.MHO_3340	7386
347256.MHO_5320	7346
347256.MHO_3330	7256
347256.MHO_2230	7190
347256.MHO_3800	7094
347256.MHO_2740	6963
347256.MHO_2990	6941
347256.MHO_3490	6824
347256.MHO_2960	6778
347256.MHO_5000	6764
347256.MHO_0800	6681
347256.MHO_0890	6624
347256.MHO_2830	6608
347256.MHO_2700	6513
347256.MHO_4180	6155
347256.MHO_1350	6118
347256.MHO_2800	5932
347256.MHO_5280	5792
347256.MHO_1790	5725
347256.MHO_3550	5645
347256.MHO_2610	5426
347256.MHO_1100	5208
347256.MHO_4860	5183
347256.MHO_3310	4851
347256.MHO_3750	4820
347256.MHO_2590	4800
347256.MHO_1040	4798
347256.MHO_2970	4761
347256.MHO_1450	4722
347256.MHO_1460	4695
347256.MHO_2720	4688
347256.MHO_4300	4560
347256.MHO_4610	4556
347256.MHO_4310	4483
347256.MHO_0740	4318
347256.MHO_0870	4283
347256.MHO_2220	4282
347256.MHO_1510	4050
347256.MHO_2620	3952
347256.MHO_2860	3907
347256.MHO_2840	3877
347256.MHO_4720	3747
347256.MHO_2650	3695
347256.MHO_0590	3687
347256.MHO_2870	3517
347256.MHO_4080	3478
347256.MHO_1470	3452
347256.MHO_3350	3412
347256.MHO_4490	3391
347256.MHO_1830	3332
347256.MHO_2820	3237
347256.MHO_3980	3147
347256.MHO_4170	3134
347256.MHO_0650	3090
347256.MHO_4140	2999
347256.MHO_0680	2978
347256.MHO_3990	2892
347256.MHO_2920	2879
347256.MHO_1010	2841
347256.MHO_5160	2820
347256.MHO_0880	2746
347256.MHO_2360	2646
347256.MHO_2880	2628
347256.MHO_2810	2620
347256.MHO_0260	2437
347256.MHO_3590	2387
347256.MHO_3380	2366
347256.MHO_2750	2284
347256.MHO_5190	2227
