#id: 1047472972
#name: T.cruzi - Whole organism (Integrated)
#score: 9.1
#coverage: 24
#description: integrated dataset: weighted average of all T.cruzi WHOLE_ORGANISM: 9.1, Coverage: 24
#organ: WHOLE_ORGANISM
#integrated: true
#weights: LFQ_Intensity_Epi_deGodoy_2012:0.452;LFQ_Intensity_Stress2h_deGodoy_2012:0.226;LFQ_Intensity_Ade_deGodoy_2012:0.15;LFQ_Intensity_Meta_deGodoy_2012:0.138;LFQ_Intensity_Stress30_deGodoy_2012:0.034;
#publication_year: 2023
#filename: 353153-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
353153.Q4DQP2	72492
353153.Q4CLA1	59275
353153.Q4DTM8	21616
353153.Q4DZ98	9446
353153.Q4E4V7	8714
353153.Q4CNI1	8710
353153.Q4D5C2	8447
353153.Q4DWV8	8447
353153.Q4DYP5	8445
353153.Q4E496	8445
353153.Q4DJ07	5824
353153.Q4CWA5	5749
353153.Q4D3T1	5592
353153.Q4D5X0	5592
353153.Q4DA95	5028
353153.Q4DB58	5028
353153.Q4DI23	5028
353153.Q4E0Q0	5028
353153.Q4E3P5	5028
353153.Q4CLW8	4892
353153.Q4D4A0	4876
353153.Q4DXL5	4876
353153.Q4E4L9	4602
353153.Q4CQS5	4450
353153.Q4CQS6	4450
353153.Q4DBM7	4450
353153.Q4DCL2	4450
353153.Q4D634	4407
353153.Q4DTV8	4308
353153.Q4DIF6	4293
353153.Q4CRF6	4266
353153.Q4CU73	4252
353153.Q4CXI1	4252
353153.Q4CXI2	4252
353153.Q4DYF9	4252
353153.Q4E349	4137
353153.Q4CTD7	4058
353153.Q4CTD8	4058
353153.Q4CU51	3812
353153.Q4DAE1	3812
353153.Q4D3P5	3802
353153.Q4DQ27	3802
353153.Q4E5G5	3742
353153.Q4DD13	3460
353153.Q4DJS7	3449
353153.Q4E4V0	3330
353153.Q4D3F7	3325
353153.Q4DKI7	3265
353153.Q4E256	3234
353153.Q4D1B8	3233
353153.Q4D0Q0	3225
353153.Q4CK86	3124
353153.Q4D620	3124
353153.Q4DZW1	3097
353153.Q4E2I6	3040
353153.Q4D9S6	3038
353153.Q4DCN9	2984
353153.Q4DHF0	2984
353153.Q4DW49	2879
353153.Q4CQJ3	2848
353153.Q4DTX7	2848
353153.Q4D8V7	2844
353153.Q4DB81	2844
353153.Q4E133	2786
353153.Q4DPV7	2644
353153.Q4DI67	2612
353153.Q4CSI2	2601
353153.Q4DTN2	2420
353153.Q4DU88	2406
353153.Q4CYC6	2403
353153.Q4CTR7	2251
353153.Q4DY23	2212
353153.Q4E5I9	2212
353153.Q4E589	2210
353153.Q4E2N6	2199
353153.Q4CPQ6	2158
353153.Q4DKS7	2146
353153.Q4E4N4	2136
353153.Q4CNR6	2064
353153.Q4CYL3	2058
353153.Q4E2Q2	2046
353153.Q4DWL8	2030
353153.Q4E2M9	1981
353153.Q4E093	1953
353153.Q4DBK5	1941
353153.Q4DGX6	1941
353153.Q4D1Q4	1934
353153.Q4DWB5	1933
353153.Q4CL09	1924
353153.Q4CPR7	1924
353153.Q4CVL7	1924
353153.Q4CVR9	1924
353153.Q4DXG9	1924
353153.Q4CYU3	1892
353153.Q4D066	1892
353153.Q4DDK8	1847
353153.Q4CR09	1829
353153.Q4CR10	1829
353153.Q4DTP7	1819
353153.Q4CYQ8	1816
353153.Q4D7A6	1816
353153.Q4D455	1815
353153.Q4DNQ7	1815
353153.Q4E4L7	1780
353153.Q4DJB6	1698
353153.Q4D7M6	1651
353153.Q4D4S4	1649
353153.Q4E246	1649
353153.Q4D9G6	1640
353153.Q4CP51	1639
353153.Q4D6N0	1591
353153.Q4D193	1571
353153.Q4DNV8	1571
353153.Q4DG86	1562
353153.Q4CMZ5	1522
353153.Q4CYW7	1512
353153.Q4D2U4	1512
353153.Q4DPG7	1512
353153.Q4DZ84	1512
353153.Q4E4E7	1512
353153.Q4DRM4	1493
353153.Q4DUG8	1493
353153.Q4DJ68	1490
353153.Q4DRT8	1445
353153.Q4DJX1	1419
353153.Q4DFP0	1376
353153.Q4DJ92	1373
353153.Q4DPR3	1367
353153.Q4E2Q5	1362
353153.Q4D6I3	1356
353153.Q4CMS3	1353
353153.Q4CQW2	1353
353153.Q4DTM9	1343
353153.Q4CPZ0	1340
353153.Q4CSZ2	1309
353153.Q4D137	1309
353153.Q4D139	1309
353153.Q4D214	1270
353153.Q4E355	1250
353153.Q4D5T6	1250
353153.Q4DSV5	1244
353153.Q4E0F6	1238
353153.Q4E162	1238
353153.Q4DYD9	1237
353153.Q4CXB4	1235
353153.Q4DFX2	1234
353153.Q4CVF7	1231
353153.Q4CM56	1213
353153.Q4CVR5	1213
353153.Q4D2Z9	1213
353153.Q4D301	1213
353153.Q4D3A7	1184
353153.Q4D7Y4	1184
353153.Q4DI66	1149
353153.Q4DNZ7	1130
353153.Q4E4R8	1130
353153.Q4DG65	1119
353153.Q4CMT2	1107
353153.Q4D5A7	1107
353153.Q4E151	1101
353153.Q4E2R7	1093
353153.Q4D9Z4	1089
353153.Q4D991	1087
353153.Q4E3A3	1084
353153.Q4E3A4	1084
353153.Q4E4N2	1074
353153.Q4DED4	1073
353153.Q4E088	1050
353153.Q4CT37	1050
353153.Q4DI02	1050
353153.Q4DWG6	1044
353153.Q4CPG3	1023
353153.Q4DLK5	998
353153.Q4E122	995
353153.Q4DQZ8	986
353153.Q4DHC9	982
353153.Q4DRH6	982
353153.Q4CL55	979
353153.Q4CT43	979
353153.Q4E2P2	965
353153.Q4E5P5	965
353153.Q4CW63	957
353153.Q4CW64	957
353153.Q4CU39	957
353153.Q4D112	951
353153.Q4DK44	945
353153.Q4CYI3	943
353153.Q4D6H3	943
353153.Q4DKY2	923
353153.Q4DIE1	909
353153.Q4CMB9	904
353153.Q4D5X2	904
353153.Q4E0Y6	886
353153.Q4CSC4	874
353153.Q4DJJ9	872
353153.Q4DQC4	871
353153.Q4CX46	859
353153.Q4CZ81	859
353153.Q4D6V2	856
353153.Q4DFS6	856
353153.Q4DAS0	853
353153.Q4DH96	852
353153.Q4DB91	817
353153.Q4DXQ0	817
353153.Q4CMU8	810
353153.Q4DQS9	804
353153.Q4DC68	793
353153.Q4CX87	780
353153.Q4CY92	780
353153.Q4D832	774
353153.Q4D586	770
353153.Q4D6D8	770
353153.Q4CTR0	770
353153.Q4CU92	768
353153.Q4DFA6	763
353153.Q4CWF4	762
353153.Q4DAZ6	762
353153.Q4D7D2	762
353153.Q4CL36	761
353153.Q4E396	750
353153.Q4DG21	750
353153.Q4E2W1	750
353153.Q4CRW9	749
353153.Q4CRX0	749
353153.Q4CYV4	749
353153.Q4DX68	748
353153.Q4D103	741
353153.Q4D5P4	740
353153.Q4DV43	738
353153.Q4CVJ1	733
353153.Q4DIP8	733
353153.Q4D0V0	732
353153.Q4DJ35	729
353153.Q4D4X1	719
353153.Q4DWH2	703
353153.Q4D488	702
353153.Q4E1N4	701
353153.Q4E1N5	701
353153.Q4DU62	690
353153.Q4CQY1	688
353153.Q4DGT6	688
353153.Q4CNF4	682
353153.Q4CLR4	682
353153.Q4D7R8	680
353153.Q4E1M8	680
353153.Q7Z1V1	680
353153.Q4DGG5	679
353153.Q4DKH4	679
353153.Q4CNY1	675
353153.Q4CP01	675
353153.Q4CQ52	675
353153.Q4D0F4	670
353153.Q4DD37	670
353153.Q4DSU0	668
353153.Q4DU31	668
353153.Q4DK40	666
353153.Q4D4J5	665
353153.Q4D5A6	665
353153.Q4DI29	665
353153.Q4DSZ8	664
353153.Q4DD17	663
353153.Q4D9T0	662
353153.Q4D4Y8	661
353153.Q4DAT6	654
353153.Q4CSS8	647
353153.Q4DMG1	645
353153.Q4CNP4	639
353153.Q4D2U8	637
353153.Q4DTH5	637
353153.Q4DFX9	635
353153.Q4CQU0	621
353153.Q4E595	617
353153.Q4CMZ6	617
353153.Q4DSK5	617
353153.Q4CL25	616
353153.Q4CQ63	616
353153.Q4CUC7	616
353153.Q4CKQ6	615
353153.Q4CZ39	615
353153.Q4DB28	615
353153.Q4E5H8	615
353153.Q4E4R0	613
353153.Q4E4R1	613
