#id: 2269330278
#name: A.thaliana - Whole organism (Integrated)
#score: 36.8
#coverage: 76
#description: integrated dataset: weighted average of all A.thaliana WHOLE_ORGANISM: 36.8, Coverage: 76
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD013606_Arabidopsis_thaliana:0.522;Motohashi_2012_avgWT_Prot_nSPC:0.196;3702_GPM_201408:0.157;countCastellana:0.068;peptide.Baerenfaller_2008_new:0.037;Arabidopsis_thaliana_SC_biomart_27037_E__1reps:0.02;
#publication_year: 2023
#filename: 3702-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
3702.ATCG00490.1	41513
3702.ATCG00680.1	13435
3702.AT2G39730.1	11624
3702.ATCG00270.1	11151
3702.ATCG00480.1	6865
3702.ATCG00020.1	6591
3702.ATCG00280.1	6082
3702.ATCG00120.1	4474
3702.AT1G67090.1	4212
3702.AT3G60750.1	4117
3702.AT1G07890.8	4085
3702.AT4G38970.1	3987
3702.AT1G07920.1	3786
3702.AT1G20340.1	3444
3702.AT1G06680.1	3417
3702.AT3G12780.1	3337
3702.AT4G20260.4	3216
3702.AT3G09260.1	3202
3702.AT4G10340.1	3191
3702.AT1G13440.1	3162
3702.AT5G35630.1	2839
3702.AT4G23670.1	2638
3702.AT5G17920.1	2547
3702.AT3G04120.1	2543
3702.AT3G16420.1	2483
3702.AT4G21280.2	2292
3702.AT1G61520.1	2263
3702.AT3G55440.1	2148
3702.AT4G13940.1	2115
3702.AT4G20360.1	2057
3702.AT2G36530.1	2053
3702.AT1G56070.1	2000
3702.AT3G49010.3	1992
3702.AT2G30860.1	1983
3702.ATCG00340.1	1962
3702.AT1G15820.1	1896
3702.AT5G38430.1	1882
3702.AT3G26520.1	1882
3702.ATCG00540.1	1866
3702.AT5G14740.1	1850
3702.AT3G08940.2	1844
3702.AT2G36170.1	1843
3702.AT3G52590.1	1843
3702.AT3G01500.2	1821
3702.ATCG00720.1	1820
3702.AT5G66190.1	1809
3702.AT1G42970.1	1801
3702.AT3G53730.1	1799
3702.AT5G20630.1	1723
3702.AT1G04410.1	1714
3702.AT1G20620.1	1693
3702.AT2G27710.1	1683
3702.AT5G38410.3	1679
3702.AT2G47110.1	1667
3702.AT3G52930.1	1666
3702.AT3G62250.1	1666
3702.AT5G38420.1	1644
3702.AT3G47470.1	1633
3702.AT1G35720.1	1632
3702.AT1G65930.1	1625
3702.AT3G26650.1	1617
3702.AT2G16600.1	1606
3702.AT4G02520.1	1604
3702.AT1G53240.1	1601
3702.AT4G34870.1	1599
3702.AT1G23410.1	1582
3702.AT1G07930.1	1578
3702.AT1G78900.2	1567
3702.AT5G60390.1	1566
3702.AT2G28000.1	1534
3702.AT2G21330.1	1519
3702.AT5G20290.1	1514
3702.AT5G20720.3	1511
3702.AT5G01530.1	1481
3702.AT1G32060.1	1472
3702.AT1G76180.1	1463
3702.AT1G79550.2	1460
3702.AT2G30870.1	1440
3702.AT1G02780.1	1433
3702.AT5G26000.1	1420
3702.AT4G05180.1	1393
3702.AT1G31330.1	1391
3702.AT5G09660.4	1374
3702.AT1G09340.1	1373
3702.AT5G66570.1	1349
3702.AT2G47730.1	1348
3702.AT4G38740.1	1346
3702.AT5G19510.1	1346
3702.AT1G30230.2	1341
3702.AT3G15950.1	1312
3702.AT5G04750.1	1293
3702.AT2G01520.1	1291
3702.ATMG00280.1	1281
3702.AT1G11860.3	1281
3702.AT1G20440.1	1271
3702.AT3G62030.2	1268
3702.AT1G31340.1	1267
3702.AT2G35635.1	1252
3702.AT1G01100.2	1251
