#id: 4094333224
#name: Swittichii RW1 - Whole organism (Integrated)
#score: 4.4
#coverage: 9
#description: integrated dataset: weighted average of all Swittichii RW1 WHOLE_ORGANISM: 4.4, Coverage: 9
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD000403_Hartmann_environment_microbiology_2013_2-chlorodibenzo-p-dioxin_grown:0.706;PXD000403_Hartmann_environment_microbiology_2013_acetate_grown:0.145;PXD000403_Hartmann_environment_microbiology_2013_dibenzo-p-dioxin_grown:0.078;PXD000403_Hartmann_environment_microbiology_2013_dibenzofuran_grown:0.071;
#publication_year: 2023
#filename: 392499-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
392499.Swit_3055	32878
392499.Swit_2320	27839
392499.Swit_3376	26551
392499.Swit_3225	21089
392499.Swit_4004	18828
392499.Swit_3144	16841
392499.Swit_3587	14713
392499.Swit_0910	14480
392499.Swit_0623	13999
392499.Swit_4786	13679
392499.Swit_3189	13561
392499.Swit_3060	13417
392499.Swit_0912	13226
392499.Swit_3560	12258
392499.Swit_3561	11978
392499.Swit_4025	11233
392499.Swit_3044	10652
392499.Swit_5129	10601
392499.Swit_4566	10490
392499.Swit_3918	10445
392499.Swit_3058	10283
392499.Swit_1330	9740
392499.Swit_5135	9623
392499.Swit_1300	9583
392499.Swit_2132	9013
392499.Swit_0457	8729
392499.Swit_0911	8641
392499.Swit_2477	8453
392499.Swit_3468	8272
392499.Swit_2456	8119
392499.Swit_1339	8013
392499.Swit_2353	7950
392499.Swit_0428	7706
392499.Swit_3467	7486
392499.Swit_3477	7473
392499.Swit_0853	7261
392499.Swit_3810	7072
392499.Swit_3046	6871
392499.Swit_3476	6810
392499.Swit_2564	6793
392499.Swit_0118	6718
392499.Swit_3197	6693
392499.Swit_2278	6666
392499.Swit_1250	6298
392499.Swit_3930	6236
392499.Swit_3212	6100
392499.Swit_0621	6068
392499.Swit_0445	5814
392499.Swit_3059	5734
392499.Swit_0862	5699
392499.Swit_3045	5595
392499.Swit_3057	5570
392499.Swit_1336	5448
392499.Swit_3375	5441
392499.Swit_1357	5390
392499.Swit_5136	5317
392499.Swit_0461	5303
392499.Swit_2602	5197
392499.Swit_1354	5159
392499.Swit_0429	5143
392499.Swit_1347	5068
392499.Swit_1326	4995
392499.Swit_4693	4900
392499.Swit_2354	4815
392499.Swit_2606	4753
392499.Swit_0117	4685
392499.Swit_0120	4666
392499.Swit_2663	4531
392499.Swit_1299	4506
392499.Swit_0460	4298
392499.Swit_4685	4230
392499.Swit_0594	4196
392499.Swit_4831	4156
392499.Swit_3819	4120
392499.Swit_3940	4073
392499.Swit_3816	3968
392499.Swit_1297	3945
392499.Swit_1802	3843
392499.Swit_1338	3818
392499.Swit_4494	3750
392499.Swit_2326	3619
392499.Swit_3056	3522
392499.Swit_0611	3509
392499.Swit_2795	3451
392499.Swit_0083	3436
392499.Swit_1334	3387
392499.Swit_1328	3333
392499.Swit_0535	3325
392499.Swit_2674	3317
392499.Swit_1367	3296
392499.Swit_3373	3291
392499.Swit_0228	3210
392499.Swit_2381	3112
392499.Swit_2760	3080
392499.Swit_2667	3034
392499.Swit_2562	2990
392499.Swit_0104	2927
392499.Swit_4594	2922
392499.Swit_3454	2889
392499.Swit_3196	2861
392499.Swit_1409	2835
392499.Swit_3192	2832
392499.Swit_1377	2814
392499.Swit_1140	2794
392499.Swit_3067	2787
392499.Swit_1325	2775
392499.Swit_1353	2774
392499.Swit_1351	2684
392499.Swit_1131	2674
392499.Swit_3129	2660
392499.Swit_4595	2655
392499.Swit_4686	2612
392499.Swit_0045	2582
392499.Swit_0119	2559
392499.Swit_0914	2550
392499.Swit_1183	2436
392499.Swit_1394	2409
392499.Swit_3875	2395
392499.Swit_2898	2394
392499.Swit_1225	2349
392499.Swit_2827	2349
392499.Swit_1396	2339
392499.Swit_1337	2328
392499.Swit_2901	2320
392499.Swit_2779	2299
392499.Swit_1310	2290
392499.Swit_2794	2283
392499.Swit_2731	2260
392499.Swit_3551	2242
392499.Swit_0403	2225
392499.Swit_0446	2153
392499.Swit_2934	2146
392499.Swit_2113	2118
392499.Swit_0086	2116
392499.Swit_1348	2041
392499.Swit_1346	1937
392499.Swit_0508	1929
392499.Swit_4859	1917
392499.Swit_0468	1906
392499.Swit_1146	1898
392499.Swit_3195	1878
392499.Swit_0043	1851
392499.Swit_3455	1848
392499.Swit_1224	1817
392499.Swit_5245	1788
392499.Swit_3128	1768
392499.Swit_0230	1756
392499.Swit_0089	1739
392499.Swit_3456	1719
392499.Swit_0592	1693
392499.Swit_4485	1685
392499.Swit_2339	1640
392499.Swit_1341	1636
392499.Swit_0227	1604
392499.Swit_2970	1602
392499.Swit_0030	1543
392499.Swit_1156	1527
392499.Swit_1365	1525
392499.Swit_5351	1522
392499.Swit_2601	1499
392499.Swit_1298	1491
392499.Swit_4509	1448
392499.Swit_2664	1446
392499.Swit_1953	1430
392499.Swit_4474	1392
392499.Swit_2370	1354
392499.Swit_2384	1336
392499.Swit_3515	1334
392499.Swit_0262	1331
392499.Swit_2526	1330
392499.Swit_1278	1298
392499.Swit_0412	1297
392499.Swit_2835	1292
392499.Swit_3606	1283
392499.Swit_4599	1279
392499.Swit_4046	1267
392499.Swit_4604	1257
392499.Swit_3935	1244
392499.Swit_2657	1242
392499.Swit_2347	1237
392499.Swit_3504	1222
392499.Swit_3838	1219
392499.Swit_3479	1203
392499.Swit_4745	1198
392499.Swit_2322	1197
392499.Swit_0405	1192
392499.Swit_3135	1189
392499.Swit_4816	1188
392499.Swit_2431	1183
392499.Swit_3750	1159
392499.Swit_0219	1155
392499.Swit_0622	1145
392499.Swit_4058	1142
392499.Swit_2055	1139
392499.Swit_2351	1113
392499.Swit_3043	1103
392499.Swit_2428	1068
392499.Swit_3190	1048
392499.Swit_1201	1032
392499.Swit_2732	1027
392499.Swit_4503	1005
392499.Swit_2438	940
392499.Swit_3513	915
392499.Swit_0492	909
392499.Swit_3848	908
392499.Swit_4377	890
392499.Swit_0579	889
392499.Swit_3871	877
392499.Swit_4732	873
392499.Swit_0620	852
392499.Swit_0447	847
392499.Swit_4817	842
392499.Swit_3925	835
392499.Swit_2604	823
392499.Swit_0703	814
392499.Swit_0084	798
392499.Swit_3068	793
392499.Swit_1640	790
392499.Swit_3514	784
392499.Swit_2906	778
392499.Swit_3970	770
392499.Swit_4698	763
392499.Swit_3829	756
392499.Swit_0778	754
392499.Swit_3613	752
392499.Swit_0126	739
392499.Swit_0573	711
392499.Swit_5153	697
392499.Swit_0598	685
392499.Swit_0693	673
392499.Swit_1333	658
392499.Swit_0514	648
392499.Swit_3778	636
392499.Swit_1296	636
392499.Swit_3557	634
392499.Swit_0269	629
392499.Swit_2802	623
392499.Swit_0005	611
392499.Swit_0390	599
392499.Swit_3125	595
392499.Swit_1413	590
392499.Swit_4553	583
392499.Swit_0238	582
392499.Swit_0438	581
392499.Swit_0645	574
392499.Swit_3107	572
392499.Swit_1086	559
392499.Swit_1343	553
392499.Swit_2401	549
392499.Swit_2452	546
392499.Swit_3784	542
392499.Swit_2563	526
392499.Swit_4858	519
392499.Swit_0087	519
392499.Swit_2852	515
392499.Swit_3976	514
392499.Swit_2933	506
392499.Swit_0431	506
392499.Swit_3775	503
392499.Swit_3542	498
392499.Swit_2864	493
392499.Swit_1198	490
392499.Swit_0042	490
392499.Swit_1096	487
392499.Swit_1350	482
392499.Swit_4682	482
392499.Swit_0261	480
392499.Swit_0265	471
392499.Swit_2991	466
392499.Swit_0518	464
392499.Swit_2723	459
392499.Swit_4663	458
392499.Swit_4696	445
392499.Swit_2065	435
392499.Swit_1509	427
392499.Swit_1507	426
392499.Swit_2341	422
392499.Swit_2772	416
392499.Swit_4563	399
392499.Swit_0597	391
392499.Swit_4392	387
392499.Swit_1210	380
392499.Swit_3568	380
392499.Swit_0552	372
392499.Swit_3008	369
392499.Swit_4505	368
392499.Swit_3432	359
392499.Swit_0561	342
392499.Swit_1951	323
392499.Swit_3563	321
392499.Swit_1094	313
392499.Swit_1324	312
392499.Swit_3666	308
392499.Swit_5369	306
392499.Swit_0881	305
392499.Swit_3586	298
392499.Swit_3667	298
392499.Swit_2810	296
392499.Swit_0512	285
392499.Swit_1092	283
392499.Swit_3795	279
392499.Swit_0199	270
392499.Swit_0442	264
392499.Swit_3434	263
392499.Swit_2926	260
392499.Swit_3150	258
392499.Swit_0410	237
392499.Swit_3216	236
392499.Swit_5274	232
392499.Swit_5370	231
392499.Swit_1148	229
392499.Swit_4742	228
392499.Swit_3861	223
392499.Swit_0140	222
392499.Swit_3444	214
392499.Swit_2109	205
392499.Swit_1304	201
392499.Swit_2451	199
