#id: 1154683221
#name: D.discoideum - Whole organism (Integrated)
#score: 23.5
#coverage: 54
#description: integrated dataset: weighted average of all D.discoideum WHOLE_ORGANISM: 23.5, Coverage: 54
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD145877_Mueller_Nature_2020_Dictyostelium_discoideum:0.526;44689_GPM_201408:0.474;
#publication_year: 2023
#filename: 44689-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
44689.DDB0185015	13360
44689.DDB0191355	11653
44689.DDB0214925	9633
44689.DDB0191157	7450
44689.DDB0216310	7158
44689.DDB0201558	6298
44689.DDB0191134	5962
44689.DDB0231128	5668
44689.DDB0231622	5398
44689.DDB0185213	5227
44689.DDB0216291	5103
44689.DDB0185124	4704
44689.DDB0185126	4704
44689.DDB0185127	4704
44689.DDB0216213	4704
44689.DDB0216214	4704
44689.DDB0220444	4704
44689.DDB0220445	4704
44689.DDB0220446	4704
44689.DDB0220447	4704
44689.DDB0220448	4704
44689.DDB0220449	4704
44689.DDB0220450	4704
44689.DDB0220451	4704
44689.DDB0220454	4704
44689.DDB0220455	4704
44689.DDB0220456	4704
44689.DDB0220457	4620
44689.DDB0231141	4607
44689.DDB0191521	4241
44689.DDB0231134	4205
44689.DDB0214929	4034
44689.DDB0216271	3959
44689.DDB0191484	3854
44689.DDB0220461	3682
44689.DDB0230024	3650
44689.DDB0230023	3527
44689.DDB0233951	3413
44689.DDB0214854	3396
44689.DDB0214855	3207
44689.DDB0229953	3091
44689.DDB0231338	3043
44689.DDB0233885	3014
44689.DDB0238742	3014
44689.DDB0231339	2980
44689.DDB0191168	2950
44689.DDB0191135	2938
44689.DDB0230056	2896
44689.DDB0215014	2860
44689.DDB0230021	2830
44689.DDB0216311	2824
44689.DDB0229962	2818
44689.DDB0220460	2755
44689.DDB0191115	2725
44689.DDB0185073	2712
44689.DDB0184221	2701
44689.DDB0231242	2682
44689.DDB0231057	2671
44689.DDB0230148	2650
44689.DDB0229951	2646
44689.DDB0215391	2640
44689.DDB0230044	2578
44689.DDB0230155	2545
44689.DDB0230149	2539
44689.DDB0231063	2533
44689.DDB0191528	2530
44689.DDB0231062	2521
44689.DDB0231058	2508
44689.DDB0231152	2505
44689.DDB0233051	2435
44689.DDB0187072	2426
44689.DDB0214853	2422
44689.DDB0305016	2417
44689.DDB0214920	2406
44689.DDB0214921	2406
44689.DDB0238741	2406
44689.DDB0231067	2401
44689.DDB0191513	2400
44689.DDB0231241	2388
44689.DDB0229959	2387
44689.DDB0201667	2387
44689.DDB0231047	2386
44689.DDB0230022	2369
44689.DDB0201638	2355
44689.DDB0185069	2348
44689.DDB0230153	2346
44689.DDB0229952	2345
44689.DDB0230025	2295
44689.DDB0231469	2285
44689.DDB0185063	2285
44689.DDB0215401	2282
44689.DDB0229949	2226
44689.DDB0191459	2217
44689.DDB0191290	2188
44689.DDB0185202	2178
44689.DDB0231060	2172
44689.DDB0214917	2152
44689.DDB0231151	2143
44689.DDB0230152	2134
44689.DDB0304721	2107
44689.DDB0191442	2102
44689.DDB0238608	2090
44689.DDB0231407	2077
44689.DDB0220657	2077
44689.DDB0232157	2073
44689.DDB0231191	2072
44689.DDB0191444	2059
44689.DDB0185122	2053
44689.DDB0233692	2042
44689.DDB0191166	2022
44689.DDB0191104	2021
44689.DDB0191363	2021
44689.DDB0230188	2018
44689.DDB0305137	2017
44689.DDB0231259	1985
44689.DDB0167890	1973
44689.DDB0232938	1966
44689.DDB0302512	1927
44689.DDB0214995	1913
44689.DDB0214939	1908
44689.DDB0232190	1904
44689.DDB0185040	1892
44689.DDB0230016	1887
44689.DDB0231150	1869
44689.DDB0185019	1858
44689.DDB0229960	1836
44689.DDB0220137	1832
44689.DDB0214936	1826
44689.DDB0191108	1806
44689.DDB0214955	1805
44689.DDB0191094	1793
44689.DDB0220458	1742
44689.DDB0201651	1714
44689.DDB0232290	1714
44689.DDB0230151	1713
44689.DDB0191178	1706
44689.DDB0219977	1684
44689.DDB0233328	1658
44689.DDB0215350	1658
44689.DDB0234225	1649
44689.DDB0185087	1642
44689.DDB0229950	1625
44689.DDB0231149	1613
44689.DDB0191416	1607
44689.DDB0215304	1605
44689.DDB0231192	1603
44689.DDB0185071	1586
44689.DDB0206043	1535
44689.DDB0231059	1528
44689.DDB0231154	1515
44689.DDB0304484	1512
44689.DDB0230146	1507
44689.DDB0233888	1499
44689.DDB0231588	1491
44689.DDB0230027	1488
44689.DDB0231064	1471
44689.DDB0191101	1463
44689.DDB0191175	1460
44689.DDB0231139	1446
44689.DDB0205454	1440
44689.DDB0232009	1439
44689.DDB0267046	1429
44689.DDB0190507	1428
44689.DDB0205520	1408
44689.DDB0238127	1408
44689.DDB0214935	1407
44689.DDB0229793	1389
44689.DDB0205427	1383
44689.DDB0233548	1371
44689.DDB0185207	1366
44689.DDB0233050	1355
44689.DDB0185026	1349
44689.DDB0220638	1343
44689.DDB0231068	1319
44689.DDB0185125	1315
44689.DDB0231799	1304
44689.DDB0215012	1300
44689.DDB0216173	1292
44689.DDB0238212	1291
44689.DDB0206526	1282
44689.DDB0235394	1273
44689.DDB0231438	1270
44689.DDB0231066	1270
44689.DDB0185051	1264
44689.DDB0266391	1261
44689.DDB0191163	1260
44689.DDB0191384	1240
44689.DDB0191111	1237
44689.DDB0214822	1230
44689.DDB0233663	1228
44689.DDB0230154	1223
44689.DDB0215366	1216
44689.DDB0231603	1206
44689.DDB0188705	1199
44689.DDB0191169	1198
44689.DDB0233519	1192
44689.DDB0230055	1187
44689.DDB0201652	1184
44689.DDB0233679	1177
44689.DDB0185179	1177
44689.DDB0167889	1170
44689.DDB0185060	1153
44689.DDB0219929	1151
44689.DDB0214817	1145
44689.DDB0231504	1131
44689.DDB0233884	1131
44689.DDB0216179	1126
44689.DDB0267110	1113
44689.DDB0231662	1112
44689.DDB0201563	1104
44689.DDB0231155	1102
44689.DDB0201631	1098
44689.DDB0169005	1097
44689.DDB0237967	1096
44689.DDB0231061	1094
44689.DDB0191249	1090
44689.DDB0231153	1090
44689.DDB0252830	1088
44689.DDB0305289	1087
44689.DDB0235393	1084
44689.DDB0185048	1083
44689.DDB0191262	1083
44689.DDB0191121	1081
44689.DDB0233512	1080
44689.DDB0234059	1066
44689.DDB0215409	1057
44689.DDB0230070	1055
44689.DDB0229925	1054
44689.DDB0215256	1052
44689.DDB0237576	1051
44689.DDB0266798	1049
44689.DDB0231658	1046
44689.DDB0201663	1043
44689.DDB0191139	1040
44689.DDB0201554	1038
44689.DDB0237753	1037
44689.DDB0238774	1023
44689.DDB0191156	1019
44689.DDB0191174	1016
44689.DDB0185070	1016
44689.DDB0231577	1011
44689.DDB0191138	1007
44689.DDB0185146	1007
44689.DDB0191254	1007
44689.DDB0238603	995
44689.DDB0231602	977
44689.DDB0216229	973
44689.DDB0187955	965
44689.DDB0233387	959
44689.DDB0231387	951
44689.DDB0214954	946
44689.DDB0233340	940
44689.DDB0201632	931
44689.DDB0220688	931
44689.DDB0216232	929
44689.DDB0230193	926
44689.DDB0191154	913
44689.DDB0235390	897
44689.DDB0229934	894
44689.DDB0220463	892
44689.DDB0220658	892
44689.DDB0216215	889
44689.DDB0252615	887
44689.DDB0191507	887
44689.DDB0305036	882
44689.DDB0191438	880
44689.DDB0219940	875
44689.DDB0219936	872
44689.DDB0186433	872
44689.DDB0220462	871
44689.DDB0185183	861
44689.DDB0188843	857
44689.DDB0191525	853
44689.DDB0235198	852
44689.DDB0214932	849
44689.DDB0267025	845
44689.DDB0231065	845
44689.DDB0185227	844
44689.DDB0266558	840
44689.DDB0215335	839
44689.DDB0218211	838
44689.DDB0231409	835
44689.DDB0231601	834
44689.DDB0237782	832
44689.DDB0231483	821
44689.DDB0233359	819
44689.DDB0232955	814
44689.DDB0237964	812
44689.DDB0188514	808
44689.DDB0215369	802
44689.DDB0191380	799
44689.DDB0229926	798
44689.DDB0234265	792
44689.DDB0216235	790
44689.DDB0214938	785
44689.DDB0230147	784
44689.DDB0191243	776
44689.DDB0191354	772
44689.DDB0230168	769
44689.DDB0302642	764
44689.DDB0218327	760
44689.DDB0215013	760
44689.DDB0201628	757
44689.DDB0201657	752
44689.DDB0232292	747
44689.DDB0305228	744
44689.DDB0186146	742
44689.DDB0230198	741
44689.DDB0186139	736
44689.DDB0188028	733
44689.DDB0184190	727
44689.DDB0185123	726
44689.DDB0238324	724
44689.DDB0219923	723
44689.DDB0230001	720
44689.DDB0187886	715
44689.DDB0229442	713
44689.DDB0235252	708
44689.DDB0229935	701
44689.DDB0185173	700
44689.DDB0214810	695
44689.DDB0305056	692
44689.DDB0184489	690
44689.DDB0214821	688
44689.DDB0191259	687
44689.DDB0215373	684
44689.DDB0235357	683
44689.DDB0231730	680
44689.DDB0191095	679
44689.DDB0191754	679
44689.DDB0191337	677
44689.DDB0214886	676
44689.DDB0214885	672
44689.DDB0230175	670
44689.DDB0168993	665
44689.DDB0214820	657
44689.DDB0191165	656
44689.DDB0215380	653
44689.DDB0231448	649
44689.DDB0266492	647
44689.DDB0252679	646
44689.DDB0214813	646
44689.DDB0215336	643
44689.DDB0232063	641
44689.DDB0191202	639
44689.DDB0238426	639
44689.DDB0231355	637
44689.DDB0215351	637
44689.DDB0167433	630
44689.DDB0230092	625
44689.DDB0233887	622
44689.DDB0204788	621
44689.DDB0232404	616
44689.DDB0191133	615
44689.DDB0189485	613
44689.DDB0191520	611
44689.DDB0238144	607
44689.DDB0266344	602
44689.DDB0232075	599
44689.DDB0238744	597
44689.DDB0167871	596
44689.DDB0167196	594
44689.DDB0266463	590
44689.DDB0191497	589
44689.DDB0229992	584
44689.DDB0238330	581
44689.DDB0266343	580
44689.DDB0216501	580
44689.DDB0220022	579
44689.DDB0185029	574
44689.DDB0231211	571
44689.DDB0167407	564
44689.DDB0233241	560
44689.DDB0235257	559
44689.DDB0234207	557
44689.DDB0232956	553
44689.DDB0304725	547
44689.DDB0230187	545
44689.DDB0185059	544
44689.DDB0216175	544
44689.DDB0304552	541
44689.DDB0231108	541
44689.DDB0235195	540
44689.DDB0191248	538
44689.DDB0229921	536
44689.DDB0304833	534
44689.DDB0191256	533
44689.DDB0231383	530
44689.DDB0233223	529
44689.DDB0185027	528
44689.DDB0233147	527
44689.DDB0233352	522
44689.DDB0231136	521
44689.DDB0234241	520
44689.DDB0191476	519
44689.DDB0232062	518
44689.DDB0191190	515
44689.DDB0231408	515
44689.DDB0266493	513
44689.DDB0233684	510
44689.DDB0304644	510
44689.DDB0231589	508
44689.DDB0238416	508
44689.DDB0191193	505
44689.DDB0191264	501
44689.DDB0215015	501
44689.DDB0231747	498
44689.DDB0185034	498
44689.DDB0215348	494
44689.DDB0232954	494
44689.DDB0234109	493
44689.DDB0231385	491
44689.DDB0230063	490
44689.DDB0220459	489
44689.DDB0234117	485
