#id: 3632806880
#name: M.aeruginosa - Whole organism (Integrated)
#score: 4.5
#coverage: 79
#description: integrated dataset: weighted average of all M.aeruginosa WHOLE_ORGANISM: 4.5, Coverage: 79
#organ: WHOLE_ORGANISM
#integrated: true
#weights: MicrocystisAeruginosa_strainNIES-843_PCC7005_PRIDE:0.832;MicrocystisAeruginosa_strainNIES-843_PCC7806_PRIDE:0.083;MicrocystisAeruginosa_strainNIES-843_HUB5-3_PRIDE:0.046;MicrocystisAeruginosa_strainNIES-843_UWOCCMRC_PRIDE:0.02;MicrocystisAeruginosa_strainNIES-843_UWOCCMRD_PRIDE:0.01;MicrocystisAeruginosa_strainNIES-843_UWOCCCBS_PRIDE:0.01;
#publication_year: 2023
#filename: 449447-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
449447.MAE_24450	123762
449447.MAE_24460	87992
449447.MAE_10270	28893
449447.MAE_54000	26828
449447.MAE_10260	25998
449447.MAE_43690	17776
449447.MAE_24480	14783
449447.MAE_47290	13688
449447.MAE_35830	12033
449447.MAE_48340	11243
449447.MAE_18910	10431
449447.MAE_10240	10244
449447.MAE_30020	9467
449447.MAE_47940	9127
449447.MAE_47930	8780
449447.MAE_32470	8769
449447.MAE_06220	8690
449447.MAE_06090	8485
449447.MAE_12560	7768
449447.MAE_23300	7407
449447.MAE_32490	6912
449447.MAE_00920	6758
449447.MAE_47890	6631
449447.MAE_25030	6600
449447.MAE_00640	6511
449447.MAE_32010	6322
449447.MAE_59230	6242
449447.MAE_11840	6097
449447.MAE_33560	5933
449447.MAE_14800	5723
449447.MAE_60090	5667
449447.MAE_19230	5512
449447.MAE_36510	5300
449447.MAE_46080	5131
449447.MAE_27990	4991
449447.MAE_19220	4986
449447.MAE_26300	4891
449447.MAE_53990	4843
449447.MAE_15130	4633
449447.MAE_47870	4562
449447.MAE_31800	4383
449447.MAE_21640	4332
449447.MAE_44250	4266
449447.MAE_46230	4201
449447.MAE_43670	4193
449447.MAE_50130	4154
449447.MAE_13620	4111
449447.MAE_42760	4085
449447.MAE_49370	3972
449447.MAE_13690	3750
449447.MAE_19270	3674
449447.MAE_57460	3569
449447.MAE_50160	3510
449447.MAE_00930	3310
449447.MAE_50250	3261
449447.MAE_12570	3139
449447.MAE_54370	3122
449447.MAE_35130	3080
449447.MAE_36720	3048
449447.MAE_15650	3011
449447.MAE_36300	3001
449447.MAE_57080	2854
449447.MAE_36040	2843
449447.MAE_33030	2734
449447.MAE_11770	2618
449447.MAE_46070	2524
449447.MAE_56280	2440
449447.MAE_46030	2395
449447.MAE_44820	2385
449447.MAE_18310	2349
449447.MAE_50140	2334
449447.MAE_50080	2222
449447.MAE_34890	2207
449447.MAE_03410	2205
449447.MAE_36710	2141
449447.MAE_55390	2124
449447.MAE_62840	2092
449447.MAE_50170	2067
449447.MAE_61690	2035
449447.MAE_24280	2000
449447.MAE_50150	1943
449447.MAE_16060	1942
449447.MAE_44660	1867
449447.MAE_57310	1848
449447.MAE_36620	1824
449447.MAE_57330	1810
449447.MAE_37620	1775
449447.MAE_38450	1754
449447.MAE_18380	1743
449447.MAE_58860	1676
449447.MAE_41150	1655
449447.MAE_32990	1648
449447.MAE_62150	1642
449447.MAE_52550	1587
449447.MAE_51670	1587
449447.MAE_40910	1571
449447.MAE_50120	1537
449447.MAE_51680	1535
449447.MAE_25340	1522
449447.MAE_57290	1518
449447.MAE_47570	1510
449447.MAE_45990	1503
449447.MAE_31550	1501
449447.MAE_19990	1495
449447.MAE_32220	1481
449447.MAE_57190	1473
449447.MAE_21600	1459
449447.MAE_50390	1448
449447.MAE_57270	1442
449447.MAE_57300	1440
449447.MAE_48380	1433
449447.MAE_14970	1409
449447.MAE_50050	1397
449447.MAE_51710	1380
449447.MAE_62000	1366
449447.MAE_44930	1365
449447.MAE_36690	1346
449447.MAE_56270	1340
449447.MAE_60930	1340
449447.MAE_33020	1328
449447.MAE_52560	1271
449447.MAE_57430	1265
449447.MAE_18840	1246
449447.MAE_33570	1244
449447.MAE_60310	1218
449447.MAE_44940	1216
449447.MAE_57260	1202
449447.MAE_61820	1194
449447.MAE_59990	1170
449447.MAE_35390	1169
449447.MAE_57400	1168
449447.MAE_59640	1162
449447.MAE_35090	1154
449447.MAE_52500	1137
449447.MAE_41630	1137
449447.MAE_47530	1120
449447.MAE_47910	1116
449447.MAE_01820	1086
449447.MAE_41130	1084
449447.MAE_06360	1081
449447.MAE_11780	1051
449447.MAE_62720	1048
449447.MAE_05230	1043
449447.MAE_02790	1022
449447.MAE_44370	1003
449447.MAE_54380	995
449447.MAE_02620	975
449447.MAE_32430	974
449447.MAE_56740	970
449447.MAE_52320	958
449447.MAE_46050	950
449447.MAE_59180	941
449447.MAE_06600	925
449447.MAE_45790	923
449447.MAE_09640	911
449447.MAE_57370	910
449447.MAE_11310	903
449447.MAE_00940	884
449447.MAE_56780	880
449447.MAE_59170	880
449447.MAE_45860	879
449447.MAE_60260	873
449447.MAE_39060	870
449447.MAE_06300	854
449447.MAE_57180	847
449447.MAE_36590	837
449447.MAE_62680	824
449447.MAE_02500	822
449447.MAE_54100	816
449447.MAE_47920	815
449447.MAE_39280	814
449447.MAE_23570	812
449447.MAE_21700	806
449447.MAE_06830	790
449447.MAE_23900	779
449447.MAE_06270	779
449447.MAE_46700	766
449447.MAE_15010	765
449447.MAE_45600	758
449447.MAE_38110	756
449447.MAE_08250	745
449447.MAE_62060	740
449447.MAE_46260	734
449447.MAE_14650	732
449447.MAE_54390	727
449447.MAE_13090	705
449447.MAE_06820	695
449447.MAE_47560	690
449447.MAE_56440	688
449447.MAE_16070	688
449447.MAE_61940	682
449447.MAE_57320	679
449447.MAE_48050	672
449447.MAE_03820	665
449447.MAE_05330	665
449447.MAE_42750	660
449447.MAE_14730	660
449447.MAE_59550	655
449447.MAE_59730	646
449447.MAE_52540	644
449447.MAE_13660	638
449447.MAE_41320	616
449447.MAE_09540	605
449447.MAE_45970	596
449447.MAE_19600	592
449447.MAE_20180	590
449447.MAE_51610	582
449447.MAE_18780	577
449447.MAE_53390	574
449447.MAE_52510	569
449447.MAE_17980	567
449447.MAE_41160	567
449447.MAE_07310	566
449447.MAE_57340	563
449447.MAE_28670	559
449447.MAE_47020	553
449447.MAE_39510	553
449447.MAE_39210	546
449447.MAE_53430	533
449447.MAE_06250	531
449447.MAE_29060	526
449447.MAE_36630	525
449447.MAE_10010	519
449447.MAE_45690	518
449447.MAE_54850	513
449447.MAE_07350	512
449447.MAE_33070	511
449447.MAE_07860	509
449447.MAE_57420	507
449447.MAE_59430	507
449447.MAE_43600	502
449447.MAE_57240	501
449447.MAE_04620	498
449447.MAE_15820	495
449447.MAE_59370	491
449447.MAE_57280	487
449447.MAE_04030	482
449447.MAE_43910	475
449447.MAE_02510	474
449447.MAE_55400	470
449447.MAE_22330	470
449447.MAE_27590	469
449447.MAE_51180	467
449447.MAE_01240	466
449447.MAE_26310	462
449447.MAE_11760	460
449447.MAE_42770	458
449447.MAE_32380	457
449447.MAE_10410	454
449447.MAE_14900	452
449447.MAE_11870	440
449447.MAE_08020	439
449447.MAE_44890	437
449447.MAE_06280	434
449447.MAE_56680	433
449447.MAE_15720	432
449447.MAE_47950	432
449447.MAE_03120	426
449447.MAE_13910	425
449447.MAE_42780	425
449447.MAE_37950	418
449447.MAE_53760	416
449447.MAE_36490	415
449447.MAE_19620	415
449447.MAE_00590	414
449447.MAE_10370	413
449447.MAE_10560	410
449447.MAE_43170	410
449447.MAE_20050	404
449447.MAE_10050	403
449447.MAE_59450	403
449447.MAE_63100	401
449447.MAE_26400	398
449447.MAE_09700	395
449447.MAE_50450	392
449447.MAE_53690	392
449447.MAE_51290	385
449447.MAE_40900	384
449447.MAE_57380	380
449447.MAE_31330	379
449447.MAE_50020	379
449447.MAE_34820	378
449447.MAE_44650	369
449447.MAE_32660	362
449447.MAE_23490	361
449447.MAE_39110	360
449447.MAE_07290	360
449447.MAE_43370	360
449447.MAE_33710	359
449447.MAE_03070	358
449447.MAE_35080	356
449447.MAE_19160	353
449447.MAE_43340	352
449447.MAE_43870	350
449447.MAE_10220	345
449447.MAE_10380	345
449447.MAE_10510	345
449447.MAE_10800	345
449447.MAE_58140	345
449447.MAE_05620	344
449447.MAE_30620	342
449447.MAE_37770	341
449447.MAE_32000	341
449447.MAE_24270	340
449447.MAE_54480	337
449447.MAE_45330	337
449447.MAE_11250	335
449447.MAE_09050	333
449447.MAE_26420	332
449447.MAE_28170	332
449447.MAE_00210	328
449447.MAE_17290	321
449447.MAE_06370	318
449447.MAE_22010	318
449447.MAE_60990	317
449447.MAE_00700	314
449447.MAE_27510	314
449447.MAE_15370	313
449447.MAE_37450	307
449447.MAE_40610	301
449447.MAE_15220	298
449447.MAE_28060	297
449447.MAE_28090	291
449447.MAE_23320	291
449447.MAE_59770	290
449447.MAE_57390	288
449447.MAE_44430	288
449447.MAE_42790	288
449447.MAE_45040	286
449447.MAE_48640	286
449447.MAE_51380	285
449447.MAE_51160	285
449447.MAE_46460	284
449447.MAE_36030	283
