#id: 156716164
#name: S.pombe - Whole organism (Integrated)
#score: 25.7
#coverage: 90
#description: integrated dataset: weighted average of all S.pombe WHOLE_ORGANISM: 25.7, Coverage: 90
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Schizosaccharomyces_pombe_SC_biomart_29627_E_BTO0000214cellculture_1reps:0.368;4896_GPM_201408:0.199;proliferating_protID_copynr_Marguerat_2012:0.125;Spombe_emPAI_Gunaratne_2013:0.091;quiescent_protID_copynr_Marguerat_2012:0.084;SchizosaccharomycesPombe_FissionYeast_PRIDE:0.074;PXD000269_Kulak_Nat_Methods_2014_S_pombe:0.032;pombe_cell2012_protein:0.027;
#publication_year: 2023
#filename: 4896-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
4896.SPBC32F12.11.1	12613
4896.SPAC12G12.13c.1	11157
4896.SPAC30D11.12.1	8659
4896.SPBP35G2.08c.1	8564
4896.SPBC947.10.1	6885
4896.SPCC736.08.1	6845
4896.SPBC1815.01.1	6242
4896.SPAC23A1.10.1	5997
4896.SPBC839.15c.1	5997
4896.SPAC1F8.07c.1	5163
4896.SPAC4H3.10c.1	5057
4896.SPAC26F1.06.1	5052
4896.SPBC19C2.07.1	4923
4896.SPCC794.09c.1	4922
4896.SPBC56F2.12.1	4838
4896.SPAP8A3.09c.1	4777
4896.SPBC354.12.1	4592
4896.SPBC14F5.04c.1	4586
4896.SPCC13B11.01.1	4497
4896.SPBC1773.01.1	4462
4896.SPAC644.15.1	4284
4896.SPBC32H8.12c.1	3924
4896.SPCC330.06c.1	3729
4896.SPCC613.06.1	3554
4896.SPAC959.08.1	3250
4896.SPAC589.10c.1	3108
4896.SPBC14F5.05c.1	2998
4896.SPBC26H8.01.1	2963
4896.SPBC3B9.13c.1	2955
4896.SPCC1739.13.1	2937
4896.SPBC1685.09.1	2826
4896.SPAC18G6.14c.1	2798
4896.SPAC110.03.1	2732
4896.SPBC18E5.06.1	2682
4896.SPAC11G7.04.1	2646
4896.SPAC1805.12c.1	2646
4896.SPBC660.16.1	2634
4896.SPAC23C11.05.1	2580
4896.SPBC1718.07c.1	2542
4896.SPAC664.05.1	2525
4896.SPAC20G4.06c.1	2521
4896.SPBP22H7.08.1	2510
4896.SPCC24B10.21.1	2510
4896.SPBC577.02.1	2503
4896.SPBC8D2.18c.1	2495
4896.SPCC576.03c.1	2484
4896.SPBC405.07.1	2473
4896.SPAC821.10c.1	2461
4896.SPBC1709.05.1	2457
4896.SPBC1685.10.1	2432
4896.SPAC6G10.11c.1	2418
4896.SPBC15D4.03.1	2415
4896.SPAC3H5.12c.1	2390
4896.SPBC1289.05c.1	2387
4896.SPBC29A3.04.1	2365
4896.SPAC4F10.14c.1	2358
4896.SPAC926.04c.1	2333
4896.SPBC646.13.1	2330
4896.SPCC613.05c.1	2307
4896.SPAC1687.06c.1	2296
4896.SPAC821.07c.1	2258
4896.SPAC222.12c.1	2199
4896.SPBP8B7.06.1	2188
4896.SPBC2F12.07c.1	2183
4896.SPAC8E11.02c.1	2175
4896.SPAPJ698.02c.1	2173
4896.SPBC28F2.03.1	2134
4896.SPBC18E5.04.1	2122
4896.SPAC890.08.1	2117
4896.SPBC4F6.04.1	2067
4896.SPAC1006.07.1	2026
4896.SPBC16H5.02.1	2022
4896.SPAC9.09.1	2019
4896.SPAC3H5.05c.1	2012
4896.SPAP7G5.05.1	2010
4896.SPBC16G5.14c.1	1956
4896.SPCC622.09.1	1950
4896.SPBP8B7.03c.1	1947
4896.SPCP1E11.09c.1	1941
4896.SPBC18H10.13.1	1933
4896.SPAC1805.13.1	1922
4896.SPCC24B10.09.1	1914
4896.SPAC1071.08.1	1912
4896.SPBC685.07c.1	1911
4896.SPCC18.14c.1	1889
4896.SPAPB1E7.12.1	1885
4896.SPAC1834.03c.1	1877
4896.SPAC26A3.04.1	1872
4896.SPCC962.04.1	1868
4896.SPCC663.04.1	1845
4896.SPBC106.18.1	1830
4896.SPBC29B5.03c.1	1828
4896.SPBP4H10.13.1	1826
4896.SPBC354.05c.1	1825
4896.SPBC8D2.03c.1	1823
4896.SPAC24C9.12c.1	1818
4896.SPBC1105.12.1	1818
4896.SPAC26H5.10c.1	1812
4896.SPBC56F2.02.1	1788
4896.SPBC2G5.05.1	1784
4896.SPAC13G6.07c.1	1783
4896.SPAC3A12.10.1	1782
4896.SPBC16A3.08c.1	1758
4896.SPAC4G9.16c.1	1757
4896.SPAC25B8.12c.1	1735
4896.SPBC839.05c.1	1734
4896.SPCC1450.04.1	1731
4896.SPAC29B12.04.1	1722
4896.SPAC7D4.07c.1	1713
4896.SPCC1183.08c.1	1705
4896.SPBC25H2.05.1	1690
4896.SPCC622.18.1	1657
4896.SPBC1711.06.1	1656
4896.SPBC21B10.08c.1	1641
4896.SPBC365.03c.1	1641
4896.SPAC9G1.03c.1	1638
4896.SPAC25G10.06.1	1628
4896.SPCC417.08.1	1599
4896.SPAC22A12.15c.1	1594
4896.SPAC1782.09c.1	1593
4896.SPCC576.09.1	1592
4896.SPCC550.06c.1	1587
4896.SPAC31G5.17c.1	1587
4896.SPCC285.15c.1	1567
4896.SPBC19F8.08.1	1556
4896.SPCC74.05.1	1546
4896.SPAC4D7.11.1	1542
4896.SPAP8A3.04c.1	1533
4896.SPCC576.08c.1	1528
4896.SPAC13D6.01.1	1525
4896.SPAC144.11.1	1506
4896.SPCC16C4.13c.1	1501
4896.SPAC23C11.02c.1	1501
4896.SPAC6B12.15.1	1492
4896.SPAC15E1.03.1	1490
4896.SPCC736.15.1	1487
4896.SPAC13G6.02c.1	1481
4896.SPBC2F12.04.1	1477
