#id: 350681172
#name: Nmagadii ATCC43099 - Whole organism (Integrated)
#score: 3.3
#coverage: 49
#description: integrated dataset: weighted average of all Nmagadii ATCC43099 WHOLE_ORGANISM: 3.3, Coverage: 49
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD009116_Cerletti_Proteomics_2018_N_magadii_expo:0.909;PXD009116_Cerletti_Proteomics_2018_N_magadii_stat:0.091;
#publication_year: 2023
#filename: 547559-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
547559.Nmag_2168	12893
547559.Nmag_0795	12740
547559.Nmag_2516	12310
547559.Nmag_2939	11064
547559.Nmag_0810	9712
547559.Nmag_0216	9495
547559.Nmag_2158	9131
547559.Nmag_2405	8523
547559.Nmag_0424	8475
547559.Nmag_0421	8357
547559.Nmag_3313	7658
547559.Nmag_2429	7566
547559.Nmag_1667	7437
547559.Nmag_0426	7184
547559.Nmag_0213	6326
547559.Nmag_2264	6306
547559.Nmag_2383	6279
547559.Nmag_2382	6139
547559.Nmag_3351	5860
547559.Nmag_2331	5793
547559.Nmag_0422	5513
547559.Nmag_1768	5448
547559.Nmag_2657	5445
547559.Nmag_1336	5200
547559.Nmag_2402	5050
547559.Nmag_1476	5043
547559.Nmag_2431	4948
547559.Nmag_0230	4912
547559.Nmag_2800	4853
547559.Nmag_2613	4841
547559.Nmag_0549	4747
547559.Nmag_0815	4721
547559.Nmag_3235	4500
547559.Nmag_2656	4480
547559.Nmag_2487	4333
547559.Nmag_1371	4288
547559.Nmag_0072	4287
547559.Nmag_0430	4254
547559.Nmag_0214	3965
547559.Nmag_1831	3869
547559.Nmag_2124	3845
547559.Nmag_1668	3807
547559.Nmag_0222	3777
547559.Nmag_0807	3680
547559.Nmag_2791	3604
547559.Nmag_2659	3569
547559.Nmag_0442	3551
547559.Nmag_0959	3462
547559.Nmag_2430	3423
547559.Nmag_3108	3420
547559.Nmag_1937	3394
547559.Nmag_2491	3236
547559.Nmag_0582	3215
547559.Nmag_1072	3198
547559.Nmag_1256	3157
547559.Nmag_3307	3127
547559.Nmag_3128	3103
547559.Nmag_2322	3072
547559.Nmag_3543	3060
547559.Nmag_2453	3031
547559.Nmag_0454	3028
547559.Nmag_0550	3016
547559.Nmag_1373	2959
547559.Nmag_1040	2932
547559.Nmag_0226	2926
547559.Nmag_3507	2915
547559.Nmag_3586	2905
547559.Nmag_1849	2901
547559.Nmag_1275	2885
547559.Nmag_1469	2883
547559.Nmag_3382	2823
547559.Nmag_0817	2821
547559.Nmag_0223	2799
547559.Nmag_0301	2787
547559.Nmag_1666	2747
547559.Nmag_2150	2746
547559.Nmag_0210	2734
547559.Nmag_0639	2723
547559.Nmag_1974	2704
547559.Nmag_0219	2630
547559.Nmag_0945	2599
547559.Nmag_1089	2599
547559.Nmag_1665	2595
547559.Nmag_2905	2593
547559.Nmag_0580	2561
547559.Nmag_2017	2518
547559.Nmag_1366	2517
547559.Nmag_3518	2427
547559.Nmag_3595	2399
547559.Nmag_2307	2357
547559.Nmag_1707	2351
547559.Nmag_3541	2310
547559.Nmag_1370	2299
547559.Nmag_2722	2296
547559.Nmag_2640	2278
547559.Nmag_3120	2243
547559.Nmag_0397	2217
547559.Nmag_2312	2193
547559.Nmag_2864	2191
547559.Nmag_2630	2185
547559.Nmag_2151	2171
547559.Nmag_0619	2137
547559.Nmag_2152	2132
547559.Nmag_0325	2099
547559.Nmag_0420	2093
547559.Nmag_1759	2091
547559.Nmag_2290	2079
547559.Nmag_0308	2064
547559.Nmag_2153	2044
547559.Nmag_3063	2029
547559.Nmag_2141	2017
547559.Nmag_0673	1984
547559.Nmag_1187	1952
547559.Nmag_2122	1947
547559.Nmag_2535	1928
547559.Nmag_2679	1926
547559.Nmag_2354	1911
547559.Nmag_0445	1908
547559.Nmag_3219	1901
547559.Nmag_3127	1879
547559.Nmag_2432	1840
547559.Nmag_3151	1837
547559.Nmag_3094	1810
547559.Nmag_0221	1800
547559.Nmag_1441	1796
547559.Nmag_0028	1789
547559.Nmag_1623	1785
547559.Nmag_2202	1783
547559.Nmag_3305	1781
547559.Nmag_3092	1755
547559.Nmag_0312	1751
547559.Nmag_0498	1744
547559.Nmag_0228	1727
547559.Nmag_0876	1707
547559.Nmag_2822	1707
547559.Nmag_2494	1705
547559.Nmag_0233	1704
547559.Nmag_1486	1699
547559.Nmag_2827	1699
547559.Nmag_4023	1695
547559.Nmag_0579	1685
547559.Nmag_3544	1658
547559.Nmag_0396	1655
547559.Nmag_1051	1649
547559.Nmag_1295	1643
547559.Nmag_3489	1636
547559.Nmag_2718	1634
547559.Nmag_1410	1632
547559.Nmag_0736	1622
547559.Nmag_0227	1619
547559.Nmag_2862	1615
547559.Nmag_2488	1614
547559.Nmag_0401	1591
547559.Nmag_2996	1577
547559.Nmag_0581	1573
547559.Nmag_3107	1570
547559.Nmag_0059	1555
547559.Nmag_2846	1545
547559.Nmag_2484	1539
547559.Nmag_0737	1534
547559.Nmag_2477	1529
547559.Nmag_1876	1520
547559.Nmag_2517	1515
547559.Nmag_2492	1512
547559.Nmag_0443	1507
547559.Nmag_1126	1491
547559.Nmag_1506	1485
547559.Nmag_3263	1484
547559.Nmag_2481	1470
547559.Nmag_0782	1464
547559.Nmag_4024	1456
547559.Nmag_0305	1444
547559.Nmag_3510	1444
547559.Nmag_0964	1430
547559.Nmag_1501	1429
547559.Nmag_2489	1418
547559.Nmag_0762	1417
547559.Nmag_4018	1406
547559.Nmag_2876	1404
547559.Nmag_3608	1403
547559.Nmag_1720	1393
547559.Nmag_2858	1390
547559.Nmag_1777	1389
547559.Nmag_1084	1384
547559.Nmag_1705	1379
547559.Nmag_2426	1367
547559.Nmag_0934	1360
547559.Nmag_1248	1335
547559.Nmag_2014	1333
547559.Nmag_2973	1319
547559.Nmag_2279	1317
547559.Nmag_2989	1315
547559.Nmag_0032	1314
547559.Nmag_1412	1305
547559.Nmag_0825	1297
547559.Nmag_2898	1296
547559.Nmag_2072	1294
547559.Nmag_0453	1293
547559.Nmag_0578	1287
547559.Nmag_0819	1282
547559.Nmag_2502	1279
547559.Nmag_2247	1275
547559.Nmag_1929	1273
547559.Nmag_1522	1252
547559.Nmag_3254	1244
547559.Nmag_1815	1241
547559.Nmag_3476	1225
547559.Nmag_2528	1223
547559.Nmag_0637	1204
547559.Nmag_2598	1195
547559.Nmag_3125	1195
547559.Nmag_1374	1194
547559.Nmag_2473	1187
547559.Nmag_2815	1179
547559.Nmag_2144	1169
547559.Nmag_3252	1155
547559.Nmag_2180	1153
547559.Nmag_0944	1150
547559.Nmag_0621	1149
547559.Nmag_2831	1147
547559.Nmag_1808	1144
547559.Nmag_0232	1143
547559.Nmag_1836	1139
547559.Nmag_2715	1135
547559.Nmag_2808	1135
547559.Nmag_3329	1134
547559.Nmag_2296	1123
547559.Nmag_4051	1122
547559.Nmag_2095	1114
547559.Nmag_2470	1109
547559.Nmag_2178	1108
547559.Nmag_0147	1095
547559.Nmag_1543	1086
547559.Nmag_1052	1083
547559.Nmag_1145	1079
547559.Nmag_2137	1069
547559.Nmag_1571	1059
547559.Nmag_3156	1056
547559.Nmag_1207	1047
547559.Nmag_1538	1046
547559.Nmag_2440	1038
547559.Nmag_1549	1027
547559.Nmag_2717	1025
547559.Nmag_0607	1025
547559.Nmag_2449	1019
547559.Nmag_0666	1011
547559.Nmag_2472	1007
547559.Nmag_1369	1006
547559.Nmag_0489	1004
547559.Nmag_0306	1001
547559.Nmag_3253	1000
547559.Nmag_0784	993
547559.Nmag_2515	988
547559.Nmag_2614	985
547559.Nmag_1420	979
547559.Nmag_1397	974
547559.Nmag_1504	971
547559.Nmag_1947	968
547559.Nmag_1542	968
547559.Nmag_1840	954
547559.Nmag_1388	948
547559.Nmag_0405	947
547559.Nmag_1722	945
547559.Nmag_0969	944
547559.Nmag_1997	935
547559.Nmag_1517	935
547559.Nmag_1098	934
547559.Nmag_1819	927
547559.Nmag_0640	921
547559.Nmag_1684	919
547559.Nmag_2778	915
547559.Nmag_2289	914
547559.Nmag_0821	910
547559.Nmag_3477	906
547559.Nmag_0705	906
547559.Nmag_0927	903
547559.Nmag_0919	902
547559.Nmag_2612	902
547559.Nmag_2123	899
547559.Nmag_0212	893
547559.Nmag_2051	893
547559.Nmag_2885	890
547559.Nmag_2902	890
547559.Nmag_1863	888
547559.Nmag_3242	885
547559.Nmag_1510	884
547559.Nmag_0652	883
547559.Nmag_3478	881
547559.Nmag_2758	879
547559.Nmag_0220	878
547559.Nmag_0263	877
547559.Nmag_2335	874
547559.Nmag_0571	862
547559.Nmag_2908	859
547559.Nmag_4179	853
547559.Nmag_2186	852
547559.Nmag_3081	852
547559.Nmag_2116	851
547559.Nmag_1917	846
547559.Nmag_0624	841
547559.Nmag_0014	841
547559.Nmag_0400	841
547559.Nmag_2853	840
547559.Nmag_3074	830
547559.Nmag_2255	830
547559.Nmag_2980	828
547559.Nmag_3248	826
547559.Nmag_0545	824
547559.Nmag_1802	824
547559.Nmag_0414	822
547559.Nmag_1857	820
547559.Nmag_1047	814
547559.Nmag_2478	811
547559.Nmag_0653	808
547559.Nmag_3458	807
547559.Nmag_0622	806
547559.Nmag_2495	804
547559.Nmag_1271	804
547559.Nmag_3589	800
547559.Nmag_1621	797
547559.Nmag_2465	797
547559.Nmag_2250	795
547559.Nmag_2589	793
547559.Nmag_2999	790
547559.Nmag_1389	789
547559.Nmag_0960	788
547559.Nmag_0996	776
547559.Nmag_1617	773
547559.Nmag_3218	768
547559.Nmag_1068	766
547559.Nmag_1694	766
547559.Nmag_2805	765
547559.Nmag_1090	760
547559.Nmag_1417	759
547559.Nmag_3255	757
547559.Nmag_0985	754
547559.Nmag_2900	754
547559.Nmag_0809	753
547559.Nmag_2882	752
547559.Nmag_1616	751
547559.Nmag_3257	751
547559.Nmag_0504	750
547559.Nmag_4020	749
547559.Nmag_1972	744
547559.Nmag_0949	731
547559.Nmag_0688	727
547559.Nmag_3605	727
547559.Nmag_0379	725
547559.Nmag_2521	724
547559.Nmag_0930	723
547559.Nmag_2888	721
547559.Nmag_3461	717
547559.Nmag_1594	715
547559.Nmag_1425	713
547559.Nmag_0916	711
547559.Nmag_3261	711
547559.Nmag_0898	710
547559.Nmag_1700	706
547559.Nmag_2711	704
547559.Nmag_2497	702
547559.Nmag_1755	699
547559.Nmag_1488	696
547559.Nmag_1935	696
547559.Nmag_1693	695
547559.Nmag_2549	694
547559.Nmag_2683	688
547559.Nmag_2765	687
547559.Nmag_1740	686
547559.Nmag_1744	686
547559.Nmag_0935	684
547559.Nmag_1818	682
547559.Nmag_1702	680
547559.Nmag_1601	678
547559.Nmag_1764	676
547559.Nmag_3357	671
547559.Nmag_2601	667
547559.Nmag_0716	663
547559.Nmag_0791	659
547559.Nmag_2880	659
547559.Nmag_1030	657
547559.Nmag_2887	651
547559.Nmag_2913	651
547559.Nmag_1910	650
547559.Nmag_1959	650
547559.Nmag_1128	648
547559.Nmag_1909	647
547559.Nmag_2118	644
547559.Nmag_0668	642
547559.Nmag_1229	641
547559.Nmag_0980	641
547559.Nmag_0184	640
547559.Nmag_0211	639
547559.Nmag_1438	634
547559.Nmag_0509	632
547559.Nmag_0759	628
547559.Nmag_1908	626
547559.Nmag_0264	626
547559.Nmag_3597	626
547559.Nmag_1376	622
547559.Nmag_0215	622
547559.Nmag_1562	621
547559.Nmag_0176	615
547559.Nmag_2204	614
547559.Nmag_3057	613
547559.Nmag_0963	611
