#id: 919057878
#name: T.brucei - Whole organism (Integrated)
#score: 21.4
#coverage: 68
#description: integrated dataset: weighted average of all T.brucei WHOLE_ORGANISM: 21.4, Coverage: 68
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD000049_Urbaniak_J_Proteome_Res_2013_Tbrucei_blood_form:0.758;PXD000049_Urbaniak_J_Proteome_Res_2013_Tbrucei_polycyclic:0.152;5691_GPM_201408:0.091;
#publication_year: 2023
#filename: 5691-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
5691.EAN77978	18307
5691.EAN77714	9560
5691.AAZ10361	9230
5691.EAN77261	8537
5691.EAN77262	8537
5691.EAN77263	8537
5691.AAZ11987	8461
5691.AAZ11988	8461
5691.EAN78479	8360
5691.EAN79069	8346
5691.EAN77636	7735
5691.AAZ13118	7481
5691.EAN80558	7343
5691.EAN77637	6901
5691.EAN77638	6901
5691.EAN80086	6901
5691.EAN78782	6484
5691.CAJ16358	6399
5691.CAJ16361	6399
5691.CAJ16363	6399
5691.CAJ16365	6399
5691.CAJ16360	6393
5691.CAJ16362	6393
5691.CAJ16364	6393
5691.CAJ16366	6393
5691.EAN78290	6030
5691.EAN79911	4790
5691.AAZ10777	4183
5691.EAN79052	4166
5691.AAZ13290	4027
5691.EAN79938	4005
5691.EAN80148	3805
5691.AAZ10721	3711
5691.EAN79922	3690
5691.AAZ12056	3672
5691.EAN76634	3665
5691.EAN77628	3614
5691.AAZ12008	3532
5691.AAZ10865	3404
5691.AAZ12197	3353
5691.AAZ12199	3353
5691.EAN78021	3263
5691.EAN79055	3258
5691.EAN80247	3238
5691.EAN80248	3238
5691.EAN80249	3238
5691.EAN80250	3238
5691.EAN77629	3163
5691.AAZ10378	3154
5691.EAN79592	3145
5691.AAZ10809	3116
5691.EAN78511	3097
5691.EAN79515	3071
5691.EAN77486	2961
5691.EAN76301	2800
5691.EAN76302	2800
5691.EAN76985	2753
5691.EAN76891	2748
5691.EAN79924	2747
5691.AAZ10536	2711
5691.EAN78519	2708
5691.EAN76671	2671
5691.EAN79782	2671
5691.EAN78054	2599
5691.EAN78065	2599
5691.AAZ10147	2589
5691.EAN76669	2545
5691.EAN79721	2511
5691.EAN79726	2511
5691.EAN77997	2480
5691.EAN79850	2445
5691.CAJ16529	2374
5691.AAZ13208	2341
5691.EAN76639	2341
5691.EAN76642	2341
5691.EAN76668	2306
5691.EAN78249	2298
5691.EAN77875	2246
5691.EAN77876	2246
5691.EAN80132	2207
5691.EAN80133	2207
5691.EAN77028	2179
5691.AAZ10950	2125
5691.EAN79580	2122
5691.EAN79582	2122
5691.AAZ11772	2115
5691.EAN77168	2113
5691.EAN77169	2113
5691.EAN77171	2113
5691.EAN77334	2113
5691.EAN77588	2108
5691.EAN77950	2099
5691.EAN77951	2099
5691.AAZ10172	2092
5691.EAN77709	2092
5691.AAZ11973	2064
5691.EAN77454	2063
5691.EAN78051	2063
