#id: 2432904607
#name: Tgondii - Whole organism (Integrated)
#score: 11.7
#coverage: 31
#description: integrated dataset: weighted average of all Tgondii WHOLE_ORGANISM: 11.7, Coverage: 31
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD016845_Tgondii_PRU_strain_untreated:0.909;PXD016133_Tgondii_LFQ:0.091;
#publication_year: 2023
#filename: 5811-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
5811.TGME49_009030	50130
5811.TGME49_020400	31406
5811.TGME49_070250	25165
5811.TGME49_086420	21057
5811.TGME49_094800	21057
5811.TGME49_109590	18855
5811.TGME49_009910	18540
5811.TGME49_073760	16902
5811.TGME49_100200	16148
5811.TGME49_027620	15935
5811.TGME49_061250	15571
5811.TGME49_011680	13299
5811.TGME49_086450	13093
5811.TGME49_063090	12994
5811.TGME49_032350	12813
5811.TGME49_109810	11525
5811.TGME49_003310	10971
5811.TGME49_039260	10748
5811.TGME49_105160	10329
5811.TGME49_051870	10163
5811.TGME49_018260	10042
5811.TGME49_093870	7731
5811.TGME49_036040	7306
5811.TGME49_061240	7124
5811.TGME49_088380	7096
5811.TGME49_051810	7022
5811.TGME49_014080	7013
5811.TGME49_111720	6651
5811.TGME49_068850	6574
5811.TGME49_093690	6560
5811.TGME49_109210	6339
5811.TGME49_089690	6211
5811.TGME49_049240	5916
5811.TGME49_033460	5715
5811.TGME49_009290	5600
5811.TGME49_039100	5589
5811.TGME49_039760	4999
5811.TGME49_116400	4848
5811.TGME49_017890	4848
5811.TGME49_110780	4844
5811.TGME49_066060	4741
5811.TGME49_016880	4727
5811.TGME49_032710	4600
5811.TGME49_025080	4499
5811.TGME49_021210	4241
5811.TGME49_113390	4220
5811.TGME49_045460	3928
5811.TGME49_015460	3928
5811.TGME49_050710	3770
5811.TGME49_051680	3742
5811.TGME49_095350	3603
5811.TGME49_005470	3526
5811.TGME49_063700	3516
5811.TGME49_029480	3413
5811.TGME49_066960	3390
5811.TGME49_050770	3319
5811.TGME49_044560	3260
5811.TGME49_118230	3201
5811.TGME49_033480	3102
5811.TGME49_021620	3044
5811.TGME49_007840	3042
5811.TGME49_029250	2992
5811.TGME49_026590	2968
5811.TGME49_032250	2968
5811.TGME49_054440	2863
5811.TGME49_091890	2785
5811.TGME49_062620	2753
5811.TGME49_063040	2697
5811.TGME49_120050	2691
5811.TGME49_105520	2663
5811.TGME49_005700	2633
5811.TGME49_088360	2620
5811.TGME49_014940	2619
5811.TGME49_097060	2600
5811.TGME49_032300	2562
5811.TGME49_090040	2545
5811.TGME49_011030	2526
5811.TGME49_119560	2503
5811.TGME49_048340	2479
5811.TGME49_038250	2457
5811.TGME49_008030	2423
5811.TGME49_066070	2410
5811.TGME49_029670	2393
5811.TGME49_110490	2359
5811.TGME49_016860	2332
5811.TGME49_067400	2324
5811.TGME49_012240	2289
5811.TGME49_031850	2261
5811.TGME49_070240	2218
5811.TGME49_088650	2132
5811.TGME49_121500	2124
5811.TGME49_060260	2086
