#id: 3599693021
#name: P.falciparum - Whole organism (Integrated)
#score: 11.7
#coverage: 95
#description: integrated dataset: weighted average of all P.falciparum WHOLE_ORGANISM: 11.7, Coverage: 95
#organ: WHOLE_ORGANISM
#integrated: true
#weights: 5833-PA_201209:0.6;5833_GPM_201408:0.33;GiRBC_Tao_2014:0.06;Dd2_Tao_2014:0.01;
#publication_year: 2023
#filename: 5833-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
5833.PFB0100c	26493
5833.PFE0065w	18536
5833.PFC0210c	16733
5833.PF11_0061	16552
5833.PF11_0062	11837
5833.PF14_0598	11496
5833.PF10_0084	11391
5833.PF11_0545	9919
5833.PF13_0346	7767
5833.PFF0865w	7410
5833.PF13_0201	7019
5833.PF13_0304	6940
5833.PF13_0305	6940
5833.PF08_0054	6848
5833.PFF0510w	6595
5833.PFF0860c	6525
5833.PF13_0141	6515
5833.PFL1480w	6451
5833.PFC0200w.1	6255
5833.PFI0180w	5843
5833.PFL0210c	5838
5833.PFI0875w	5733
5833.PFL2215w	5711
5833.PFE0165w	5593
5833.MAL8P1.69	5210
5833.PF08_0074	4811
5833.PF14_0368	4729
5833.PFD1110w	4685
5833.PFE0285c	4678
5833.PFC0920w	4593
5833.MAL13P1.130	4485
5833.PF13_0233	4476
5833.PF14_0065	4460
5833.PF08_0096	4377
5833.PF14_0467	4294
5833.PF10_0155	4275
5833.PF14_0074	4194
5833.PFI1105w	4173
5833.MAL8P1.78	4128
5833.PFI0880c	3932
5833.PF14_0390	3913
5833.PF14_0425	3879
5833.PFE0660c	3721
5833.PFD1050w	3714
5833.PF07_0054	3634
5833.PF07_0029	3607
5833.PF11_0325	3592
5833.PF10_0112	3586
5833.PF11_0344	3518
5833.PF13_0272	3501
5833.PFA0200w	3500
5833.MAL13P1.214	3339
5833.PF10_0039	3331
5833.PFE1285w	3214
5833.PFL1070c	3202
5833.PFC0975c	3197
5833.PFD0425w	3147
5833.PF07_0008	3113
5833.MAL8P1.72	3074
5833.PF11_0208	3064
5833.PF10_0063	3050
5833.PF10_0159	3035
5833.PFE0965c	3002
5833.PF14_0655	2899
5833.MAL13P1.237	2885
5833.PFC0535w	2850
5833.PFL1725w	2830
5833.PF11_0183	2748
5833.PF10_0268	2735
5833.PF14_0545	2716
5833.PF08_0073	2674
5833.PFF0895w	2652
5833.PF13_0228	2652
5833.PF10_0121	2626
5833.PF07_0043	2569
5833.PFF1300w	2565
5833.PFL0625c	2486
5833.PFF0435w	2374
5833.PF14_0627	2370
5833.PFE0350c	2343
5833.PF14_0486	2334
5833.PFD1055w	2321
5833.PF08_0008	2307
5833.PF08_0075	2300
5833.PFC0300c	2264
5833.PFL0585w	2236
5833.PFC0400w	2227
5833.PFE1050w	2211
5833.PF11_0312	2194
5833.MAL8P1.17	2182
5833.PF13_0011	2172
5833.PF13_0349	2165
5833.PFL2140c	2164
5833.PF13_0058	2157
5833.PFL0145c	2144
5833.PFI0945w	2119
5833.PF10_0366	2117
5833.PFC1020c	2117
5833.PF11_0098	2104
5833.PFI0955w	2097
5833.PFD0430c	2084
5833.PFL1030w	2080
5833.PFI1455c	2064
5833.MAL13P1.233	2061
5833.PFL2225w	2050
5833.PFF1335c	2000
5833.PFC0290w	1989
5833.PFI0930c	1987
5833.PFE0810c	1982
5833.PFL0370w	1954
5833.PF13_0132	1936
5833.PFL0800c	1935
5833.PF07_0033	1903
5833.PFC0180c	1879
5833.PFI1090w	1869
5833.PF11_0272	1857
