#id: 2317791019
#name: C.elegans - Whole organism (Integrated)
#score: 31.4
#coverage: 64
#description: integrated dataset: weighted average of all C.elegans WHOLE_ORGANISM: 31.4, Coverage: 64
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Caenorhabditis-elegans_PA_2016-6:0.396;6239-PA_201309:0.125;6239_GPM_201408:0.119;PXD145877_Mueller_Nature_2020_Caenorhabditis_elegans:0.079;Spectral_counting_C.elegans_PeptideAtals_Build_Aug_2011:0.072;new_celegans_embryo_peptides.new:0.065;celegans_atalas_build_247.new:0.047;new_celegans_L1_peptides.new:0.035;new_celegans_Dauer_peptides.new:0.027;GPM_2012_09_Caenorhabditis_elegans:0.017;Celegans_Merrihew2008_GenomeRes_peptide:0.017;
#publication_year: 2023
#filename: 6239-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
6239.C26F1.9	8893
6239.ZK1010.1	8805
6239.Y105E8B.1a	6157
6239.R03G5.1a.1	5942
6239.Y37E3.7.2	5699
6239.Y48B6A.2.1	5614
6239.F09F7.2a.1	5380
6239.F31E3.5.1	5263
6239.H28O16.1a	5186
6239.Y62E10A.1	5029
6239.F54H12.6	4901
6239.M03F4.2a	4572
6239.C34E10.6.1	4563
6239.C09H10.2	4473
6239.Y38H6C.1a.1	4429
6239.F53A3.3a.3	4341
6239.D1007.12.2	4226
6239.K02F2.2.2	4129
6239.Y71F9AL.13a.1	4069
6239.Y57G11C.16	4062
6239.Y45F10D.12.3	4059
6239.C37A2.7	3975
6239.F54C9.5	3965
6239.C09D4.5.1	3893
6239.F25H5.4a.1	3853
6239.R09B3.3	3733
6239.ZK652.4.3	3724
6239.T27E9.1a.1	3668
6239.JC8.3a	3595
6239.F25H2.11	3581
6239.C56C10.8.1	3544
6239.R11D1.8.1	3486
6239.F46H5.3a.3	3480
6239.F25H2.10	3429
6239.K04D7.1.3	3428
6239.F26D10.3.1	3380
6239.T08B2.10	3361
6239.F02A9.3.3	3278
6239.C53H9.1	3250
6239.F53G12.10.1	3222
6239.F02A9.2a	3204
6239.T04C12.6.2	3195
6239.T04C12.4.1	3194
6239.F56F3.5	3190
6239.T07A9.11.1	3189
6239.T24B8.1a.1	3160
6239.T24B8.3a.1	3153
6239.Y71A12B.1a	3082
6239.R151.3.2	3076
6239.C04F12.4.2	3073
6239.E04A4.8	3072
6239.F07A5.7a.4	3052
6239.Y105E8A.16.1	3039
6239.C07A12.4a.1	3029
6239.F37C12.11	3014
6239.R13A5.8	2984
6239.T05F1.3.1	2961
6239.T04C12.5.1	2951
6239.T21B10.2c.1	2918
6239.F28C6.7a.3	2893
6239.C27A2.2a	2799
6239.C14B9.7.1	2798
6239.F37C12.4	2790
6239.F25H2.5.1	2773
6239.F11C3.3.1	2759
6239.K02B2.5	2759
6239.B0393.1.1	2745
6239.ZC434.2	2741
6239.F09E5.15b	2738
6239.Y41D4B.5	2738
6239.D1007.6.2	2700
6239.T01C3.6.1	2696
6239.Y22D7AL.5a.2	2693
6239.F42C5.8	2691
6239.F43D9.4	2666
6239.F13B10.2a.1	2650
6239.Y43B11AR.4	2607
6239.Y48G8AL.8a	2597
6239.F52B5.6.4	2596
6239.F36A2.6.1	2561
6239.Y24D9A.4a	2555
6239.C23G10.3.1	2524
6239.Y75B12B.2.1	2524
6239.C06B8.8.6	2510
6239.Y65B4BR.5b	2497
6239.C32E8.2a	2469
6239.F40F8.10	2416
6239.K10B3.7.1	2411
6239.C49H3.11.1	2408
6239.K07H8.6c	2402
6239.C47E8.5.2	2400
6239.C16A3.9	2377
6239.ZK829.4.1	2355
6239.M01F1.2.1	2354
6239.F28D1.7.1	2354
6239.B0250.1	2343
6239.F01F1.12a.1	2342
6239.Y38A10A.5.1	2337
6239.C06A8.3	2270
6239.F37C12.9.1	2263
6239.C36E6.5	2248
6239.F52D10.3a.1	2243
6239.R05G6.7	2234
6239.B0041.4	2226
6239.F10E7.7.2	2166
6239.M117.2a.2	2161
6239.Y48B6A.14	2144
6239.Y37E3.8a	2126
6239.F46E10.10a	2123
6239.C42D8.2a	2102
6239.Y106G6H.3a	2102
6239.T05H4.12.2	2089
6239.C42C1.14.2	2077
6239.Y49A3A.2.3	2063
6239.F20H11.3	2048
6239.B0336.10.3	2025
6239.K10B3.8.1	2009
6239.F10B5.1.2	1981
6239.F40F11.1.2	1980
6239.R11A5.4a.1	1898
6239.R06C1.4	1882
6239.F56D12.5a.1	1880
6239.K11H12.2	1871
6239.Y40B10A.1a	1840
6239.F54E7.2.3	1832
6239.F17C11.9a	1809
6239.Y22D7AL.10.1	1761
6239.W01D2.1.1	1756
6239.C44E4.6.1	1743
6239.T25C8.2.1	1727
6239.K12G11.3	1726
6239.F28H1.2	1704
6239.ZK131.8	1696
6239.T05E11.1	1659
6239.C36E6.3	1658
6239.F20B6.2	1647
6239.T05G5.10a	1625
6239.C36E8.5.1	1618
6239.W02D3.5	1613
6239.C17H12.14	1608
6239.W09H1.6b	1580
6239.B0513.3a	1573
6239.D2096.8	1567
6239.F54H12.1a	1542
6239.C06H2.1	1539
6239.F27C1.7b	1535
6239.C15H9.6.1	1498
6239.T20G5.2	1481
6239.F58F12.1	1480
6239.ZK721.2	1466
6239.T21H3.3	1457
6239.T05D4.1.1	1450
6239.F13D12.4a.3	1449
6239.Y39B6A.20.1	1415
6239.F54C9.1.1	1413
6239.Y73B6BL.6b.1	1410
6239.H06O01.1.1	1407
6239.F54C1.7.1	1382
6239.F55D10.2	1382
6239.E04A4.7.1	1372
6239.F46F11.5	1361
6239.C44B7.10.1	1352
6239.W05B10.1	1344
6239.T22E5.5.1	1344
6239.F31C3.1	1340
6239.F39B2.6.2	1320
6239.ZK131.9	1320
6239.Y75B12B.5	1311
6239.F56E10.4.1	1306
6239.M28.5.2	1300
6239.ZK970.4.2	1300
6239.F01G10.1.2	1298
6239.W08E12.7.1	1293
6239.B0546.1.2	1290
6239.F10C1.2b	1274
6239.K01G5.7.1	1266
6239.R08C7.3.2	1256
6239.C37H5.8	1255
6239.C38C3.5b.2	1237
6239.F07D10.1	1214
6239.F53A9.10a	1195
6239.T05G5.6.1	1188
6239.W05G11.6a.1	1184
6239.M163.3	1180
6239.C52E4.3.1	1179
6239.T25F10.6a.2	1177
6239.F45E1.6	1173
