#id: 4137986993
#name: H.salinarum(NRC-1) - Whole organism (Integrated)
#score: 13.5
#coverage: 85
#description: integrated dataset: weighted average of all H.salinarum(NRC-1) WHOLE_ORGANISM: 13.5, Coverage: 85
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Halobacterium_PA_2014-11:0.397;HalobacteriumBuild_Mar2008.peptides.new:0.238;64091-PA_201308:0.191;64091_GPM_201408:0.174;
#publication_year: 2023
#filename: 64091-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
64091.VNG_2679G	30066
64091.VNG_2143G	29272
64091.VNG_2273H	13223
64091.VNG_2243G	12892
64091.VNG_2649G	10760
64091.VNG_1714G	9561
64091.VNG_2226G	9333
64091.VNG_1190G	7980
64091.VNG_2443G	7931
64091.VNG_2096G	6960
64091.VNG_2604G	6172
64091.VNG_1157G	5776
64091.VNG_2658G	5545
64091.VNG_2574G	5511
64091.VNG_1701G	5320
64091.VNG_2349G	5194
64091.VNG_2657G	5108
64091.VNG_1137G	4981
64091.VNG_2293G	4975
64091.VNG_1134G	4944
64091.VNG_0315G	4882
64091.VNG_0787G	4779
64091.VNG_1692G	4590
64091.VNG_1289H	4570
64091.VNG_1690G	4542
64091.VNG_1716G	4533
64091.VNG_2467G	4528
64091.VNG_1524C	4500
64091.VNG_1133G	4491
64091.VNG_1433G	4181
64091.VNG_1103G	4168
64091.VNG_1689G	4157
64091.VNG_1711G	4067
64091.VNG_1088C	4053
64091.VNG_0259G	4023
64091.VNG_0771G	4000
64091.VNG_2654G	3884
64091.VNG_1702G	3827
64091.VNG_1713G	3792
64091.VNG_0234C	3778
64091.VNG_1139G	3777
64091.VNG_1128G	3690
64091.VNG_2010G	3686
64091.VNG_0394C	3632
64091.VNG_2367G	3610
64091.VNG_1668G	3574
64091.VNG_0491G	3545
64091.VNG_0790G	3499
64091.VNG_1709G	3499
64091.VNG_2469G	3469
64091.VNG_1663C	3461
64091.VNG_1707G	3353
64091.VNG_1138G	3305
64091.VNG_2048G	3294
64091.VNG_2086G	3284
64091.VNG_1873G	3277
64091.VNG_1550G	3251
64091.VNG_1697G	3249
64091.VNG_1700G	3236
64091.VNG_1038C	3224
64091.VNG_2122G	3175
64091.VNG_1715G	3149
64091.VNG_0177G	3134
64091.VNG_1414G	3121
64091.VNG_1562H	3106
64091.VNG_1170G	3100
64091.VNG_1104G	3058
64091.VNG_0550G	3057
64091.VNG_0166G	3035
64091.VNG_1105G	3031
64091.VNG_0207H	3023
64091.VNG_0161G	3008
64091.VNG_1706G	2985
64091.VNG_1695G	2902
64091.VNG_2514G	2829
64091.VNG_2513G	2822
64091.VNG_1705G	2800
64091.VNG_1718G	2798
64091.VNG_2616G	2797
64091.VNG_0540G	2777
64091.VNG_2218G	2766
64091.VNG_1793C	2704
64091.VNG_1691G	2690
64091.VNG_1693G	2661
64091.VNG_1132G	2659
64091.VNG_1294G	2656
64091.VNG_0620G	2654
64091.VNG_0683C	2653
64091.VNG_1542G	2648
64091.VNG_0524G	2644
64091.VNG_2393G	2626
64091.VNG_1125G	2605
64091.VNG_1143G	2549
64091.VNG_1698G	2503
64091.VNG_2527G	2486
64091.VNG_0099G	2479
64091.VNG_0801C	2411
64091.VNG_0924G	2402
64091.VNG_1898C	2400
64091.VNG_2643H	2388
64091.VNG_2224G	2364
64091.VNG_1557G	2337
64091.VNG_1912G	2323
64091.VNG_0891G	2299
64091.VNG_1914G	2281
64091.VNG_2001G	2279
64091.VNG_2093G	2263
64091.VNG_2151G	2234
64091.VNG_2138G	2230
64091.VNG_1703G	2226
64091.VNG_2465C	2202
64091.VNG_2600G	2201
64091.VNG_1149C	2182
64091.VNG_2139G	2181
64091.VNG_1768G	2168
64091.VNG_2142G	2163
64091.VNG_1464G	2146
64091.VNG_0903C	2145
64091.VNG_0551G	2130
64091.VNG_2047G	2127
64091.VNG_1160G	2113
64091.VNG_1158G	2100
64091.VNG_0679G	2096
64091.VNG_2648G	2080
64091.VNG_2251G	2069
64091.VNG_1008G	2044
64091.VNG_0890G	2027
64091.VNG_2486G	2023
64091.VNG_0459G	2012
64091.VNG_1553G	1995
64091.VNG_2219G	1989
64091.VNG_1356G	1954
64091.VNG_0321G	1943
64091.VNG_2584C	1939
64091.VNG_1108G	1937
64091.VNG_2473G	1933
64091.VNG_0095G	1931
64091.VNG_0457G	1929
64091.VNG_0617H	1905
64091.VNG_2099C	1886
64091.VNG_1412H	1883
64091.VNG_2021C	1841
64091.VNG_1555G	1840
64091.VNG_0527C	1839
64091.VNG_1541G	1839
64091.VNG_0628G	1820
64091.VNG_2256G	1801
64091.VNG_0606G	1759
64091.VNG_1089G	1754
64091.VNG_0880G	1728
64091.VNG_2372G	1690
64091.VNG_0467G	1673
64091.VNG_2499G	1669
64091.VNG_1001G	1658
64091.VNG_1482G	1652
64091.VNG_1933G	1647
64091.VNG_1922G	1644
64091.VNG_1850G	1615
64091.VNG_0494G	1601
64091.VNG_0249G	1598
64091.VNG_1667G	1554
64091.VNG_0536G	1551
64091.VNG_1085H	1546
64091.VNG_0597H	1546
64091.VNG_0782H	1540
64091.VNG_1554G	1527
64091.VNG_0461G	1494
64091.VNG_1934H	1493
64091.VNG_0237H	1488
64091.VNG_0960G	1483
64091.VNG_0330G	1482
64091.VNG_0961G	1480
64091.VNG_1168C	1473
64091.VNG_2220G	1469
64091.VNG_1724G	1466
64091.VNG_0795G	1447
64091.VNG_1159G	1442
64091.VNG_0424C	1437
64091.VNG_2102G	1434
64091.VNG_1496G	1420
64091.VNG_2008H	1409
64091.VNG_1511C	1409
64091.VNG_1638H	1400
64091.VNG_1624G	1394
64091.VNG_0681G	1394
64091.VNG_2146H	1388
64091.VNG_2150G	1384
64091.VNG_0239C	1372
64091.VNG_1944C	1357
64091.VNG_1332G	1344
64091.VNG_1306G	1332
64091.VNG_0254G	1319
64091.VNG_2546G	1314
64091.VNG_2217G	1309
64091.VNG_0849C	1306
64091.VNG_0601H	1305
64091.VNG_1494G	1302
64091.VNG_2644C	1299
64091.VNG_2351C	1294
64091.VNG_1804G	1286
64091.VNG_1924G	1284
64091.VNG_2449G	1283
64091.VNG_0557H	1283
64091.VNG_0153C	1281
64091.VNG_0585H	1279
64091.VNG_2668G	1270
64091.VNG_0258H	1264
64091.VNG_2665G	1256
64091.VNG_2366C	1255
64091.VNG_1048G	1250
64091.VNG_1220H	1249
64091.VNG_1009G	1249
64091.VNG_0525C	1245
64091.VNG_2549C	1237
64091.VNG_1169C	1236
64091.VNG_1313G	1231
64091.VNG_2662G	1207
64091.VNG_1644G	1190
64091.VNG_0637G	1186
64091.VNG_0962G	1181
64091.VNG_2664G	1179
64091.VNG_0779C	1176
64091.VNG_0941C	1147
64091.VNG_1567G	1146
64091.VNG_0715G	1138
64091.VNG_0546C	1134
64091.VNG_1551G	1133
64091.VNG_2115H	1119
64091.VNG_0474G	1117
64091.VNG_0473G	1115
64091.VNG_1262G	1113
64091.VNG_1204G	1112
64091.VNG_1472G	1105
64091.VNG_1538H	1099
64091.VNG_0678G	1091
64091.VNG_2094G	1085
64091.VNG_0629G	1079
64091.VNG_0586C	1079
64091.VNG_1829G	1075
64091.VNG_2432C	1072
64091.VNG_1802H	1068
64091.VNG_1658C	1063
64091.VNG_0096C	1057
64091.VNG_2437G	1056
64091.VNG_1339C	1043
64091.VNG_1142G	1037
64091.VNG_1173G	1033
64091.VNG_2666G	1029
64091.VNG_1114G	1023
64091.VNG_1233G	1021
64091.VNG_0879C	1016
64091.VNG_0209H	1015
64091.VNG_1250H	1011
64091.VNG_1925H	1008
64091.VNG_1566G	1004
64091.VNG_1926G	1002
64091.VNG_2056G	1001
64091.VNG_1568G	993
64091.VNG_0510G	982
64091.VNG_2606G	981
64091.VNG_1140G	980
64091.VNG_1308G	973
64091.VNG_0734G	973
64091.VNG_1172G	972
64091.VNG_0309C	971
64091.VNG_1866G	971
64091.VNG_0998G	967
64091.VNG_1532G	965
64091.VNG_0815G	964
64091.VNG_0308G	961
64091.VNG_0982C	957
64091.VNG_1027G	953
64091.VNG_2305C	947
64091.VNG_2620G	922
64091.VNG_1093C	916
64091.VNG_2555C	910
64091.VNG_0584H	904
64091.VNG_1611C	903
64091.VNG_2617G	902
64091.VNG_0732G	900
64091.VNG_0448G	900
64091.VNG_1408G	898
64091.VNG_2144G	892
64091.VNG_0310C	891
64091.VNG_2005G	889
64091.VNG_2400H	888
64091.VNG_1498G	881
64091.VNG_1325C	879
64091.VNG_0976G	876
64091.VNG_1989H	875
64091.VNG_2508C	874
64091.VNG_1999H	872
64091.VNG_2120G	868
64091.VNG_1814G	861
64091.VNG_0743H	855
64091.VNG_2232G	854
64091.VNG_2100G	850
64091.VNG_1136G	845
64091.VNG_0995H	842
64091.VNG_2053G	840
64091.VNG_0559G	839
64091.VNG_2639G	836
64091.VNG_0940G	829
64091.VNG_2607C	829
64091.VNG_2259C	828
64091.VNG_1835G	820
64091.VNG_0997G	817
64091.VNG_2321G	813
64091.VNG_1257H	808
64091.VNG_1830G	806
64091.VNG_1822G	804
64091.VNG_2424G	802
64091.VNG_0104G	800
64091.VNG_1276C	800
64091.VNG_0414G	800
64091.VNG_0326G	789
64091.VNG_1314H	787
64091.VNG_2343G	786
64091.VNG_0676C	786
64091.VNG_1756G	777
64091.VNG_0303G	771
64091.VNG_1818G	771
64091.VNG_0283C	770
64091.VNG_1187G	767
64091.VNG_1752C	766
64091.VNG_0640G	765
64091.VNG_1478G	764
64091.VNG_2326G	764
64091.VNG_2000G	758
64091.VNG_0702H	756
64091.VNG_2076G	749
64091.VNG_1302H	747
64091.VNG_2562H	747
64091.VNG_1435G	745
64091.VNG_2072G	744
64091.VNG_2283G	739
64091.VNG_2023G	739
