#id: 863020563
#name: Lniger - Whole organism (Integrated)
#score: 7.8
#coverage: 7
#description: integrated dataset: weighted average of all Lniger WHOLE_ORGANISM: 7.8, Coverage: 7
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD006779_Quque_J_Insect_Physiol_2019_L_niger_foraging_worker:0.521;PXD006779_Quque_J_Insect_Physiol_2019_L_niger_queen:0.312;PXD006779_Quque_J_Insect_Physiol_2019_L_niger_nest_worker:0.167;
#publication_year: 2023
#filename: 67767-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
67767.A0A0J7KGH2	85647
67767.A0A0J7KVJ8	44359
67767.A0A0J7KS28	36418
67767.A0A0J7K8V0	29905
67767.A0A0J7KHS7	28565
67767.A0A0J7KXJ4	21964
67767.A0A0J7L5X7	18931
67767.A0A0J7KZV4	15744
67767.A0A0J7K9T4	15683
67767.A0A0J7N062	15400
67767.A0A0J7KRQ1	15355
67767.A0A0J7KJC4	15221
67767.A0A0J7L1I1	13576
67767.A0A0J7NU10	13276
67767.A0A0J7L8Z8	12511
67767.A0A0J7KKI1	12342
67767.A0A0J7KGN2	12176
67767.A0A0J7L6B8	12141
67767.A0A0J7L648	11818
67767.A0A0J7NRU0	11637
67767.A0A0J7KXB1	11607
67767.A0A0J7KZU0	11164
67767.A0A0J7NN60	11137
67767.A0A0J7KTG0	9760
67767.A0A0J7KYH5	9714
67767.A0A0J7NQC1	9664
67767.A0A0J7L8Y9	9038
67767.A0A0J7NZ32	8392
67767.A0A0J7LAM2	8210
67767.A0A0J7P334	7846
67767.A0A0J7NNS3	7145
67767.A0A0J7KHF9	7103
67767.A0A0J7NRU4	6760
67767.A0A0J7L2L8	6637
67767.A0A0J7NLK9	6186
67767.A0A0J7NXT7	5992
67767.A0A0J7KN36	5955
67767.A0A0J7KF28	5808
67767.A0A0J7L7N3	5764
67767.A0A0J7KZF0	5464
67767.A0A0J7LBG8	5275
67767.A0A0J7P1G1	5251
67767.A0A0J7NNY7	5077
67767.A0A0J7KM87	4759
67767.A0A0J7L4R6	4528
67767.A0A0J7KLG9	4171
67767.A0A0J7KAA0	4123
67767.A0A0J7L314	4028
67767.A0A0J7KIU6	3918
67767.A0A0J7L274	3446
67767.A0A0J7KZB0	3264
67767.A0A0J7KJQ7	3232
67767.A0A0J7NMP8	3229
67767.A0A0J7K959	3074
67767.A0A0J7NEG4	2889
67767.A0A0J7KIR4	2882
67767.A0A0J7KBI7	2821
67767.A0A0J7L2L4	2820
67767.A0A0J7KYV9	2813
67767.A0A0J7NMT2	2624
67767.A0A0J7L788	2538
67767.A0A0J7L686	2459
67767.A0A0J7NIM9	2413
67767.A0A0J7KVD0	2411
67767.A0A0J7KRD9	2381
67767.A0A0J7L1N3	2372
67767.A0A0J7NNT5	2364
67767.A0A0J7L4I7	2353
67767.A0A0J7NA12	2328
67767.A0A0J7P0T6	2322
67767.A0A0J7L0T2	2295
67767.A0A0J7L622	2285
67767.A0A0J7L6T4	2201
67767.A0A0J7NF99	2155
67767.A0A0J7KXM1	2101
67767.A0A0J7L696	2097
67767.A0A0J7KCL5	2090
67767.A0A0J7L180	2080
