#id: 1112343125
#name: D.melanogaster - Whole organism (Integrated)
#score: 29.9
#coverage: 95
#description: integrated dataset: weighted average of all D.melanogaster WHOLE_ORGANISM: 29.9, Coverage: 95
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD145877_Mueller_Nature_2020_Drosophila_melanogaster:0.186;Drosophila_melanogaster_SC_biomart_31126_O_BTO0001489wholebody_119reps:0.168;7227_GPM_201408:0.159;fruitFly1_normalEmbryo_PRIDE:0.128;drosophila_peptideatlas_June_2010.new:0.111;Drosophila_2011-09_Ens62:0.107;7227-PA_201208:0.09;drosophila.peptides_Brunner_2007:0.026;drosophila_peptideatlas_July_2009.new:0.015;fruitFly2_earlyEmbryoCell_PRIDE:0.01;
#publication_year: 2023
#filename: 7227-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
7227.FBpp0070766	13274
7227.FBpp0305828	6913
7227.FBpp0088688	6351
7227.FBpp0304260	6164
7227.FBpp0302781	6028
7227.FBpp0082516	5239
7227.FBpp0072687	5154
7227.FBpp0080452	4949
7227.FBpp0073922	4934
7227.FBpp0071794	4887
7227.FBpp0073280	4868
7227.FBpp0078131	4821
7227.FBpp0305117	4787
7227.FBpp0293502	4748
7227.FBpp0071354	4710
7227.FBpp0079716	4671
7227.FBpp0077159	4484
7227.FBpp0085721	4396
7227.FBpp0100124	4248
7227.FBpp0076270	4237
7227.FBpp0089424	4219
7227.FBpp0079772	4159
7227.FBpp0077572	4126
7227.FBpp0073652	3788
7227.FBpp0085585	3680
7227.FBpp0087977	3676
7227.FBpp0080102	3639
7227.FBpp0071359	3607
7227.FBpp0085365	3527
7227.FBpp0100048	3300
7227.FBpp0070150	3260
7227.FBpp0082987	3249
7227.FBpp0079865	3227
7227.FBpp0087500	3210
7227.FBpp0300615	3198
7227.FBpp0073594	3179
7227.FBpp0086895	3156
7227.FBpp0076359	3043
7227.FBpp0112436	3035
7227.FBpp0306039	2977
7227.FBpp0079606	2902
7227.FBpp0074017	2885
7227.FBpp0082535	2782
7227.FBpp0084565	2761
7227.FBpp0079484	2720
7227.FBpp0086269	2703
7227.FBpp0071448	2685
7227.FBpp0083802	2648
7227.FBpp0082253	2637
7227.FBpp0086701	2581
7227.FBpp0305095	2555
7227.FBpp0073445	2543
7227.FBpp0079168	2541
7227.FBpp0081062	2519
7227.FBpp0071808	2513
7227.FBpp0099688	2504
7227.FBpp0079406	2501
7227.FBpp0304265	2434
7227.FBpp0082597	2429
7227.FBpp0082985	2424
7227.FBpp0073290	2422
7227.FBpp0087115	2421
7227.FBpp0073682	2409
7227.FBpp0084617	2408
7227.FBpp0300338	2339
7227.FBpp0099728	2320
7227.FBpp0305431	2311
7227.FBpp0088502	2296
7227.FBpp0288711	2284
7227.FBpp0076207	2275
7227.FBpp0081820	2250
7227.FBpp0088904	2244
7227.FBpp0304478	2231
7227.FBpp0289654	2196
7227.FBpp0074086	2183
7227.FBpp0305911	2170
7227.FBpp0075069	2140
7227.FBpp0085223	2119
7227.FBpp0070871	2110
7227.FBpp0305272	2109
7227.FBpp0305182	2107
7227.FBpp0304479	2096
7227.FBpp0079328	2076
7227.FBpp0072125	2044
7227.FBpp0099686	2019
7227.FBpp0079123	2015
7227.FBpp0071846	1991
7227.FBpp0075618	1969
7227.FBpp0071518	1961
7227.FBpp0081845	1955
7227.FBpp0072097	1953
7227.FBpp0087164	1923
7227.FBpp0075575	1921
7227.FBpp0297923	1912
7227.FBpp0072312	1912
7227.FBpp0070279	1910
7227.FBpp0076602	1900
7227.FBpp0303728	1860
7227.FBpp0305731	1810
7227.FBpp0075401	1810
7227.FBpp0088441	1808
7227.FBpp0077309	1806
7227.FBpp0072957	1787
7227.FBpp0074500	1763
7227.FBpp0085703	1756
7227.FBpp0089196	1754
7227.FBpp0081822	1754
7227.FBpp0081153	1738
7227.FBpp0082522	1720
7227.FBpp0071903	1692
7227.FBpp0077142	1677
7227.FBpp0076729	1660
7227.FBpp0075764	1659
7227.FBpp0073126	1650
7227.FBpp0071766	1628
7227.FBpp0083611	1608
7227.FBpp0075128	1606
7227.FBpp0304879	1604
7227.FBpp0303780	1599
7227.FBpp0085193	1597
7227.FBpp0078918	1593
7227.FBpp0080707	1587
7227.FBpp0072083	1581
7227.FBpp0306232	1579
