#id: 327220257
#name: A.mellifera - Whole organism (Integrated)
#score: 17.6
#coverage: 23
#description: integrated dataset: weighted average of all A.mellifera WHOLE_ORGANISM: 17.6, Coverage: 23
#organ: WHOLE_ORGANISM
#integrated: true
#weights: 7460-PA_201309:0.5;honeybee_atlas_build_282_new:0.5;
#publication_year: 2023
#filename: 7460-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
7460.GB44996-PA	37757
7460.GB51697-PA	23022
7460.GB48823-PA	13824
7460.GB55205-PA	11753
7460.GB41708-PA	10828
7460.GB45796-PA	10812
7460.GB55204-PA	10678
7460.GB53748-PA	10014
7460.GB40232-PA	9971
7460.GB51696-PA	9635
7460.GB46223-PA	9555
7460.GB54343-PA	9415
7460.GB54372-PA	9230
7460.GB54753-PA	9163
7460.GB52736-PA	9003
7460.GB54446-PA	8981
7460.GB55211-PA	8434
7460.GB50970-PA	8397
7460.GB55212-PA	8067
7460.GB48904-PA	7914
7460.GB42526-PA	7891
7460.GB48833-PA	7341
7460.GB40713-PA	7312
7460.GB54419-PA	7219
7460.GB49756-PA	6885
7460.GB50902-PA	6835
7460.GB55452-PA	6774
7460.GB41028-PA	6582
7460.GB51698-PA	6132
7460.GB40735-PA	5949
7460.GB50236-PA	5760
7460.GB55139-PA	5500
7460.GB47880-PA	5343
7460.GB43825-PA	5298
7460.GB40866-PA	5004
7460.GB55368-PA	4772
7460.GB49757-PA	4642
7460.GB53550-PA	4510
7460.GB53549-PA	4466
7460.GB41358-PA	4441
7460.GB51283-PA	4406
7460.GB45797-PA	4400
7460.GB49117-PA	4357
7460.GB47617-PA	4302
7460.GB44133-PA	4248
7460.GB55451-PA	4237
7460.GB49999-PA	4104
7460.GB50917-PA	4094
7460.GB54507-PA	4091
7460.GB41818-PA	4077
7460.GB50356-PA	3986
7460.GB42809-PA	3951
7460.GB55232-PA	3862
7460.GB48784-PA	3811
7460.GB42053-PA	3590
7460.GB49313-PA	3536
7460.GB48905-PA	3501
7460.GB41633-PA	3425
7460.GB54369-PA	3398
7460.GB40431-PA	3230
7460.GB43930-PA	3218
7460.GB50226-PA	3191
7460.GB50942-PA	3125
7460.GB44311-PA	3069
7460.GB40460-PA	3003
7460.GB41413-PA	2989
7460.GB40299-PA	2981
7460.GB47336-PA	2967
7460.GB42608-PA	2960
7460.GB53114-PA	2947
7460.GB52324-PA	2936
7460.GB44039-PA	2927
7460.GB40770-PA	2925
7460.GB40389-PA	2889
7460.GB54370-PA	2887
7460.GB50598-PA	2878
7460.GB48862-PA	2848
7460.GB40976-PA	2824
7460.GB51086-PA	2803
7460.GB42422-PA	2784
7460.GB40673-PA	2774
7460.GB47462-PA	2742
7460.GB51683-PA	2737
7460.GB43029-PA	2704
7460.GB41310-PA	2609
7460.GB54554-PA	2550
7460.GB50662-PA	2541
7460.GB53119-PA	2532
7460.GB40461-PA	2527
7460.GB40302-PA	2469
7460.GB52073-PA	2467
7460.GB41383-PA	2464
7460.GB53887-PA	2458
7460.GB41306-PA	2434
7460.GB41308-PA	2434
7460.GB55537-PA	2428
7460.GB45258-PA	2409
7460.GB49320-PA	2409
7460.GB42297-PA	2382
7460.GB46565-PA	2368
7460.GB49240-PA	2311
7460.GB46297-PA	2299
7460.GB50265-PA	2266
7460.GB49606-PA	2261
7460.GB55213-PA	2261
7460.GB47396-PA	2242
7460.GB43618-PA	2240
7460.GB48980-PA	2208
7460.GB44693-PA	2192
7460.GB46039-PA	2191
7460.GB40769-PA	2190
7460.GB52107-PA	2189
7460.GB43161-PA	2180
7460.GB52829-PA	2174
7460.GB46222-PA	2165
7460.GB49497-PA	2141
7460.GB53333-PA	2119
7460.GB44074-PA	2107
7460.GB46214-PA	2046
7460.GB46230-PA	2036
7460.GB42560-PA	1997
7460.GB50761-PA	1982
7460.GB50609-PA	1971
7460.GB40157-PA	1961
7460.GB50595-PA	1929
7460.GB44134-PA	1910
7460.GB48574-PA	1894
7460.GB49410-PA	1890
7460.GB54817-PA	1886
7460.GB42146-PA	1876
7460.GB48505-PA	1872
7460.GB43248-PA	1816
7460.GB40457-PA	1815
7460.GB47478-PA	1793
7460.GB52919-PA	1792
7460.GB51419-PA	1768
7460.GB40576-PA	1682
7460.GB41867-PA	1682
7460.GB55496-PA	1664
7460.GB40718-PA	1653
7460.GB46094-PA	1643
7460.GB55643-PA	1643
7460.GB54339-PA	1625
7460.GB42985-PA	1610
7460.GB49993-PA	1604
7460.GB45286-PA	1578
7460.GB41965-PA	1542
7460.GB40887-PA	1523
7460.GB43688-PA	1513
7460.GB49347-PA	1475
7460.GB41311-PA	1471
7460.GB45099-PA	1471
7460.GB48634-PA	1466
7460.GB52028-PA	1454
7460.GB47610-PA	1449
7460.GB50663-PA	1442
7460.GB46713-PA	1421
7460.GB43670-PA	1406
7460.GB41707-PA	1401
7460.GB49544-PA	1394
7460.GB54549-PA	1391
7460.GB53044-PA	1382
7460.GB42434-PA	1376
7460.GB47990-PA	1366
7460.GB49628-PA	1342
7460.GB46652-PA	1331
7460.GB46272-PA	1315
7460.GB49306-PA	1307
7460.GB54601-PA	1297
7460.GB47553-PA	1295
7460.GB41338-PA	1295
7460.GB49031-PA	1287
7460.GB53194-PA	1286
7460.GB55209-PA	1284
7460.GB40137-PA	1284
7460.GB51335-PA	1260
7460.GB40136-PA	1241
7460.GB53755-PA	1235
7460.GB48527-PA	1208
7460.GB50272-PA	1208
7460.GB50477-PA	1206
7460.GB53000-PA	1204
7460.GB50596-PA	1198
7460.GB42054-PA	1190
7460.GB44056-PA	1187
7460.GB51042-PA	1182
7460.GB54676-PA	1173
7460.GB50274-PA	1172
7460.GB54693-PA	1162
7460.GB41443-PA	1148
7460.GB48841-PA	1141
7460.GB45569-PA	1139
7460.GB54211-PA	1137
7460.GB40779-PA	1136
7460.GB40031-PA	1127
7460.GB42556-PA	1114
7460.GB50123-PA	1113
7460.GB51436-PA	1105
7460.GB49448-PA	1101
7460.GB53369-PA	1098
7460.GB45720-PA	1097
7460.GB55434-PA	1094
7460.GB51071-PA	1075
7460.GB46120-PA	1075
7460.GB47268-PA	1074
7460.GB48244-PA	1073
7460.GB42385-PA	1067
7460.GB41427-PA	1057
7460.GB41301-PA	1048
7460.GB44749-PA	1032
7460.GB47500-PA	1026
7460.GB52074-PA	1014
7460.GB42679-PA	992
7460.GB52468-PA	989
7460.GB49377-PA	988
7460.GB42834-PA	981
7460.GB40783-PA	977
7460.GB55581-PA	976
7460.GB48111-PA	970
7460.GB55325-PA	970
7460.GB55318-PA	969
7460.GB52999-PA	968
7460.GB43690-PA	961
7460.GB43823-PA	961
7460.GB45688-PA	952
7460.GB54433-PA	951
7460.GB55639-PA	951
7460.GB42019-PA	950
7460.GB45087-PA	946
7460.GB50158-PA	939
7460.GB54814-PA	937
7460.GB46225-PA	937
7460.GB44112-PA	936
7460.GB40882-PA	936
7460.GB43708-PA	926
7460.GB44104-PA	924
7460.GB55443-PA	924
7460.GB42929-PA	911
7460.GB45495-PA	905
7460.GB50218-PA	903
7460.GB43999-PA	898
7460.GB41442-PA	892
7460.GB51214-PA	891
7460.GB47506-PA	891
7460.GB49260-PA	890
7460.GB52728-PA	888
7460.GB55208-PA	877
7460.GB48497-PA	877
7460.GB41777-PA	871
7460.GB41776-PA	866
7460.GB46312-PA	857
7460.GB45947-PA	856
7460.GB47299-PA	850
7460.GB44398-PA	847
7460.GB40653-PA	845
7460.GB43731-PA	843
7460.GB55901-PA	842
7460.GB48079-PA	837
7460.GB42829-PA	835
7460.GB44339-PA	829
7460.GB44765-PA	829
7460.GB47408-PA	829
7460.GB47505-PA	829
7460.GB55440-PA	826
7460.GB54687-PA	825
7460.GB51206-PA	822
7460.GB55328-PA	818
7460.GB51710-PA	792
7460.GB50730-PA	789
7460.GB41388-PA	787
7460.GB42141-PA	784
7460.GB48228-PA	783
7460.GB43482-PA	782
7460.GB50513-PA	778
7460.GB46587-PA	772
7460.GB44576-PA	772
