#id: 2146369212
#name: D.rerio - Whole organism (Integrated)
#score: 31.8
#coverage: 57
#description: integrated dataset: weighted average of all D.rerio WHOLE_ORGANISM: 31.8, Coverage: 57
#organ: WHOLE_ORGANISM
#integrated: true
#weights: 7955-PA_201403:0.489;7955_GPM_201408:0.245;ZF_GrossBody_Kelkar_2014_SEQUEST:0.16;zf_velos_Kelkar_2014_SEQUEST:0.069;GPM_2012_09_Danio_rerio:0.037;
#publication_year: 2023
#filename: 7955-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
7955.ENSDARP00000101082	10853
7955.ENSDARP00000100779	7006
7955.ENSDARP00000063799	6805
7955.ENSDARP00000050237	6624
7955.ENSDARP00000092488	6587
7955.ENSDARP00000109518	6587
7955.ENSDARP00000006339	6572
7955.ENSDARP00000101541	6045
7955.ENSDARP00000105443	5655
7955.ENSDARP00000072687	4763
7955.ENSDARP00000037871	4723
7955.ENSDARP00000055135	4390
7955.ENSDARP00000059365	4350
7955.ENSDARP00000061164	4305
7955.ENSDARP00000122263	4213
7955.ENSDARP00000054986	4199
7955.ENSDARP00000115012	4137
7955.ENSDARP00000088354	4135
7955.ENSDARP00000069948	3920
7955.ENSDARP00000113988	3885
7955.ENSDARP00000100195	3775
7955.ENSDARP00000112199	3752
7955.ENSDARP00000060744	3595
7955.ENSDARP00000072678	3326
7955.ENSDARP00000060309	3255
7955.ENSDARP00000096504	3226
7955.ENSDARP00000027947	3158
7955.ENSDARP00000084277	3153
7955.ENSDARP00000101193	3153
7955.ENSDARP00000112824	3153
7955.ENSDARP00000113307	3153
7955.ENSDARP00000127943	3153
7955.ENSDARP00000128757	3153
7955.ENSDARP00000129330	3153
7955.ENSDARP00000058628	3137
7955.ENSDARP00000067896	3070
7955.ENSDARP00000093781	3070
7955.ENSDARP00000093790	3070
7955.ENSDARP00000099321	3070
7955.ENSDARP00000105220	3070
7955.ENSDARP00000107737	3070
7955.ENSDARP00000111851	3070
7955.ENSDARP00000126796	3070
7955.ENSDARP00000062369	3068
7955.ENSDARP00000100434	3068
7955.ENSDARP00000051361	2911
7955.ENSDARP00000052760	2883
7955.ENSDARP00000052837	2845
7955.ENSDARP00000075110	2827
7955.ENSDARP00000128775	2787
7955.ENSDARP00000063661	2746
7955.ENSDARP00000032453	2733
7955.ENSDARP00000096674	2703
7955.ENSDARP00000047268	2655
7955.ENSDARP00000089753	2655
7955.ENSDARP00000117879	2655
7955.ENSDARP00000120344	2655
7955.ENSDARP00000077832	2614
7955.ENSDARP00000082327	2614
7955.ENSDARP00000101311	2614
7955.ENSDARP00000101467	2614
7955.ENSDARP00000101862	2614
7955.ENSDARP00000104379	2614
7955.ENSDARP00000105059	2614
7955.ENSDARP00000105168	2614
7955.ENSDARP00000106245	2614
7955.ENSDARP00000106443	2614
7955.ENSDARP00000106496	2614
7955.ENSDARP00000106634	2614
7955.ENSDARP00000107028	2614
7955.ENSDARP00000107148	2614
7955.ENSDARP00000107547	2614
7955.ENSDARP00000107585	2614
7955.ENSDARP00000107946	2614
7955.ENSDARP00000107998	2614
7955.ENSDARP00000109044	2614
7955.ENSDARP00000109071	2614
7955.ENSDARP00000109257	2614
7955.ENSDARP00000109299	2614
7955.ENSDARP00000109355	2614
7955.ENSDARP00000110935	2614
7955.ENSDARP00000111175	2614
7955.ENSDARP00000111526	2614
7955.ENSDARP00000111786	2614
7955.ENSDARP00000111930	2614
7955.ENSDARP00000112034	2614
7955.ENSDARP00000129044	2614
7955.ENSDARP00000129378	2614
7955.ENSDARP00000108502	2604
7955.ENSDARP00000066429	2577
7955.ENSDARP00000115580	2451
7955.ENSDARP00000040396	2418
7955.ENSDARP00000120742	2409
7955.ENSDARP00000016453	2408
7955.ENSDARP00000023063	2401
7955.ENSDARP00000018197	2356
7955.ENSDARP00000108711	2329
7955.ENSDARP00000055061	2317
7955.ENSDARP00000116075	2231
7955.ENSDARP00000109497	2183
7955.ENSDARP00000043172	2166
7955.ENSDARP00000108224	2137
7955.ENSDARP00000005719	2056
7955.ENSDARP00000039656	2021
7955.ENSDARP00000067895	2009
7955.ENSDARP00000104918	2009
7955.ENSDARP00000106877	2009
7955.ENSDARP00000108417	2009
7955.ENSDARP00000112301	2009
7955.ENSDARP00000116574	2009
7955.ENSDARP00000123619	2009
7955.ENSDARP00000067891	2009
7955.ENSDARP00000067945	2009
7955.ENSDARP00000093780	2009
7955.ENSDARP00000103318	2009
7955.ENSDARP00000107234	2009
7955.ENSDARP00000067893	2009
7955.ENSDARP00000090632	2008
7955.ENSDARP00000105290	2008
7955.ENSDARP00000102682	2008
7955.ENSDARP00000104399	2007
7955.ENSDARP00000093787	2007
7955.ENSDARP00000098726	2007
7955.ENSDARP00000102749	2007
7955.ENSDARP00000103576	2007
7955.ENSDARP00000103819	2007
7955.ENSDARP00000104630	2007
7955.ENSDARP00000108828	2007
7955.ENSDARP00000110869	2007
7955.ENSDARP00000090794	2007
7955.ENSDARP00000126732	1997
7955.ENSDARP00000115054	1985
7955.ENSDARP00000013777	1983
7955.ENSDARP00000107232	1970
7955.ENSDARP00000127819	1968
7955.ENSDARP00000087462	1933
7955.ENSDARP00000090434	1926
7955.ENSDARP00000111326	1925
7955.ENSDARP00000093747	1920
7955.ENSDARP00000003641	1918
7955.ENSDARP00000099772	1915
7955.ENSDARP00000061273	1911
7955.ENSDARP00000053076	1885
7955.ENSDARP00000023177	1841
7955.ENSDARP00000121670	1837
7955.ENSDARP00000075658	1820
7955.ENSDARP00000110759	1818
7955.ENSDARP00000091899	1805
7955.ENSDARP00000013329	1793
7955.ENSDARP00000006624	1788
7955.ENSDARP00000119055	1777
7955.ENSDARP00000061148	1750
7955.ENSDARP00000108089	1727
7955.ENSDARP00000073057	1693
7955.ENSDARP00000097050	1682
7955.ENSDARP00000018594	1637
7955.ENSDARP00000041278	1602
7955.ENSDARP00000067953	1595
7955.ENSDARP00000015917	1586
7955.ENSDARP00000023121	1583
7955.ENSDARP00000045900	1559
7955.ENSDARP00000049894	1550
7955.ENSDARP00000014456	1545
7955.ENSDARP00000027342	1540
7955.ENSDARP00000024900	1531
7955.ENSDARP00000004932	1530
7955.ENSDARP00000030881	1519
7955.ENSDARP00000040327	1514
7955.ENSDARP00000061957	1478
7955.ENSDARP00000069977	1477
7955.ENSDARP00000052528	1456
7955.ENSDARP00000033600	1442
7955.ENSDARP00000126314	1439
7955.ENSDARP00000024752	1420
7955.ENSDARP00000029933	1392
7955.ENSDARP00000110377	1386
7955.ENSDARP00000005837	1386
7955.ENSDARP00000010055	1365
7955.ENSDARP00000014978	1359
7955.ENSDARP00000051359	1345
7955.ENSDARP00000108965	1341
7955.ENSDARP00000017326	1337
7955.ENSDARP00000067802	1329
7955.ENSDARP00000090766	1308
7955.ENSDARP00000105094	1306
7955.ENSDARP00000052729	1290
