#id: 670931187
#name: M.tuberculosis - Whole organism (Integrated)
#score: 13.5
#coverage: 85
#description: integrated dataset: weighted average of all M.tuberculosis WHOLE_ORGANISM: 13.5, Coverage: 85
#organ: WHOLE_ORGANISM
#integrated: true
#weights: 83332_GPM_201408:0.293;M.tuberculosis_atlas_build_330:0.141;Mtuberculosis_Albrethsen_2013:0.127;PXD000111_Albrethsen_Mol_Cell_Proteomics_2013_M-tuberculosis_log_phase:0.113;Mycobacterium-tuberculosis_PA_2013-7:0.084;MycobacteriumTuberculosis:0.073;PXD000111_Albrethsen_Mol_Cell_Proteomics_2013_M-tuberculosis_starvation_phase:0.068;83332-PA_201307:0.059;My_PXD000483_Cortes_2013:0.033;PXD000259_Schubert_Cell_Host_Microbe_2014_Mtuberculosis_complete_proteome:0.01;
#publication_year: 2023
#filename: 83332-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
83332.Rv3418c	46336
83332.Rv2031c	38764
83332.Rv0440	25109
83332.Rv0350	9349
83332.Rv3874	8950
83332.Rv2244	8887
83332.Rv1133c	8692
83332.Rv2376c	8550
83332.Rv0652	7537
83332.Rv0685	6424
83332.Rv3248c	6236
83332.Rv3763	6198
83332.Rv2220	6077
83332.Rv0934	5216
83332.Rv0896	5034
83332.Rv1886c	4984
83332.Rv3846	4775
83332.Rv3804c	4459
83332.Rv3648c	4250
83332.Rv1837c	4212
83332.Rv3914	4155
83332.Rv3875	4110
83332.Rv0125	4081
83332.Rv3841	3994
83332.Rv3269	3816
83332.Rv0379	3711
83332.Rv0462	3688
83332.Rv1860	3651
83332.Rv3028c	3558
83332.Rv0211	3534
83332.Rv2780	3456
83332.Rv1980c	3450
83332.Rv1074c	3393
83332.Rv2986c	3308
83332.Rv3045	3217
83332.Rv0363c	3214
83332.Rv3354	3214
83332.Rv1932	3184
83332.Rv3461c	3146
83332.Rv0009	3140
83332.Rv1475c	2927
83332.Rv0066c	2926
83332.Rv2140c	2875
83332.Rv3417c	2813
83332.Rv0351	2777
83332.Rv3457c	2763
83332.Rv2145c	2717
83332.Rv0814c	2707
83332.Rv2875	2643
83332.Rv3803c	2619
83332.Rv2889c	2552
83332.Rv1388	2527
83332.Rv1908c	2508
83332.Rv1926c	2492
83332.Rv2241	2475
83332.Rv2940c	2471
83332.Rv3118	2467
83332.Rv2467	2459
83332.Rv1872c	2436
83332.Rv1392	2424
83332.Rv0467	2420
83332.Rv0761c	2400
83332.Rv1498A	2388
83332.Rv3800c	2379
83332.Rv1827	2369
83332.Rv0315	2330
83332.Rv0054	2329
83332.Rv3029c	2296
83332.Rv0632c	2294
83332.Rv1636	2286
83332.Rv2442c	2252
83332.Rv0706	2224
83332.Rv0683	2192
83332.Rv2111c	2188
83332.Rv0475	2151
83332.Rv0714	2142
83332.Rv3001c	2138
83332.Rv1448c	2117
83332.Rv1449c	2093
83332.Rv3561	2080
83332.Rv2623	2077
83332.Rv1177	2073
83332.Rv1310	2033
83332.Rv3628	2030
83332.Rv1308	2026
83332.Rv1284	1996
83332.Rv2744c	1983
83332.Rv1436	1968
83332.Rv2159c	1959
83332.Rv0831c	1945
83332.Rv0719	1912
83332.Rv0815c	1910
83332.Rv3716c	1877
83332.Rv1098c	1873
83332.Rv3224	1845
83332.Rv0979A	1836
83332.Rv0715	1808
83332.Rv0952	1807
83332.Rv0733	1799
83332.Rv3597c	1797
83332.Rv3208A	1784
83332.Rv1094	1777
83332.Rv3458c	1770
83332.Rv1738	1764
83332.Rv2215	1758
83332.Rv2185c	1750
83332.Rv0703	1748
83332.Rv2904c	1721
83332.Rv3389c	1713
83332.Rv1411c	1712
83332.Rv0723	1701
83332.Rv0951	1698
83332.Rv0701	1681
83332.Rv0716	1677
83332.Rv2258c	1672
83332.Rv0129c	1666
83332.Rv0722	1658
83332.Rv2461c	1655
83332.Rv1093	1631
83332.Rv2909c	1614
83332.Rv0708	1611
83332.Rv1174c	1610
83332.Rv2245	1610
83332.Rv0468	1608
83332.Rv2882c	1586
83332.Rv2110c	1578
83332.Rv0704	1572
83332.Rv3285	1556
83332.Rv2785c	1555
83332.Rv0053	1547
83332.Rv1270c	1544
83332.Rv0248c	1543
83332.Rv3442c	1540
83332.Rv0798c	1536
