#id: 2736156190
#name: G.gallus - Whole organism (Integrated)
#score: 22.5
#coverage: 79
#description: integrated dataset: weighted average of all G.gallus WHOLE_ORGANISM: 22.5, Coverage: 79
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Gallus-gallus_PA_2016-7:0.794;9031_GPM_201408:0.159;GPM_2012_09_Gallus_gallus:0.048;
#publication_year: 2023
#filename: 9031-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
9031.ENSGALP00000041526	24233
9031.ENSGALP00000020965	20192
9031.ENSGALP00000038904	19406
9031.ENSGALP00000040654	15406
9031.ENSGALP00000019031	15267
9031.ENSGALP00000010405	13629
9031.ENSGALP00000038282	10204
9031.ENSGALP00000005535	9523
9031.ENSGALP00000016177	9266
9031.ENSGALP00000023278	8208
9031.ENSGALP00000035593	8197
9031.ENSGALP00000011510	7867
9031.ENSGALP00000024373	7822
9031.ENSGALP00000008163	6815
9031.ENSGALP00000014107	6197
9031.ENSGALP00000009505	6108
9031.ENSGALP00000025606	6027
9031.ENSGALP00000003737	5848
9031.ENSGALP00000021742	5728
9031.ENSGALP00000037260	5728
9031.ENSGALP00000042437	5728
9031.ENSGALP00000042501	5728
9031.ENSGALP00000037324	5392
9031.ENSGALP00000018424	5061
9031.ENSGALP00000038912	5004
9031.ENSGALP00000040958	4743
9031.ENSGALP00000042290	4743
9031.ENSGALP00000041510	4690
9031.ENSGALP00000015061	4284
9031.ENSGALP00000002888	4080
9031.ENSGALP00000034108	4056
9031.ENSGALP00000042680	3883
9031.ENSGALP00000002218	3815
9031.ENSGALP00000015657	3788
9031.ENSGALP00000016648	3723
9031.ENSGALP00000013122	3663
9031.ENSGALP00000039176	3633
9031.ENSGALP00000001474	3522
9031.ENSGALP00000031320	3393
9031.ENSGALP00000040613	3393
9031.ENSGALP00000040771	3393
9031.ENSGALP00000015063	3255
9031.ENSGALP00000013174	3220
9031.ENSGALP00000020275	3209
9031.ENSGALP00000040653	3173
9031.ENSGALP00000040715	3173
9031.ENSGALP00000040820	3173
9031.ENSGALP00000041269	3173
9031.ENSGALP00000041766	3173
9031.ENSGALP00000043258	3173
9031.ENSGALP00000020744	3160
9031.ENSGALP00000021743	3134
9031.ENSGALP00000016629	3112
9031.ENSGALP00000011689	3103
9031.ENSGALP00000016651	3063
9031.ENSGALP00000019399	2845
9031.ENSGALP00000006574	2716
9031.ENSGALP00000014097	2671
9031.ENSGALP00000026392	2630
9031.ENSGALP00000015057	2628
9031.ENSGALP00000035339	2602
9031.ENSGALP00000034078	2580
9031.ENSGALP00000013574	2514
9031.ENSGALP00000037906	2474
9031.ENSGALP00000042371	2449
9031.ENSGALP00000042357	2426
9031.ENSGALP00000041690	2389
9031.ENSGALP00000010510	2359
9031.ENSGALP00000018742	2327
9031.ENSGALP00000023396	2257
9031.ENSGALP00000003455	2256
9031.ENSGALP00000000383	2210
9031.ENSGALP00000035591	2187
9031.ENSGALP00000003431	2186
9031.ENSGALP00000023089	2158
9031.ENSGALP00000033389	2153
9031.ENSGALP00000005562	2067
9031.ENSGALP00000012854	2015
9031.ENSGALP00000017954	1993
9031.ENSGALP00000015988	1988
9031.ENSGALP00000024388	1979
9031.ENSGALP00000041062	1975
9031.ENSGALP00000006093	1955
9031.ENSGALP00000025280	1955
