#id: 339138462
#name: S.scrofa - Whole organism (Integrated)
#score: 16.8
#coverage: 39
#description: integrated dataset: weighted average of all S.scrofa WHOLE_ORGANISM: 16.8, Coverage: 39
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Sus-scrofa_PA_2014-11:0.476;9823-PA_201111:0.286;Pig_PeptideAtlas_2011-08_Ens62:0.238;
#publication_year: 2023
#filename: 9823-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
9823.ENSSSCP00000008517	101086
9823.ENSSSCP00000021419	77703
9823.ENSSSCP00000015647	65025
9823.ENSSSCP00000000740	36848
9823.ENSSSCP00000009549	32256
9823.ENSSSCP00000018966	27630
9823.ENSSSCP00000006164	26887
9823.ENSSSCP00000000730	21104
9823.ENSSSCP00000015649	20396
9823.ENSSSCP00000002108	14933
9823.ENSSSCP00000008769	13332
9823.ENSSSCP00000025444	9589
9823.ENSSSCP00000014202	9039
9823.ENSSSCP00000006028	8420
9823.ENSSSCP00000015648	8010
9823.ENSSSCP00000024473	7672
9823.ENSSSCP00000012901	7547
9823.ENSSSCP00000024044	7245
9823.ENSSSCP00000018375	7206
9823.ENSSSCP00000021888	7122
9823.ENSSSCP00000026815	7055
9823.ENSSSCP00000013238	6904
9823.ENSSSCP00000017710	6605
9823.ENSSSCP00000003094	5442
9823.ENSSSCP00000012406	5431
9823.ENSSSCP00000013848	5275
9823.ENSSSCP00000012570	5188
9823.ENSSSCP00000009875	5092
9823.ENSSSCP00000014135	4916
9823.ENSSSCP00000010514	4792
9823.ENSSSCP00000018818	4703
9823.ENSSSCP00000004124	4462
9823.ENSSSCP00000028087	4285
9823.ENSSSCP00000008105	4283
9823.ENSSSCP00000006551	3875
9823.ENSSSCP00000017034	3818
9823.ENSSSCP00000010750	3775
9823.ENSSSCP00000005790	3561
9823.ENSSSCP00000000226	3508
9823.ENSSSCP00000013237	3454
9823.ENSSSCP00000025576	3405
9823.ENSSSCP00000028031	3232
9823.ENSSSCP00000015173	3219
9823.ENSSSCP00000021806	3110
9823.ENSSSCP00000014605	3089
9823.ENSSSCP00000025866	2972
9823.ENSSSCP00000002026	2921
9823.ENSSSCP00000005791	2878
9823.ENSSSCP00000003670	2619
9823.ENSSSCP00000021561	2467
9823.ENSSSCP00000010867	2352
9823.ENSSSCP00000011206	2341
9823.ENSSSCP00000002831	2261
9823.ENSSSCP00000017727	2240
9823.ENSSSCP00000021263	2235
9823.ENSSSCP00000005172	2227
9823.ENSSSCP00000006563	2197
9823.ENSSSCP00000017033	2165
9823.ENSSSCP00000011135	2141
9823.ENSSSCP00000003110	2082
9823.ENSSSCP00000015994	1953
9823.ENSSSCP00000002832	1945
9823.ENSSSCP00000002967	1918
9823.ENSSSCP00000011226	1885
9823.ENSSSCP00000004843	1856
9823.ENSSSCP00000017116	1812
9823.ENSSSCP00000015948	1757
9823.ENSSSCP00000006472	1756
9823.ENSSSCP00000018967	1722
9823.ENSSSCP00000019366	1719
9823.ENSSSCP00000008760	1714
9823.ENSSSCP00000000606	1712
9823.ENSSSCP00000012930	1678
9823.ENSSSCP00000002835	1656
9823.ENSSSCP00000001076	1651
9823.ENSSSCP00000015556	1639
9823.ENSSSCP00000015997	1634
9823.ENSSSCP00000011056	1633
9823.ENSSSCP00000024847	1615
9823.ENSSSCP00000017119	1608
9823.ENSSSCP00000000070	1607
9823.ENSSSCP00000009877	1540
9823.ENSSSCP00000008854	1534
9823.ENSSSCP00000001459	1526
9823.ENSSSCP00000022130	1461
