#id: 1047829202
#name: B.taurus - Whole organism (Integrated)
#score: 18.4
#coverage: 54
#description: integrated dataset: weighted average of all B.taurus WHOLE_ORGANISM: 18.4, Coverage: 54
#organ: WHOLE_ORGANISM
#integrated: true
#weights: 9913_GPM_201408:0.641;cow_atlas_build_320:0.247;GPM_2012_09_Bos_taurus:0.064;9913-PA_201112:0.048;
#publication_year: 2023
#filename: 9913-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
9913.ENSBTAP00000019538	68302
9913.ENSBTAP00000022763	44020
9913.ENSBTAP00000003409	41554
9913.ENSBTAP00000010119	31247
9913.ENSBTAP00000004737	17779
9913.ENSBTAP00000033392	17779
9913.ENSBTAP00000043063	13417
9913.ENSBTAP00000028685	12609
9913.ENSBTAP00000022034	11823
9913.ENSBTAP00000037374	11823
9913.ENSBTAP00000041617	11365
9913.ENSBTAP00000007127	11130
9913.ENSBTAP00000007701	10805
9913.ENSBTAP00000000673	10356
9913.ENSBTAP00000008132	9688
9913.ENSBTAP00000004927	8604
9913.ENSBTAP00000045931	8573
9913.ENSBTAP00000012138	6228
9913.ENSBTAP00000022991	6141
9913.ENSBTAP00000036739	6070
9913.ENSBTAP00000007504	5589
9913.ENSBTAP00000006590	5544
9913.ENSBTAP00000018855	5406
9913.ENSBTAP00000019461	5283
9913.ENSBTAP00000017420	5283
9913.ENSBTAP00000006532	5267
9913.ENSBTAP00000032915	4998
9913.ENSBTAP00000020520	4788
9913.ENSBTAP00000037577	4721
9913.ENSBTAP00000000556	4651
9913.ENSBTAP00000054812	4186
9913.ENSBTAP00000004073	3847
9913.ENSBTAP00000015883	3744
9913.ENSBTAP00000046041	3714
9913.ENSBTAP00000007124	3583
9913.ENSBTAP00000050256	3558
9913.ENSBTAP00000007918	3267
9913.ENSBTAP00000051780	3267
9913.ENSBTAP00000010176	3140
9913.ENSBTAP00000002914	3133
9913.ENSBTAP00000009469	3093
9913.ENSBTAP00000027941	2831
9913.ENSBTAP00000016453	2738
9913.ENSBTAP00000033283	2716
9913.ENSBTAP00000014123	2716
9913.ENSBTAP00000033278	2716
9913.ENSBTAP00000033286	2716
9913.ENSBTAP00000033290	2716
9913.ENSBTAP00000042461	2716
9913.ENSBTAP00000042470	2716
9913.ENSBTAP00000042635	2716
9913.ENSBTAP00000052261	2716
9913.ENSBTAP00000009564	2714
9913.ENSBTAP00000040641	2708
9913.ENSBTAP00000009471	2582
9913.ENSBTAP00000042429	2582
9913.ENSBTAP00000047589	2571
9913.ENSBTAP00000048056	2571
9913.ENSBTAP00000050955	2567
9913.ENSBTAP00000043357	2451
9913.ENSBTAP00000048654	2451
9913.ENSBTAP00000042479	2408
9913.ENSBTAP00000033771	2392
9913.ENSBTAP00000029245	2376
9913.ENSBTAP00000033280	2376
9913.ENSBTAP00000033281	2376
9913.ENSBTAP00000033288	2376
9913.ENSBTAP00000042409	2376
9913.ENSBTAP00000042428	2376
9913.ENSBTAP00000042460	2376
9913.ENSBTAP00000042466	2376
9913.ENSBTAP00000042467	2376
9913.ENSBTAP00000047761	2376
9913.ENSBTAP00000052235	2376
9913.ENSBTAP00000053034	2376
9913.ENSBTAP00000054635	2376
9913.ENSBTAP00000049648	2369
9913.ENSBTAP00000030232	2367
9913.ENSBTAP00000046733	2365
9913.ENSBTAP00000042747	2355
9913.ENSBTAP00000026750	2323
9913.ENSBTAP00000054269	2308
9913.ENSBTAP00000012837	2306
9913.ENSBTAP00000012655	2290
9913.ENSBTAP00000033015	2221
9913.ENSBTAP00000025810	2220
9913.ENSBTAP00000026747	2205
9913.ENSBTAP00000046319	2199
9913.ENSBTAP00000025561	2170
9913.ENSBTAP00000015924	2141
9913.ENSBTAP00000011364	2136
9913.ENSBTAP00000017140	2130
9913.ENSBTAP00000055887	2069
9913.ENSBTAP00000007429	2066
9913.ENSBTAP00000021256	2066
9913.ENSBTAP00000049399	2014
9913.ENSBTAP00000043502	1992
9913.ENSBTAP00000024387	1943
9913.ENSBTAP00000005341	1937
9913.ENSBTAP00000027308	1890
9913.ENSBTAP00000024155	1889
9913.ENSBTAP00000039503	1889
9913.ENSBTAP00000047687	1889
9913.ENSBTAP00000048201	1889
9913.ENSBTAP00000049889	1889
9913.ENSBTAP00000051376	1889
9913.ENSBTAP00000051428	1889
9913.ENSBTAP00000051456	1889
9913.ENSBTAP00000052160	1889
9913.ENSBTAP00000052168	1889
9913.ENSBTAP00000055514	1889
9913.ENSBTAP00000055238	1887
9913.ENSBTAP00000042634	1885
9913.ENSBTAP00000052749	1883
9913.ENSBTAP00000049501	1854
9913.ENSBTAP00000011811	1852
9913.ENSBTAP00000000589	1843
9913.ENSBTAP00000038344	1819
9913.ENSBTAP00000048245	1813
9913.ENSBTAP00000052642	1773
9913.ENSBTAP00000013453	1756
9913.ENSBTAP00000023927	1756
9913.ENSBTAP00000056029	1749
9913.ENSBTAP00000023581	1678
9913.ENSBTAP00000042255	1659
9913.ENSBTAP00000015499	1625
9913.ENSBTAP00000026345	1615
9913.ENSBTAP00000042386	1606
9913.ENSBTAP00000054314	1599
9913.ENSBTAP00000023926	1593
9913.ENSBTAP00000014585	1591
9913.ENSBTAP00000018185	1589
9913.ENSBTAP00000043833	1579
9913.ENSBTAP00000008523	1567
9913.ENSBTAP00000016712	1555
9913.ENSBTAP00000052479	1546
9913.ENSBTAP00000054283	1525
9913.ENSBTAP00000012807	1511
9913.ENSBTAP00000034497	1501
9913.ENSBTAP00000012523	1495
