#id: 1033827713
#name: S.enterica - Whole organism (Integrated)
#score: 12.5
#coverage: 59
#description: integrated dataset: weighted average of all S.enterica WHOLE_ORGANISM: 12.5, Coverage: 59
#organ: WHOLE_ORGANISM
#integrated: true
#weights: SalmonellaTyphimurium_PRIDE:0.909;99287_GPM_201408:0.091;
#publication_year: 2023
#filename: 99287-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
99287.STM4170	23007
99287.STM1191	18307
99287.STM4152	14559
99287.STM0451	14163
99287.STM3427	12626
99287.STM3445	11881
99287.STM4146	11881
99287.STM4330	10914
99287.STM4393	10270
99287.STM1705	8741
99287.STM0043	8086
99287.STM3429	7690
99287.STM3435	7388
99287.STM3727	7309
99287.STM3416	7294
99287.STM3447	7150
99287.STM4394	7052
99287.STM3418	6920
99287.STM1290	6399
99287.STM3359	6249
99287.STM0831	6156
99287.STM3303	6025
99287.STM3424	5989
99287.STM3433	5967
99287.STM1751	5852
99287.STM4561	5755
99287.STM4150	5700
99287.STM3426	5472
99287.STM3283	5367
99287.STM3209	5180
99287.STM0417	5097
99287.STM3728	4965
99287.STM1070	4941
99287.STM0981	4795
99287.STM0211	4765
99287.STM0217	4765
99287.STM1809	4653
99287.STM1336	4647
99287.STM3434	4646
99287.STM1090	4609
99287.STM3428	4537
99287.STM2952	4493
99287.STM3422	4460
99287.STM4329	4428
99287.STM2673	4420
99287.STM2224	4362
99287.STM2431	4312
99287.STM0614	4292
99287.STM2267	4274
99287.STM1652	4251
99287.STM4414	4204
99287.STM3441	4087
99287.STM0982	4083
99287.STM4240	4027
99287.STM2676	3997
99287.STM3345	3934
99287.STM3446	3926
99287.STM3414	3816
99287.STM3591	3797
99287.STM1377	3789
99287.STM3432	3782
99287.STM0154	3769
99287.STM1572	3743
99287.STM1238	3682
99287.STM3865	3674
99287.STM4391	3413
99287.STM0216	3380
99287.STM0629	3369
99287.STM3869	3356
99287.STM3436	3339
99287.STM3439	3315
99287.STM0225	3254
99287.STM0737	3100
99287.STM3069	3075
99287.STM3417	3024
99287.STM0402	3013
99287.STM1959	2990
99287.STM3437	2945
99287.STM4458	2886
99287.STM3440	2865
99287.STM2795	2864
99287.STM0012	2815
99287.STM0447	2773
99287.STM3344	2765
99287.STM0772	2746
99287.STM3054	2742
99287.STM3423	2717
99287.STM4151	2704
99287.STM1121	2668
99287.STM1732	2631
99287.STM1339	2625
99287.STM2433	2588
99287.STM2771	2552
99287.STM3425	2533
99287.STM1513	2498
99287.STM3500	2431
99287.STM2799	2412
99287.STM3898	2411
99287.STM0488	2408
99287.STM1815	2372
99287.STM1044	2319
99287.STM0738	2317
99287.STM3421	2292
99287.STM4088	2248
99287.STM3068	2246
99287.STM3867	2224
99287.STM1729	2206
99287.STM3438	2204
99287.STM0608	2147
99287.STM2059	2137
99287.STM1565	2081
99287.STM3839	2053
99287.STM1251	2040
99287.STM0759	2030
99287.STM3448	2028
99287.STM0007	2017
99287.STM1728	1974
99287.STM0465	1966
99287.STM3415	1908
99287.STM1837	1887
99287.STM2526	1886
99287.STM2555	1864
