#id: 2243194569
#name: C.neoformans - Whole organism (Integrated)
#score: 8.7
#coverage: 37
#description: integrated dataset: weighted average of all C.neoformans WHOLE_ORGANISM: 8.7, Coverage: 37
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Cryptococcus_biofilm_Santi_2014:0.909;Cryptococcus_planktonic_Santi_2014:0.091;
#publication_year: 2023
#filename: 214684-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
214684.P40909	66242
214684.Q5KNC7	52807
214684.Q5KJK9	43596
214684.Q5KDE9	31937
214684.Q5KEC4	23179
214684.Q5KBS3	22313
214684.Q5K7J5	21087
214684.Q5KMH7	20244
214684.Q5K952	19732
214684.Q5KGE3	18473
214684.Q5KAB9	16785
214684.P0CN30	14329
214684.P0CQ50	14123
214684.Q5KLW6	13828
214684.Q5K918	11539
214684.P0CN74	11242
214684.Q5KJK1	10881
214684.Q5KEG5	10793
214684.Q5KC89	10596
214684.Q5KN65	10355
214684.Q5K9R3	10244
214684.Q5KB67	9040
214684.Q5KMW2	9037
214684.Q5KLG7	8492
214684.Q5K9K9	7432
214684.Q5KES7	7225
214684.P0CM06	6494
214684.Q5KF57	6328
214684.Q5KDV9	6328
214684.P0CN84	6176
214684.Q5KK08	5965
214684.Q5KLA7	5809
214684.P0CO30	5617
214684.Q5KI60	5263
214684.Q5K7V2	5206
214684.Q5KHT0	5072
214684.Q5KK99	4982
214684.Q5KDF1	4782
214684.P0CR82	4298
214684.Q5KDL9	4280
214684.Q5KHN7	4079
214684.Q5KB93	4076
214684.Q5KP24	4053
214684.Q5KI15	3963
214684.F5HFW5	3958
214684.Q5KHF9	3727
214684.A0A0S2M5V1	3695
214684.Q5K9D1	3645
214684.Q5K7F2	3460
214684.Q5K8Z6	3403
214684.Q5KFD2	3325
214684.Q5KIN2	3320
214684.Q5KHA5	3319
214684.P0CM16	3275
214684.Q5KHJ9	3211
214684.Q5K9I6	3157
214684.Q5K8Q1	3052
214684.Q5KG69	3050
214684.Q5KKD1	2927
214684.Q5K9A5	2909
214684.Q5KKA5	2900
214684.Q5K6Z6	2858
214684.Q5KK55	2850
214684.P0CN98	2788
214684.Q5KE01	2612
214684.Q5KHN0	2558
214684.Q5KFW0	2514
214684.Q5KJA4	2442
214684.Q5KPZ1	2434
214684.Q5KJD9	2389
214684.Q5KAP7	2372
214684.Q5KA04	2327
214684.Q5KQ45	2255
214684.Q5KND2	2235
214684.P0CP96	2234
214684.Q5KN73	2212
214684.Q5KEE1	2209
214684.P0CQ52	2190
214684.Q5K7R6	2185
214684.Q5KKM4	2162
214684.Q5KLF0	2153
214684.Q5KL93	2136
214684.Q5KP06	2112
214684.Q5K9F7	2112
214684.Q5KF76	2087
214684.Q5KGD2	2077
214684.Q5KP63	2041
214684.Q5KDS7	2012
214684.Q5KJK0	1990
214684.Q5KKP4	1983
214684.Q5KFD1	1964
214684.Q5KBW6	1956
214684.P0CQ34	1950
214684.Q5KEB3	1917
214684.Q5KJ21	1908
214684.Q5KA81	1883
214684.Q5KBW9	1882
214684.Q5KK46	1868
214684.Q5K8H5	1847
214684.Q5KEV1	1813
214684.Q5K7U2	1807
214684.Q5KDF0	1770
214684.Q5KF36	1757
214684.Q5K7B5	1750
214684.Q5KBC7	1688
214684.Q5K7B2	1685
214684.Q5KA46	1671
214684.Q5KBK1	1663
214684.Q5KGM4	1630
214684.Q5KD10	1584
214684.Q5KFR2	1582
214684.Q5KIU0	1525
214684.Q5K7V6	1497
214684.Q5KL32	1492
214684.Q5K979	1488
214684.Q5KBD5	1475
214684.Q5KJS4	1466
214684.Q5KNQ9	1459
214684.Q5KDC5	1434
214684.Q5KAU8	1420
214684.Q5KL33	1415
214684.P0CP08	1413
214684.Q5KNK2	1398
214684.Q5KBI4	1378
214684.Q5KJ87	1365
214684.Q5KJD4	1342
214684.Q5KJR5	1323
214684.Q5KN25	1322
214684.Q5KFB9	1304
214684.P0CP94	1281
214684.Q5KHJ3	1262
214684.Q5KBA0	1247
214684.Q5KAT0	1247
214684.Q5KIY1	1246
214684.Q5KL27	1242
214684.Q5KFS5	1240
214684.Q5KPD7	1237
214684.Q5KGH9	1234
214684.Q5KJ55	1234
214684.Q5K8W3	1232
214684.Q5KG13	1226
214684.Q5KGN7	1206
214684.Q5K7D6	1197
214684.Q5KAW1	1180
214684.Q5KMV9	1152
214684.Q5KIK6	1142
214684.Q5KES4	1131
214684.Q5KGW3	1129
214684.Q5KE15	1129
214684.Q5KAX0	1120
214684.Q5K9D7	1117
214684.Q5KB78	1108
214684.P0CP54	1097
214684.Q5KML4	1095
214684.Q5KN39	1093
214684.Q5K920	1045
214684.Q5KAR2	1034
214684.Q5K8W5	1023
214684.Q5KMM0	1015
214684.Q5KA48	1013
214684.P0CP46	1005
214684.Q5KL15	999
214684.Q5KCJ5	994
214684.Q5KNQ6	993
214684.Q5K973	966
214684.Q5KMA0	955
214684.Q5KLU5	940
214684.Q5KGW0	938
214684.Q5KBW4	936
214684.Q5K7Y6	914
214684.Q5KJL6	910
214684.Q5KGC8	909
214684.Q5KIT8	905
214684.Q5KNE0	892
214684.Q5KEX8	889
214684.Q5KLW7	885
214684.Q5KPD2	878
214684.Q5K826	869
214684.Q5K7H6	855
214684.A0A0S2LIE7	839
214684.Q5KGR6	835
214684.Q5KIQ2	824
214684.Q5KMZ9	823
214684.Q5KMB9	822
214684.Q5KED7	816
214684.Q5KC84	815
214684.Q5KJU2	812
214684.Q5KIJ0	791
214684.Q5KGW6	786
214684.Q5KDQ7	775
214684.Q5KNI7	772
214684.Q5KDF2	769
214684.Q5KF07	767
214684.P0CQ56	758
214684.Q5KGY9	747
214684.P0CO04	745
214684.Q5KMT3	745
214684.Q5KG36	744
214684.Q5KKE7	734
214684.Q5KAU3	732
214684.Q5KCZ2	728
214684.Q5KKC5	726
214684.Q5KFQ5	709
214684.Q5KDM7	706
214684.Q5KMA6	696
214684.Q5KN37	691
214684.Q5KCL8	690
214684.Q5KDR0	680
214684.Q5KJ03	678
214684.Q5K9Y3	672
214684.Q5KB50	666
214684.Q5KKG6	658
214684.Q5KKM9	655
214684.Q5KG91	652
214684.Q5KM68	650
214684.Q5KPS7	642
214684.Q5KPM8	641
214684.Q5K876	636
214684.Q5KKM8	633
214684.Q5KFU0	631
214684.Q5KNT0	630
214684.Q5KM75	623
214684.Q5KIZ2	622
214684.Q5KL19	620
214684.Q5KCS1	618
214684.Q5KMP1	598
214684.P0CQ70	595
214684.Q5KIH6	593
214684.Q5KLM8	588
214684.Q5KIJ6	585
214684.Q5KH53	581
214684.Q5K7C1	575
214684.Q5KKC1	564
214684.Q5KP19	563
214684.Q5KM42	562
214684.Q5KA73	556
214684.Q5KG75	555
214684.Q5KID2	553
214684.Q5KAS7	530
214684.Q5KLG3	526
214684.Q5K9E5	521
214684.Q5K7R5	518
214684.Q5K8C5	517
214684.Q5KPM3	517
214684.Q5KFG9	515
214684.Q5KN16	513
214684.Q5K8A5	509
214684.P0CS22	508
214684.Q5KKA2	507
214684.Q5KLS4	507
214684.Q5KMG7	506
214684.Q5KQ15	505
214684.Q5KKE8	493
214684.Q5KME1	493
214684.Q5KN27	490
214684.Q5KAD2	489
214684.Q5KPY0	488
214684.P0CO02	487
