#id: 1818197331
#name: O.satival - Whole organism (Integrated)
#score: 18.8
#coverage: 24
#description: integrated dataset: weighted average of all O.satival WHOLE_ORGANISM: 18.8, Coverage: 24
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD013606_rice:0.909;GPM_2012_09_Oryza_sativa:0.091;
#publication_year: 2023
#filename: 39947-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
39947.Q0DI00	22924
39947.Q8S6F2	17575
39947.P0C512	16692
39947.A0A0P0Y838	15420
39947.Q7XUC9	13339
39947.A0A0P0V969	11552
39947.Q6ZBZ2	7851
39947.Q6ZH98	7177
39947.Q40677	6927
39947.A0A0P0XU17	6799
39947.A0A0P0VBL9	6435
39947.A0A0P0Y1Y5	6065
39947.P0C2Z6	5647
39947.Q10N21	5121
39947.Q2QLY5	4044
39947.Q943W1	4044
39947.Q0DFC9	3673
39947.Q0INY7	3626
39947.P18566	3620
39947.Q2QTJ1	3620
39947.Q0J8M2	3488
39947.O64937	3437
39947.Q0JCT1	3387
39947.P0C364	3233
39947.Q5QLS1	3229
39947.Q7XDC8	3223
39947.Q2QLY4	3111
39947.Q6ZD89	3075
39947.Q0J8A4	2973
39947.Q8GTK4	2945
39947.Q9SNK3	2880
39947.Q9FE01	2830
39947.Q0DEU8	2798
39947.P14717	2772
39947.O82451	2730
39947.Q2QNS7	2521
39947.Q93X08	2505
39947.P14656	2500
39947.Q7X8A1	2466
39947.P31924	2444
39947.Q0E4K1	2321
39947.A0A0P0Y832	2296
39947.Q5VMJ3	2259
39947.Q10MP7	2212
39947.Q9LI00	2172
39947.Q2QND9	2166
39947.Q7FAM9	2165
39947.A0A0P0X592	2156
39947.P93431	2017
39947.P0C437	2016
39947.Q2RAD9	2007
39947.P50156	1996
39947.A0A0P0Y248	1991
39947.A0A0P0WRU0	1989
39947.Q10M12	1969
39947.Q75M32	1963
39947.Q6K9N6	1939
39947.Q6F361	1934
39947.P0C522	1930
39947.P12085	1913
39947.P0C367	1907
39947.Q6K4S7	1879
39947.Q6ZKC0	1868
39947.Q94JA2	1857
39947.Q42971	1849
39947.Q84LK3	1841
39947.Q8LNW1	1823
39947.Q6K5G8	1820
39947.P48494	1820
39947.Q0DZE5	1789
39947.Q10D68	1786
39947.P0C361	1726
39947.A0A0P0WP33	1680
39947.Q8W0E6	1679
39947.Q6Z8F4	1679
39947.P29545	1674
39947.Q7F2G3	1667
39947.A0A0P0XTT3	1637
39947.Q84PB4	1636
39947.Q0D5P8	1636
39947.Q9ASP4	1633
39947.Q655T1	1615
39947.Q8W3J0	1612
39947.Q01859	1611
39947.Q0DSN8	1609
39947.Q5N725	1571
39947.Q53N83	1546
39947.Q6ZDY8	1517
39947.Q10P35	1506
39947.Q7XPR2	1503
39947.A3BLC3	1496
39947.Q65XA0	1494
39947.Q2QWN3	1491
39947.Q0JKB4	1489
39947.Q7FAH2	1486
39947.Q6H6C7	1476
39947.Q6H759	1465
39947.P0C370	1464
39947.Q6ZI53	1447
39947.P40978	1418
39947.Q84ZK1	1413
39947.Q10RP0	1402
39947.P17784	1384
39947.A0A0P0WMY2	1378
39947.Q69JX7	1370
39947.Q8H3I7	1368
39947.Q0DKY4	1348
39947.Q0JI73	1328
39947.P28752	1327
39947.P0C434	1323
39947.Q6H4L2	1322
39947.Q6YU90	1320
39947.Q8H8T0	1312
39947.Q7XTK1	1309
39947.Q6Z6B5	1303
39947.Q6Z4E4	1293
39947.A0A0P0WTA4	1286
39947.Q84NW1	1283
39947.P30298	1273
39947.P12330	1271
39947.Q9SDG6	1268
39947.Q84R32	1266
39947.Q0J8G4	1259
39947.A3C6G9	1252
39947.Q7G754	1250
39947.B9F813	1239
39947.Q5JMS4	1209
39947.Q0JB49	1201
39947.Q53M52	1195
39947.Q2QNF3	1177
39947.Q9LSU3	1159
39947.Q8S7H8	1155
39947.Q851P9	1154
39947.Q75GI3	1148
39947.P93438	1144
39947.Q6H7I9	1143
39947.Q5KQH5	1138
39947.Q6ZF30	1138
39947.Q9AUW3	1123
39947.A0A0P0W1B6	1117
39947.Q651T8	1113
39947.Q7G2B5	1106
39947.Q6ER94	1104
39947.Q6AVA8	1102
39947.Q10MS5	1091
39947.P0C358	1090
39947.P12331	1084
39947.Q0J0T7	1067
39947.Q5QMK7	1030
39947.Q53JF7	1030
39947.Q6ZBP3	1030
39947.Q943L2	1030
39947.Q69S39	1026
39947.Q6ZCF3	1026
