#id: 4155093283
#name: Dcitri - Whole organism (Integrated)
#score: 2.6
#coverage: 3
#description: integrated dataset: weighted average of all Dcitri WHOLE_ORGANISM: 2.6, Coverage: 3
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD003096_Ramsey_PLoS_One_2015_D_citri_CLas_negative:0.526;PXD003096_Ramsey_PLoS_One_2015_D_citri_CLas_positive:0.474;
#publication_year: 2023
#filename: 121845-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
121845.A0A3Q0IXA2	76559
121845.A0A3Q0J235	39983
121845.A0A3Q0IX28	36167
121845.A0A1S3DD98	30876
121845.A0A1S3DT76	30845
121845.A0A3Q0J6A6	30728
121845.A0A3Q0JGQ6	20772
121845.A0A1S3DFH4	20337
121845.A0A1S3DCE5	15945
121845.A0A3Q0JF31	15267
121845.A0A1S3D5F9	13250
121845.A0A3Q0IKK7	13076
121845.A0A1S3D745	12398
121845.A0A3Q0IYG9	12018
121845.A0A1S3D4F7	10781
121845.A0A1S3D013	10318
121845.A0A3Q0IW01	9907
121845.A0A3Q0J765	9144
121845.A0A1S4ET08	7870
121845.A0A3Q0JBD9	7127
121845.A0A1S3DSA6	6625
121845.A0A1S3DG86	6587
121845.A0A1S3DFR3	6512
121845.A0A1S3CV85	6344
121845.A0A3Q0IX04	6293
121845.A0A1S3DQ75	6284
121845.A0A1S3CY59	6251
121845.A0A1S4EN41	6208
121845.A0A3Q0JL52	5889
121845.A0A3Q0IR07	5845
121845.A0A1S3DHQ1	5447
121845.A0A1S3D1W5	5419
121845.A0A1S3DLW1	5394
121845.A0A1S4ELL7	5275
121845.A0A3Q0JK31	5270
121845.A0A1S4E9B2	5258
121845.A0A1S3DS04	5236
121845.A0A3Q0J4R3	5095
121845.A0A3Q0JGV4	4739
121845.A0A1S4E792	4639
121845.A0A1S3D7M0	4601
121845.A0A3Q0IUT6	4580
121845.A0A1S3CUK5	4515
121845.A0A1S3DRQ9	4252
121845.A0A3Q0IN41	4187
121845.A0A3Q0J1D5	4024
121845.A0A3Q0J121	4009
121845.A0A1S3CZ07	3981
121845.A0A1S3D420	3930
121845.A0A3Q0J4K1	3903
121845.A0A1S3CYV6	3894
121845.A0A1S3CYU3	3857
121845.A0A1S3DUM4	3843
121845.A0A1S4ED27	3652
121845.A0A1S3DDF0	3639
121845.A0A1S4EQS1	3634
121845.A0A3Q0IQ54	3634
121845.A0A1S4EQF7	3517
121845.A0A1S3CUN8	3515
121845.A0A3Q0JG41	3474
121845.A0A1S3DRA2	3434
121845.A0A1S3CZW7	3306
121845.A0A3Q0J575	3299
121845.A0A3Q0IZ62	3267
121845.A0A1S4E8J1	3132
121845.A0A1S3DEA4	3062
121845.A0A3Q0IKN8	3000
121845.A0A3Q0ILW3	2999
121845.A0A3Q0J2R3	2994
121845.A0A3Q0J5N6	2919
121845.A0A1S3DCS1	2884
121845.A0A3Q0J186	2862
121845.A0A1S3DC18	2824
121845.A0A1S3DPY9	2811
121845.A0A1S3DLK3	2793
121845.A0A3Q0J5T9	2736
121845.A0A1S3DSM7	2715
121845.A0A3Q0JKM2	2708
121845.A0A3Q0IIZ6	2704
121845.A0A1S3DIT0	2672
121845.A0A1S3DDY8	2607
121845.A0A3Q0IRW1	2549
121845.A0A3Q0JE09	2515
121845.A0A1S3DS85	2434
121845.A0A1S4EH34	2426
121845.A0A1S3CZ45	2388
121845.A0A3Q0JE89	2385
121845.A0A3Q0IP30	2375
121845.A0A3Q0IQT6	2366
121845.A0A1S3DIC0	2325
121845.A0A1S3CXW6	2281
121845.A0A1S3DU64	2264
121845.A0A1S3DPE4	2220
121845.A0A3Q0IUC6	2209
121845.A0A1S3CZA0	2208
121845.A0A1S3DR97	2196
121845.A0A3Q0JCF3	2182
121845.A0A3Q0JH59	2170
121845.A0A1S3D2R0	2155
121845.A0A3Q0ISY9	2113
121845.A0A1S4ELV4	2084
121845.A0A1S4EFQ3	2056
121845.A0A1S3CWL3	2030
121845.A0A1S3D8G3	2022
121845.A0A1S4EB56	2020
121845.A0A1S3D8R7	2010
121845.A0A3Q0IQ19	2007
121845.A0A1S3DNN7	2003
121845.A0A3Q0IWB0	1999
121845.A0A1S3DC40	1996
121845.A0A1S3DA94	1996
121845.A0A3Q0INZ4	1967
