#id: 1895209513
#name: C.reinhardtii - Whole organism (Integrated)
#score: 17.9
#coverage: 47
#description: integrated dataset: weighted average of all C.reinhardtii WHOLE_ORGANISM: 17.9, Coverage: 47
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD145877_Mueller_Nature_2020_Chlamydomonas_reinhardtii:0.909;3055_GPM_201408:0.091;
#publication_year: 2023
#filename: 3055-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
3055.EDO98358	18111
3055.EDP00188	12748
3055.EDP02473	12589
3055.EDP02283	12246
3055.DAA00950	10900
3055.EDO96901	10432
3055.EDP03051	10367
3055.EDP04241	8524
3055.EDP03062	8208
3055.EDO95759	8103
3055.EDP01264	7911
3055.EDP03517	7794
3055.EDP01611	7589
3055.EDP02901	7405
3055.DAA00941	6958
3055.EDP08545	6847
3055.EDP00448	6691
3055.DAA01471	6369
3055.EDO96058	6359
3055.EDO99452	6242
3055.EDO96805	6129
3055.EDP04043	6114
3055.DAA00966	5887
3055.DAA00933	5631
3055.EDO98566	5314
3055.EDO99874	5173
3055.EDO96390	5008
3055.EDO97626	4962
3055.DAA00958	4953
3055.DAA00957	4544
3055.EDP01593	4516
3055.DAA00964	4485
3055.EDP01838	4352
3055.EDO98586	4270
3055.EDO98239	4258
3055.DAA00967	4171
3055.DAA00904	4105
3055.EDP01087	4086
3055.DAA00951	4016
3055.EDP08179	4004
3055.EDP10047	3951
3055.EDP02008	3907
3055.EDP05530	3880
3055.EDO97897	3853
3055.EDO99655	3779
3055.DAA00949	3735
3055.EDP06864	3631
3055.EDP00292	3511
3055.EDP02933	3504
3055.EDP04449	3503
3055.EDP01736	3463
3055.DAA00930	3453
3055.EDP04524	3438
3055.EDO96857	3421
3055.EDP10052	3413
3055.EDO96640	3249
3055.EDP05888	3194
3055.EDP06509	3060
3055.EDO96591	3025
3055.EDP05850	2939
3055.EDP08588	2923
3055.EDO97291	2886
3055.EDO99813	2718
3055.EDP00485	2695
3055.EDP04023	2693
3055.EDO99286	2679
3055.DAA00945	2651
3055.EDP09609	2623
3055.EDO99527	2613
3055.EDP04194	2591
3055.EDP04026	2581
3055.EDP04740	2569
3055.EDP08409	2552
3055.EDP01896	2527
3055.EDO99531	2517
3055.EDP00906	2508
3055.EDP02454	2499
3055.EDP08565	2372
3055.EDP09007	2357
3055.EDP08831	2331
3055.EDP06102	2328
3055.EDP02658	2261
3055.EDP05480	2244
