#id: 2005680669
#name: H.pylori 26695 - Whole organism (Integrated)
#score: 15.2
#coverage: 93
#description: integrated dataset: weighted average of all H.pylori 26695 WHOLE_ORGANISM: 15.2, Coverage: 93
#organ: WHOLE_ORGANISM
#integrated: true
#weights: 85962_GPM_201408:0.909;Helicobacter_pylori_SC_biomart_27551_E__5reps:0.091;
#publication_year: 2023
#filename: 85962-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
85962.C694_00050	46143
85962.C694_00045	37161
85962.C694_08100	36468
85962.C694_00350	23369
85962.C694_06755	15695
85962.C694_06205	15027
85962.C694_05995	14851
85962.C694_06430	14386
85962.C694_01495	13846
85962.C694_00355	13645
85962.C694_01230	11804
85962.C694_08240	11764
85962.C694_06240	11666
85962.C694_04220	11634
85962.C694_06185	11452
85962.C694_07550	10014
85962.C694_00370	9706
85962.C694_01980	9580
85962.C694_00540	7561
85962.C694_03595	7415
85962.C694_04280	7404
85962.C694_06785	7258
85962.C694_06645	6585
85962.C694_02940	6522
85962.C694_03590	6499
85962.C694_02900	6323
85962.C694_06405	6071
85962.C694_03210	5918
85962.C694_03600	5801
85962.C694_06080	5679
85962.C694_06335	5675
85962.C694_03705	5670
85962.C694_02750	5667
85962.C694_06760	5283
85962.C694_06720	5157
85962.C694_03710	5128
85962.C694_06745	5049
85962.C694_04700	5048
85962.C694_06775	4899
85962.C694_06800	4884
85962.C694_06770	4711
85962.C694_00125	4607
85962.C694_06675	4570
85962.C694_04695	4499
85962.C694_02850	4451
85962.C694_00405	4407
85962.C694_03985	4310
85962.C694_01610	4291
85962.C694_05515	4284
85962.C694_05945	4272
85962.C694_07540	4210
85962.C694_06810	4208
85962.C694_01130	4044
85962.C694_02910	3960
85962.C694_07750	3905
85962.C694_06215	3869
85962.C694_04225	3864
85962.C694_00985	3794
85962.C694_06685	3754
85962.C694_06695	3741
85962.C694_04480	3719
85962.C694_06060	3681
85962.C694_05715	3591
85962.C694_03050	3567
85962.C694_06790	3482
85962.C694_02825	3382
85962.C694_03080	3361
85962.C694_06210	3360
85962.C694_04000	3360
85962.C694_00870	3350
