#id: 3954757466
#name: D.vulgaris - Whole organism (Integrated)
#score: 3.8
#coverage: 28
#description: integrated dataset: weighted average of all D.vulgaris WHOLE_ORGANISM: 3.8, Coverage: 28
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Desulfo_Form_Exp_SC_zhang_2006:0.818;Desulfo_Form_Stat_SC_zhang_2006:0.09;Desulfo_Lac_Exp_SC_zhang_2006:0.082;Desulfo_Lac_Stat_SC_zhang_2006:0.01;
#publication_year: 2023
#filename: 882-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
882.DVU_2405	52381
882.DVU_0799	39486
882.DVU_0847	33596
882.DVU_1295	31916
882.DVU_1422	26202
882.DVU_1976	25506
882.DVU_0402	21191
882.DVU_0403	20221
882.DVU_2109	19075
882.DVU_0775	17900
882.DVU_3104	14760
882.DVU_2920	14594
882.DVU_3183	12935
882.DVU_1559	10488
882.DVU_1636	10436
882.DVU_1922	10073
882.DVU_2215	8843
882.DVU_0777	8568
882.DVU_0811	8061
882.DVU_3185	7949
882.DVU_2201	7836
882.DVU_1013	7827
882.DVU_2927	7720
882.DVU_0322	6953
882.DVU_0846	6869
882.DVU_0169	6700
882.DVU_2204	6355
882.DVU_2667	6167
882.DVU_1932	6003
882.DVU_0565	5449
882.DVU_3025	5311
882.DVU_0849	5184
882.DVU_0404	5052
882.DVU_1328	4997
882.DVU_0881	4946
882.DVU_1574	4746
882.DVU_0979	4628
882.DVU_3150	4363
882.DVU_0956	4361
882.DVU_1378	4233
882.DVU_3187	4187
882.DVU_0851	4052
882.DVU_1769	3966
882.DVU_1334	3842
882.DVU_1300	3793
882.DVU_2776	3783
882.DVU_2752	3759
882.DVU_2784	3740
882.DVU_2104	3693
882.DVU_0261	3572
882.DVU_1299	3417
882.DVU_2013	3402
882.DVU_0966	3394
882.DVU_3392	3366
882.DVU_0259	3361
882.DVU_1795	3316
882.DVU_2398	3263
882.DVU_1304	3034
882.DVU_0319	3028
882.DVU_0712	2987
882.DVU_0874	2968
882.DVU_2518	2854
882.DVU_2929	2840
882.DVU_2571	2835
882.DVU_3319	2826
882.DVU_2543	2789
882.DVU_0625	2707
882.DVU_0694	2702
882.DVU_2519	2691
882.DVU_1306	2584
882.DVU_3212	2577
882.DVU_1315	2575
882.DVU_0504	2527
882.DVU_1833	2519
882.DVU_1203	2515
882.DVU_0941	2512
882.DVU_2295	2499
882.DVU_2928	2485
882.DVU_0848	2460
882.DVU_3134	2458
882.DVU_0503	2456
882.DVU_1318	2382
882.DVU_2401	2313
882.DVU_0423	2300
882.DVU_2403	2300
882.DVU_2514	2296
882.DVU_3162	2265
882.DVU_2399	2236
882.DVU_1326	2236
882.DVU_2349	2235
882.DVU_0995	2228
882.DVU_1309	2223
882.DVU_0107	2220
882.DVU_3048	2215
882.DVU_2903	2208
882.DVU_1977	2194
882.DVU_1330	2187
882.DVU_2103	2179
882.DVU_2548	2165
882.DVU_3271	2162
882.DVU_1012	2150
882.DVU_1937	2094
882.DVU_1303	2093
882.DVU_1397	2086
882.DVU_1320	2048
882.DVU_0964	1971
882.DVU_0253	1964
882.DVU_0266	1953
882.DVU_0957	1946
882.DVU_2449	1933
882.DVU_0745	1920
882.DVU_1568	1916
882.DVU_3282	1914
882.DVU_1820	1903
882.DVU_3222	1884
882.DVU_2402	1876
882.DVU_0839	1874
882.DVU_1204	1849
882.DVU_1329	1831
882.DVU_1569	1820
882.DVU_1537	1804
882.DVU_1322	1795
882.DVU_1921	1790
882.DVU_3094	1788
882.DVU_3156	1781
882.DVU_0371	1780
882.DVU_0607	1778
882.DVU_2108	1777
882.DVU_0591	1763
882.DVU_2925	1755
882.DVU_2738	1735
882.DVU_0273	1718
882.DVU_1302	1712
882.DVU_0547	1709
882.DVU_0857	1626
882.DVU_1839	1605
882.DVU_0958	1598
882.DVU_2792	1558
882.DVU_0264	1555
882.DVU_1308	1524
882.DVU_1539	1521
882.DVU_1228	1495
882.DVU_0776	1492
